,human lives lost - missing,District,Total,Male,Female,Children,Details,,,,,Date
0,,Cachar,2,1,0,1,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 1), (Udharbond | 0)",,,,,28-06-2022
1,,Chirang,1,1,0,0,"(Bengtal | 0), (Bijni | 1), (Sidli | 0)",,,,,28-06-2022
2,,Total,3,2,0,1,,,,,,28-06-2022
