,human lives lost - missing,District,Total,Male,Female,Children,Details,,,,,Date
0,,Cachar,1,1,0,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 0), (Sonai | 1), (Udharbond | 0)",,,,,19-06-2022
1,,Dibrugarh,4,4,0,0,(Chabua | 4),,,,,19-06-2022
2,,Hojai,1,1,0,0,"(Doboka | 1), (Hojai | 0), (Lanka | 0)",,,,,19-06-2022
3,,Tamulpur,1,1,0,0,"(Goreswar | 0), (Tamulpur | 1)",,,,,19-06-2022
4,,Udalguri,1,1,0,0,"(Harisinga | 0), (Kalaigaon | 0), (Khairabari | 0), (Mazbat | 0), (Udalguri | 1)",,,,,19-06-2022
5,,Total,8,8,0,0,,,,,,19-06-2022
