,human lives lost - missing,District,Total,Male,Female,Children Details,,,,,,Date
0,,Cachar,1,0,0,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), 1 (Udharbond | 0)",,,,,,21-05-2022
1,,Total,1,0,0,1,,,,,,21-05-2022
