,human lives lost - missing,DistrictTotalMaleFemaleChildrenRevenue Circlewise,,,,,,,,,,Date
0,,"Cachar3201(Katigorah | 0), (Lakhipur | 0), (Silchar | 3), (Sonai | 0), (Udharbond | 0)",,,,,,,,,,15-05-2022
1,,Total3201,,,,,,,,,,15-05-2022
