,human lives lost - missing,District,Total,Male,Female,Children,Details,,,,,Date
0,,Kamrup,1,1,0,0,"(Chamaria | 0), (Chaygaon | 0), (Goroimari | 0), (Hajo | 0), (Kamalpur | 0), (Kayan | 0), (Nagarbera | 0), (North Ghy | 1), (Palashbari | 0), (Rangia | 0)",,,,,21-06-2022
1,,Total,1,1,0,0,,,,,,21-06-2022
