,human lives lost - missing,District,Total,Male,Female,Children Details,,,,,,Date
0,,Cachar,1,0,1,"(Katigorah | 0), (Lakhipur | 0), (Silchar | 1), (Sonai | 0), 0 (Udharbond | 0)",,,,,,30-06-2022
1,,Total,1,0,1,0,,,,,,30-06-2022
