Block,District,EQ,AD,HD,FID0
Amb,UNA,0.042514,0.218281,0.739205,22
Ani,KULLU,0.021389,0.75241,0.226201,39
Baijnath,KANGRA,0.031823,0.034274,0.933903,1
Balh,MANDI,0.122112,0.183226,0.694662,31
Bamsan,HAMIRPUR,0.104273,0.126015,0.769712,18
Bangana,UNA,0.048277,0.120975,0.830748,29
Banjar,KULLU,0.016151,0.329436,0.654413,21
Basantpur,SHIMLA,0.011857,0.194067,0.794077,58
Bharmour,CHAMBA,0.036774,0.044151,0.919075,66
Bhatiyat,CHAMBA,0.069451,0.186252,0.744297,68
Bhawarna,KANGRA,0.124146,0.111394,0.76446,8
Bhoranj,HAMIRPUR,0.151845,0.173093,0.675062,32
Bijhari,HAMIRPUR,0.082595,0.09807,0.819335,35
Bilaspur,BILASPUR,0.032566,0.113575,0.853859,42
Chamba,CHAMBA,0.03191,0.321615,0.646474,65
Chauntra,MANDI,0.161415,0.210767,0.627818,13
Chirgaon,SHIMLA,0.002068,0.496958,0.500974,73
Chopal,SHIMLA,0.001983,0.582846,0.415171,51
Dehra,KANGRA,0.048502,0.089074,0.862424,14
Dharampur(M),MANDI,0.110909,0.160151,0.72894,20
Dharampur(S),SOLAN,0.037038,0.09086,0.872102,50
Dharamshala,KANGRA,0.064125,0.078314,0.857561,69
Drang,MANDI,0.05339,0.117511,0.829099,12
Fatehpur,KANGRA,0.039901,0.14045,0.819649,7
Gagret,UNA,0.043154,0.250477,0.706368,23
Ghumarwin,BILASPUR,0.05968,0.178149,0.762171,36
Gohar,MANDI,0.029585,0.432912,0.537503,33
Gopalpur,MANDI,0.185445,0.145148,0.669408,26
Hamirpur,HAMIRPUR,0.074054,0.12082,0.805126,27
Haroli,UNA,0.060498,0.272456,0.667046,71
Indora,KANGRA,0.03405,0.248325,0.717624,76
Jhandutta,BILASPUR,0.082034,0.145163,0.772802,40
Jubbal,SHIMLA,0.00149,0.85647,0.14204,46
Kalpa,KINNAUR,0.004735,0.093061,0.902205,72
Kandaghat,SOLAN,0.020709,0.067957,0.911334,70
Kangra,KANGRA,0.073936,0.144598,0.781466,4
Karsog,MANDI,0.051332,0.509465,0.439204,41
Kullu,KULLU,0.019107,0.385285,0.595607,9
Kumarsain,SHIMLA,0.006135,0.329046,0.664819,43
Kunihar,SOLAN,0.027178,0.165552,0.80727,59
Lahaul,LAHAUL & SPITI,0.004641,0.049721,0.945638,0
Lambagaon,KANGRA,0.070523,0.167217,0.76226,15
Mashobra,SHIMLA,0.006178,0.815409,0.178413,61
Mehla,CHAMBA,0.034899,0.265204,0.699897,67
Nadaun,HAMIRPUR,0.062868,0.114632,0.8225,25
Naggar,KULLU,0.011138,0.652126,0.336737,60
Nagrota Bagwan,KANGRA,0.071866,0.105309,0.822824,6
Nagrota Surian,KANGRA,0.050036,0.112535,0.837429,5
Nahan,SIRMOUR,0.039463,0.080237,0.880299,56
Nalagarh,SOLAN,0.032155,0.178148,0.789697,47
Nichar,KINNAUR,0.006213,0.077566,0.916221,74
Nirmand,KULLU,0.006278,0.66569,0.328032,34
Nurpur,KANGRA,0.042192,0.215138,0.74267,2
Pachhad,SIRMOUR,0.031711,0.199606,0.768683,53
Panchrukhi,KANGRA,0.115859,0.117697,0.766443,10
Pangi,CHAMBA,0.003626,0.024479,0.971894,62
Paonta Sahib,SIRMOUR,0.040584,0.135498,0.823917,57
Pooh,KINNAUR,0.001093,0.066715,0.932192,16
Pragpur,KANGRA,0.029584,0.079908,0.890508,17
Rait,KANGRA,0.057419,0.088999,0.853582,3
Rajgarh,SIRMOUR,0.029334,0.151166,0.8195,52
Rampur,SHIMLA,0.003025,0.62846,0.368515,30
Rohru,SHIMLA,0.001664,0.857302,0.141034,44
Sadar,MANDI,0.061035,0.534952,0.404013,24
Saluni,CHAMBA,0.037123,0.32363,0.639247,64
Sangrah,SIRMOUR,0.028304,0.186615,0.785081,54
Seraj,MANDI,0.081425,0.307082,0.611493,28
Shillai,SIRMOUR,0.031519,0.232955,0.735526,55
Shimla (Urban),SHIMLA,0.247484,3.80E-05,0.752478,48
Solan,SOLAN,0.062459,0.080207,0.857334,49
Spiti,LAHAUL & SPITI,0.002854,0.003802,0.993344,75
Sujanpur,HAMIRPUR,0.072043,0.086539,0.841417,19
Sulah,KANGRA,0.089747,0.103964,0.806289,11
Sundernagar,MANDI,0.1358,0.209011,0.655189,37
Theog,SHIMLA,0.00303,0.695737,0.301233,45
Tissa,CHAMBA,0.014026,0.206472,0.779502,63
Una,UNA,0.075621,0.27078,0.653598,38
