type,team,zone,location,landmark,lat,long
MAJOR,"1-
Kapra",LB NAGAR ZONE,HB colony main Road,HB colony main Road,17.452372,78.565584
MAJOR,"1-
Kapra",LB NAGAR ZONE,Aphb colony,Aphb colony,17.452375,78.565634
MAJOR,"2-
Uppal X Road",LB NAGAR ZONE,"Pragathinagar Ramanth
 pur","Pragathinagar Ramanth
 pur",17.39872,78.54509
MAJOR,"2-
Uppal X Road",LB NAGAR ZONE,Habsiguda,Habsiguda,17.41783,78.54287
MAJOR,4-LB Nagar,LB NAGAR ZONE,Sagar Ring Road,Sagar Ring Road,17.335962,78.551447
MAJOR,4-LB Nagar,LB NAGAR ZONE,LB Nagar,LB Nagar,17.348541,78.552821
MAJOR,4-LB Nagar,LB NAGAR ZONE,"Near D-Mart , Champapet","D-Mart , Champapet",17.348801,78.514799
MAJOR,"5-
Saroornagar",LB NAGAR ZONE,Sarrornagar P&T Colony,Sarrornagar P&T Colony,17.35702,78.529397
MAJOR,"5-
Saroornagar",LB NAGAR ZONE,"Dilsuknagar Kodanda 
Colony","Dilsuknagar Kodanda 
Colony",17.35303,78.52874
MAJOR,"5-
Saroornagar",LB NAGAR ZONE,"Dilsuknagar P&T 
Colony","Dilsuknagar P&T 
Colony",17.357606,78.52763
MAJOR,"5-
Saroornagar",LB NAGAR ZONE,Sarrornagar,Sarrornagar,17.363382,78.543336
MAJOR,"06 -
MALAKPET",CHARMINAR ZONE,"94 Bus Stop Lane,Universal Book Stall",Universal Book Stall,17.383033,78.479634
MAJOR,"06 -
MALAKPET",CHARMINAR ZONE,"R.U.B.Malakpet,Near Cause way Chaderghat",Near Cause way Chaderghat,17.377018,78.495093
MAJOR,"06 -
MALAKPET",CHARMINAR ZONE,"Near Akshaya Hotel,  Malakpet Gunj",Opp.  Malakpet Gunj,17.373399,78.502502
MAJOR,"06 -
MALAKPET",CHARMINAR ZONE,Musarambagh Bridge,"Near RTA, Amberpet",17.37933,78.51633
MAJOR,"06 -
MALAKPET",CHARMINAR ZONE,Moosarambagh Bridge,Near Ali Café X Roads,17.381055,78.515011
MAJOR,"07 -
SANTOSHNAGAR",CHARMINAR ZONE,Santhosh Nagar,"Light phase-2, New Santhoshnagar",17.348175,78.508444
MAJOR,"07 -
SANTOSHNAGAR",CHARMINAR ZONE,Madanapet,Syedabad Road,17.355744,78.50564
MAJOR,"07 -
SANTOSHNAGAR",CHARMINAR ZONE,Champapet,Nagarjuna Colony,17.348807,78.514469
MAJOR,"07 -
SANTOSHNAGAR",CHARMINAR ZONE,Crystal Bar and Restaurant ,Sadhana Degree College,17.348408,78.508488
MAJOR,"07 -
SANTOSHNAGAR",CHARMINAR ZONE,Between SBI and DRDO Main gate ,DRDO water works,17.339892,78.500948
MAJOR,"8
CHANDRAYAN
GUTTA",CHARMINAR ZONE,Chandrayangutta Fly over,Kanchan Bagh,17.339006,78.499462
MAJOR,"8
CHANDRAYAN
GUTTA",CHARMINAR ZONE,Chandrayangutta,"Tulasi Nagar, Jahangirabad",17.314928,78.464815
MAJOR,"9
CHARMINAR",CHARMINAR ZONE,Petal Burji,"NH 44, Gulbagh",17.367876,78.466618
MAJOR,"9
CHARMINAR",CHARMINAR ZONE,Gul Bagh Road,"NH 44, Gulbagh",17.368339,78.468479
MAJOR,"9
CHARMINAR",CHARMINAR ZONE,"City College, Govt Meternity hospital",Govt. Maternity Hospital,17.368043,78.468211
MAJOR,"9
CHARMINAR",CHARMINAR ZONE,"Yakutputra Rly Station, Railway under Bridge",Railway Under Bridge,17.360719,78.492115
MAJOR,"9
CHARMINAR",CHARMINAR ZONE,"Puranapool Grave yard, ",Puranapool Grave yard,17.363915,78.456261
MAJOR,"9
CHARMINAR",CHARMINAR ZONE,Infront of Fiza Hotel Bahadurpura ,Bahadurpura X roads on both sides,17.355436,78.454428
MAJOR,"10 -
FALAKNUMA",CHARMINAR ZONE,"OP Chatrinaka, Chatrinaka PS",Out Post Chatrinaka,17.343550,78.478049
MAJOR,"10 -
FALAKNUMA",CHARMINAR ZONE,Under Rly bridge Near OKR,Under Rly bridge Near OKR,17.302611,78.421597
MAJOR,"10 -
FALAKNUMA",CHARMINAR ZONE,Udamgadda,Udamgadda,17.31669,78.4527
MAJOR,"10 -
FALAKNUMA",CHARMINAR ZONE,Durga Nagar bus stop,Durga Nagar bus stop,17.314574,78.444589
MAJOR,"10 -
FALAKNUMA",CHARMINAR ZONE,"VN Reddy Kamman, Chatrinaka PS",VN Reddy Kamman,17.342538,78.478362
MAJOR,"11 -
RAJENDRANAGAR",CHARMINAR ZONE,"Diary Farm InnerRing Road
Upparpally","Diary Farm InnerRing Road
Upparpally",17.345505,78.416029
MAJOR,"11 -
RAJENDRANAGAR",CHARMINAR ZONE,PVNR Pillar No. 192,PVNR Pillar No. 192,17.352429,78.418428
MAJOR,"11 -
RAJENDRANAGAR",CHARMINAR ZONE,PVNR Pillar No. 265,PVNR Pillar No. 265,17.335618,78.42678
MAJOR,"11 -
RAJENDRANAGAR",CHARMINAR ZONE,"Infront of Ramdevbaba near Rajendranagar
Tr PS","Infront of Ramdevbaba near Rajendranagar
Tr PS",17.324372,78.43366
MAJOR,"11 -
RAJENDRANAGAR",CHARMINAR ZONE,"Kenworth apartments, Bhavani colony","Kenworth apartments, Bhavani colony",17.327198,78.422813
MAJOR,"11 -
RAJENDRANAGAR",CHARMINAR ZONE,Under Rly bridge Near Aramghar   Junction,Under Rly bridge Near Aramghar   Junction,17.321185,78.433121
MAJOR,"15-
Musheerabad",SECUNDERABAD ZONE,Secretariat,"NH44, Khairathabad",17.408014,78.472216
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Amberpet,Police line Road,17.389338,78.516507
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Amberpet Road-6,"Tirmala Arcade, 
Nimboliadda, Kachiguda,",17.382767,78.49512
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Amberpet,"Phase 3, Qutub Shahi Tombs, ",17.391463,78.391463
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,6 No. Junction,6 No. Junction,17.390817,78.510859
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Beside Amberpet L&O P.S,Amberpet PS L&O,17.390771,78.51788
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Aqua café Golnaka,Aqua café Golnaka,17.388044,78.503046
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Near TY Mandali Barkathpura,TY Mandali,17.394111,78.498394
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,"Street no.6, Himyathnagar",Street no.6,17.402067,78.484013
MAJOR,"16 -
ANBERPET",SECUNDERABAD ZONE,Basheerbagh to King koti Road,Gate no-4 Nizam collage,17.400177,78.476828
MAJOR,"29 -
METTUGUDA",SECUNDERABAD ZONE,"Opp. KFC, Karkhana main Road",Main Road Karkhana,17.45636,78.4987
MAJOR,"29 -
METTUGUDA",SECUNDERABAD ZONE,Railway under bridges Alugaddabavi,Railway under bridges Alugaddabavi,17.435522,78.512011
MAJOR,"30 -
CM CAMP OFFICE",SECUNDERABAD ZONE,Oliphant bridge,Near Rethifile bus station,17.433775,78.505875
MAJOR,"30 -
CM CAMP OFFICE",SECUNDERABAD ZONE,"Near Croma Opp. Gril-9 Hotel, Kharkana main Road",Opp to L&O PS Karkhana,17.45899,78.50027
MAJOR,"30 -
CM CAMP OFFICE",SECUNDERABAD ZONE,Mayur Marg Begumpet,Mayur Marg Begumpet,17.44288,78.45941
MAJOR,"30 -
CM CAMP OFFICE",SECUNDERABAD ZONE,Starting of PNT flyover,opp Nandini Hotel,17.444897,78.467139
MAJOR,"30 -
CM CAMP OFFICE",SECUNDERABAD ZONE,"Near Bombay Hotel, Ranigunj",towards Karabal Junction,17.43268,78.488559
MAJOR,"30 -
CM CAMP OFFICE",SECUNDERABAD ZONE,Karbala Maidan,Near Pavan Motor,17.428931,78.488266
MAJOR,"12
GUDI
MALKAPUR",KHAIRATHABAD ZONE,"Balaji Nagar, Gudimalkapur, ",Gudimalkapur,17.384732,78.429742
MAJOR,"12
GUDI
MALKAPUR",KHAIRATHABAD ZONE,"Netaji Nagar Colony, Langar Houz,",Langer HouZ,17.377197,78.429211
MAJOR,"12
GUDI
MALKAPUR",KHAIRATHABAD ZONE,"Nimboliadda, Kachiguda, ",Mehdhipatnam Ring Road,17.384968,78.49703
MAJOR,"13 -
KARWAN",KHAIRATHABAD ZONE,Tolichowki under the flyover,Opp. Ruman Hotel,17.39863,78.41658
MAJOR,"14 -
ASSEMBLY",KHAIRATHABAD ZONE,Rangamahal Y-Junction.,Bagga wines,17.380891,78.485038
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Model House,Model House,17.422399,78.454854
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Old K.C.P.,Old K.C.P.,17.41761,78.45695
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Lake View Guest House,Near Raj bhavan,17.41688,78.46143
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Image Hospital Lane,Ameerpet,17.43202,78.44721
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Joyalukkas ‘U’ Turn,Near Panjagutta Jun.,17.427912,78.450017
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Rajiv Gandhi Statue under metro,Under Khairtabad Metro Station,17.410679,78.460940
MAJOR,"17 -
RAJBHAVAN",KHAIRATHABAD ZONE,Opp. L&O Saifabad PS/ Ayodhya jn,Syed tours and travels,17.403278,78.462928
MAJOR,"18 -
KBR PARK",KHAIRATHABAD ZONE,"Steel bridge , Road No. 52, Jubilee Hills","Road No. 52, J/Hills",17.426385,78.39978
MAJOR,"18 -
KBR PARK",KHAIRATHABAD ZONE,"Pakshi circle, Road No. 70, J/Hills","Road No. 70, J/Hills",17.425127,78.40028
MAJOR,"18 -
KBR PARK",KHAIRATHABAD ZONE,Cancer Hospital Bus stop,Cancer Hospital,17.418266,78.429177
MAJOR,"18 -
KBR PARK",KHAIRATHABAD ZONE,"Mylan, Road No.92, Jubilee Hills",Katta maisamma temple,17.4166,78.4179
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"opposite Ramalayam, 
Vengal Rao Nagar, Sunder Nagar,",Vengal Rao Nagar,17.44359,78.43677
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Mint Rd, MP and MLAs Colony, 
Venkatagiri, Jubilee Hills, ",Showrya Bhavan Junction,17.43867,78.41247
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Gayatri Hills, Jubilee Hills",Road No.10c,17.43639,78.41689
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Road No. 1, Nandagiri Hills, Jubilee Hills", Opp Blalkrishna Residence,17.42246,78.41098
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,,Sri Chaithanya near BVBP junction,,
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE," Road Number 10, Gayatri Hills, 
Jubilee Hills, ",Road 10 opp; apple bee School,17.43466,78.41526
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Park View Enclave, Jubilee Hills, ",poorna Junction,17.42386,78.4273
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Green Bawarchi Ln,
 Pragathi Nagar, Yousufguda",Infront of VINFLORA Hotel,17.43035,78.4284
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Sri Krishna Nagar, 
Park View Enclave, Jubilee Hills,",KBR park near Cream Stone,17.42626,78.42583
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,Balkampet railway bridge towards Begumpet,Balkampet New Bridge,17.4488,78.451641
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"CVR News, BVB Junction",BVB Junction,17.419605,78.412287
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,"Holy cross road, Balkampet",Near    Balkampet                                      Temple,17.4488,78.449711
MAJOR,"19 -
YOUSUFGUDA",SERILINGAMPALLY ZONE,Madhapur Petrol Pump,Trishul Grand Hotel,,
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Nector Garden Junction,Nector Garden Jn,17.437672,78.388629
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Towards Hitex Junction,Shilpa Ramam,17.45546,78.37711
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Under Raidurgam Metro Station,Raidurgam Metro  Station,17.44326,78.37661
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,"Smiline Dental Hospital, N Convention",Smiline Dental Hospital,17.458314,78.369067
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Parvathnagar Junction,Parvathnagar Jn,17.45141,78.39656
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Before Election Commission Building,Ratnadeep Super market,17.430022,78.373975
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,"Free left at Bio diversity junction
towards Khajaguda",Infront of Traffic booth,17.42974,78.37528
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Towards Bio diversity junction,Infront of Pista House,17.43167,78.37203
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,Khajaguda,"OPP. Malkam cheruvu Main gate towards
Darga",17.41977,78.38651
MAJOR,"20
SERILINGAMPALLY",SERILINGAMPALLY ZONE,At leather factory,Beside Leather factory,,
