,infrastructure damaged - others,District,Other Details,,,,,,,Date
0,,Biswanath,"Biswanath - Fisheries/Pond | As per report received from fisheries Dev. Officer Biswanath on 15-10-2022, damages at villages due to rising water level of river Brahmaputra: Bhirgaon & Gowaltoli are as follows: water area affected= 34 Ha, Total loss (approx)= Rs 278800.00",,,,,,,15-10-2022
1,,Lakhimpur,"Bihpuria - Fisheries/Pond | 50 nos. of fishery (area about 10 hectare) affected at Kutubpur as reported by FDO, Karunabari Block on 15/10/2022,  Elementary Schools Damaged | Pabha Pre Senior Madrassa has been affected by flood at Kutubpur as reported by officials of BEEO, Bihpuria Block on 15/10/2022,  Nowboicha - Fisheries/Pond | Total Nos. of pond affected - 9 Nos. (Area- 11 Bigha). Report received from Fishery Dept., Lakhimpur on 15.10.2022",,,,,,,15-10-2022
