,infrastructure damaged - others,District,Other Details,Date
0,,Bajali,Bajali - Fisheries/Pond | Total nos of ponds affected 91 nos and total nos of water area (ha) affected 15.2 ha in 11 nos villages as on 21/06/2022,22-06-2022
1,,Baksa,"Baska - Culvert Approach Road Damaged | Amarabati Doulkhola slab culvert broken, at village Amarabati, on 18/6/2022, Coordinate: 26.663824, 91.355816,  Irrigation Canal/Scheme Damaged | Garamdew FIS- D/S right bank with inlet structure (measuring 15 metres) is completely washed away and the U/S left side afflux bund (measuring 185 metres) of Garamdew FIS ,on 18/6/2022 Coordinate: 26.667582, 91.308555),  Culvert Approach Road Damaged | Medhaghat to Choudhuritup Village approach Road slab culvert damage. 18/06/2022, Coordinate: 26.572458, 91.307666,  Culvert Approach Road Damaged | Goldingpara (Ulubari supa) Village Road approach road slab culvert damage. 18.06.2022 Coordinate: 26.5877186, 91.298186,  Culvert Approach Road Damaged | Palashguri Nathsupa Village Road - Slab culvert broken on 18/06/2022, Coordinate: 26.692122, 91.319418,  Irrigation Canal/Scheme Damaged | Irrigation canal, Ahopa Mushlim Supa to PaniMudri Switch gate broken, 18/06/2022, Coordinate: 26.69378, 91.293401,  Culvert Approach Road Damaged | Slab culvert approach road damaged near Garamdeo Buragohain house at village Garamdeo, date: 18/06/2022 , Coordinate: 26.672568, 91.31876.,  Culvert Approach Road Damaged | Garamdew to Bhehbari road near Garamdew High School slab culvert approach road damage at village Garamdew on 18/6/2022 Cordinate: 26.66918, 91.313838,  Power Dept. Poles | Total LT Pole: 4, Total HT Pole: 1 , damaged on 21/06/2022 at village Pakhamara, Pamuapathar, and C Block.,  Power Dept. Transformers | 2 nos of 25 KVA Transformer damaged at village Amarabati and Kolachawk on 21/06/2022 ,  Barnagar RC part - Culvert Approach Road Damaged | As per report received from Asst. Exe. Engineer, PWD Salbari (R&B) divn, Salbari on 21/06/2022Due to continuous Heavy Rainfall on Luasur to Bahbari road the 1 No HPC Culvert has been washed the approach both side is submerged and damaged and the road survace by the flood water,  Baganpara - Culvert Approach Road Damaged | Dakhin Kalloipar to nizbarsiral connecting road has been breached approx 8m on dated 20/06/2022, latitude: 26.54038, longitude: 91.50316",22-06-2022
2,,Barpeta,"Sarthebari - Anganwadi Centres Affected | 20 1.107 kayakuchi pam-1 , 2.157 kayakuchi pam- 2, 3.109 kayakuchi gaon -2, 4.155 kayakuchi gaon-4, 5.111 kayakuchi pathar -1, 6.113 kayakuchi pathar- 3 7.123 kapohartari -1, 8.177 kapahortari -3, 9. 211 kapohartari-4,10.121 gumirpathar -1,11.116 jalkara-1 ,12.-117 jalkara-2, 13.118 jalkara -3, 14.119 morichapathar -1, 15. 156 pub moricha pathar-2, 16. 120.panimoricha pathar -1, 17. 153 panimoricha pathar -2, 18. 125 Thakarpathar -1, 19. 131 thakar gaon -1, 20. 154 bhara gaon ,reported by CDPO pakabetbari .DATE-22-6-2022,  Fisheries/Pond | 6164 Nos. Date-22-6-2022,  Kalgachia - Fisheries/Pond | As per report received frm Fishery dept on 22/06/22, total 1102 nos of ponds are submerged as on today within the circle, total Water area submerged-235.5 Ha.,  Chenga - Elementary Schools Damaged | Salmara Lahara Sar VLP school Village -Salmara,under Chenga Revenue Circle Washed away , report by BEEO,Chenga on 22/6/2022,  Fisheries/Pond | Approx 170 nos. Tank affected reported by fishery deptt. On 22/6/2022",22-06-2022
3,,Bongaigaon,"Manikpur - Fisheries/Pond | 2 Nos of Pond. (1) 2 No Dhupuri- 2,  Srijangram - Fisheries/Pond | Total 25 Nos of Pond. 1) Shimalbari Pt I-5 Nos, 2) Nasatra- 1 No, 3) Kokila -2 Nos, 4) Balarchar- 17 Nos. as per report received from DFDO, Bongaigaon adte 22.06.2022",22-06-2022
4,,Chirang,"Bijni - Bridge Approach Road Damaged | As reported by PWD, Bijni(R&B) Sub Division, bridge approaches eroded at RCC Bridge No 1/1 at 1st KM of Mongolian Bazar to Kathalguri road on 18-06-2022. Length=15 mtr, Breadth=5.00 mtr, Depth= 6.00 mtr. Longitude=90.629121 Latitude=26.54171,  Bridge Approach Road Damaged | As reported by PWD, Bijni(R&B) Sub Division, bridge approaches eroded at RCC Bridge No 1/1 at 1st KM of Mongolian Bazar to Kathalguri road on 18-06-2022. Length=5 mtr, Breadth=3.00 mtr, Depth= 5.00 mtr. Longitude=90.629121 Latitude=26.54171,  Culvert Approach Road Damaged | As reported by PWD, Bijni(R&B) Sub Division, approaches eroded at Box culvert No 1/1 (Culvert Size 4.00mx4.00m, 2-cell) at 1st KM of Noapara Katalguri Road on 18-06-2022. Length= 7.00 mtr Breadth=4.00 mtr Depth=5.00 mtr. Longitude=90.621078 Latitude=26.538065.,  Irrigation Canal/Scheme Damaged | As reported by Bijni Sub Division Irrigation, left side of embankment of Silbari-Ulubari FIS damaged at Bamunijhora on 15-06-2022. Length=30 mtr Breadth=5 mtr Depth= 2 mtr. Longitude=90.776862 Latitude=26.59427,  Irrigation Canal/Scheme Damaged | As reported by Bijni Sub Division Irrigation, right side of canal of Panbari-Boulajhar damaged at No-2 Burisuta on 15-06-2022. Length=20 mtr Breadth=2 mtr Depth= 1.8 mtr. Longitude=90.838432 Latitude=26.60724,  Irrigation Canal/Scheme Damaged | As reported by Bijni Sub Division Irrigation, left side canal damage at Bhatopara of No. 1 Deokumar FIS on 15-06-2022. Length=7 mtr Breadth=5 mtr Depth=2.6 mtr. Longitude=90.830794 Latitude=26.61475,  Irrigation Canal/Scheme Damaged | As reported by Bijni Sub Division Irrigation, earthen canal damage at Bhatopara of No 2 Deokumar FIS on 15-06-2022. Length= 30 mtr, Breadth= 2 mtr Depth= 2 mtr. Longitude=90.813533 Latitude=26.59042,  Irrigation Canal/Scheme Damaged | As reported by Bijni Sub Division Irrigation, up stream afflux bund damage at Asrabari of Bhawraguri Thaichobeel FIS on 15-06-2022. Length= 20 mtr Breadth=5 mtr Depth= 2.5 mtr. Longitude=90.664751 Latitude=26.56883.",22-06-2022
5,,Darrang,"Dalgaon - Fisheries/Pond | as per report received from fishery department, fish farmers affected - 1780, water area - 428.9Ha,  Sipajhar - Power Dept. Poles | 4 Nos. pole Damage as on 22-06-2022,  Power Dept. Conductors | 4 Km Appox as on 22-06-2022,  Fisheries/Pond | Fish farmers affected 2291 nos. and total area affected approx 123.4 Hect. as on 22-06-2022",22-06-2022
6,,Dibrugarh,"Chabua - Elementary Schools Damaged | DODHIA KULIGAON LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 22/6/2022 N27 35.845 E95 13.227,  Elementary Schools Damaged | DODHIA KARMI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 22/6/2022 N 27 36.032 E95 14.787,  Elementary Schools Damaged | DODHIA TENGABARI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 22/6/2022 N27 36.652 E95 14.237,  Elementary Schools Damaged | DODHIA CHALBIL LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT ON 22/6/2022 N27 36.462 E95 14.673,  Elementary Schools Damaged | DODHIA CHALBIL LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT ON 22/6/2022 N27 36.462 E95 14.673,  Anganwadi Centres Affected | DODHIA KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 22/6/2022 N27 35.845 E 95 13.227,  Anganwadi Centres Affected | DODHIA TENGABARI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 36.652 E95 14.237,  Anganwadi Centres Affected | DODHIA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 36.390 E95 13.651,  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 22/6/2022 N27 33.942 E95 15.125,  Anganwadi Centres Affected | DODHIA CHALBIL AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27. 5714 E95. 2346,  Anganwadi Centres Affected | RONGMOLA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 33'33.40"" E95 11'47.26"",  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 22/6/2022,  Anganwadi Centres Affected | 2 NO. MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 33' 50.38"" E95 13' 16.90"", Anganwadi Centres Affected | MULUKGHAT MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 33'52.36"" E95 13'15.74"",  Anganwadi Centres Affected | TENGABARI-MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 33'52.88"" E95 13' 14.42"",  Anganwadi Centres Affected | GEREKI NEPALI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 33'50.76"" E95 15'26.01"",  Anganwadi Centres Affected | KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/62/22 N27 35.860 E95 13.460,  Anganwadi Centres Affected | DODHIA ROMAI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 36.450 E95 13.782,  Anganwadi Centres Affected | CHALBIL AISUNG CHAPORI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 22/6/2022 N27 34.890 E95 13.563",22-06-2022
7,,Dima-Hasao,"Haflong - Power Dept. Poles | 4 Pole structure damaged in between P.Leikul and Boljang village as per info received from APDCL dated 21/06/2022,  Power Dept. Transformers | 11 KV Laisong feeder charged upto P.Leikul as per info received from APDCL dated 21/06/2022",22-06-2022
8,,Goalpara,"Rongjuli - Fisheries/Pond | AS PER REPORT RECEIVED FROM FISHERIES DEVELOPMENT OFFICER, RANGJULI TD BLOCK 11 NOS. (APPRX) POND HAS BEEN SUBMERGED. IMFORMATION RECEIVED DATE: 22/06/2022 TIME : 01:29 PM IST",22-06-2022
9,,Hojai,Lanka - Road Breaches | (10800m of Kharikhana to Jugimukh dyke of kopili right Bank due to sudden slump down) on 17/06/2022,22-06-2022
10,,Kamrup,"Rangia - Elementary Schools Damaged | Baidyagarh MES & Balagaon Arimatta LPS was damaged as per report of BEEO, Rangia on 21.06.2022,  North Ghy - Fisheries/Pond | Total water area= 263.7 Ha, Nos. of Pond Affected= 1552 No. as reported as reported by FDO, Bezera Fish dated 21/06/2022 on dated 21/06/2022ary Block,  Kamalpur - Fisheries/Pond | Due to incessant rainfall 345 ha as per report of Fisher Development officer under Kamalpur Block area on 21-06-2022",22-06-2022
11,,Karimganj,"Patherkandi - Washed away Culverts | As reported by AEE, PWD (T/R) on 19/06/22 a HP double barrel culvert on Bhubrighat road to Adamtilla washed away due to flood water. approx length of damage is 200 meter. gps coordinates are lat-24.61562, long-92. 277918",22-06-2022
