,infrastructure damaged - others,District,Other Details,,,,,,,,Date
0,,Dhemaji,"Gogamukh - Bridge Approach Road Damaged | Erosion occurred at bridge approach at Ch.2630.00 m. (Gobindapur Side) of Borola to Gobindapur (Br. No.-3/1) Road under PWRD, Dhemaji Teritorial Road Division. Dated: 12/10/2022 Longitude: 94.356636°E & Latitude: 27.519912°N.",,,,,,,,13-10-2022
1,,Dibrugarh,"Chabua - Anganwadi Centres Affected | DODHIA AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022 ,  Anganwadi Centres Affected | DODHIA KULIGAON AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022,  Anganwadi Centres Affected | DODHIA TENGABARI AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022,  Anganwadi Centres Affected | DODHIA CHALBIL AISUNG CHAPORI AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022,  Anganwadi Centres Affected | DODHIA ROMAI AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022,  Anganwadi Centres Affected | DODHIA CHALBIL AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022,  Anganwadi Centres Affected | KULIGAON AWC AFFECTED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 13/10/2022",,,,,,,,13-10-2022
2,,Lakhimpur,"Bihpuria - Fisheries/Pond | 1OO nos. of fishery (area 13.3 hectares) affected at Fatehpur, 130 nos. of fishery (area 17.33 hectares)affected at Ahmedpur Block, 11 nos. of fishery (area 3.06 hectares) affected at Nadika as reported by FDO, Karunabari Block on 13/10/2022",,,,,,,,13-10-2022
