,infrastructure damaged - others,District,Other Details,Date
0,,Dhemaji,"Dhemaji - Anganwadi Centres Affected | Today on 10/06/2022, No 2 Baruah 1 no. of AWC of Baruah Lalung submerged due to flood water,  Sissiborgaon - Washed away Culverts | As on 10/06/2022, 1 no. of culvert was damaged on Lahram khuti to Chekaimajgaon road at Ch 500.0 M",10-06-2022
1,,Karimganj,"Badarpur - Irrigation Canal/Scheme Damaged | On 09-06-2022, Executive Engineer, Irrigation Karimganj submitted report that on 18-05-22, the underground Hume Pipe Canal of size 1.22 m dia was affected at Malua Srigouri area due to flood water. The Location of the site is Latitude- 24.8642 and Longitude- 92.5216",10-06-2022
2,,South Salmara,Mankachar - Fisheries/Pond | As per report submitted Fisheries Department there are 93 nos Fisheries damaged due to flash flood.,10-06-2022
