,infrastructure damaged - others,District,Other Details,,,,,,,,,Date
0,,Dhemaji,"Gogamukh - Protection Bundh Damaged | PNRD guide bundh damage from Kajiamati to Barabhuyan, Ch. 43.00m at Kajiyamati, Latitude: 27.522097 Longitude 94.419423, An 11m long portion has been taken away by the over water and dug approximately 1.50 M depth at the broken portion. Dated : 02/08/2022",,,,,,,,,03-08-2022
1,,Nalbari,Paschim Nalbari - Road Breaches | Nalbari Palla road to Solmara Pokhura via Kathla breach occured at ch 1230.00 m with 5.00 m. Information received from PWRD Department via WhatsApp on 3/08/2022.,,,,,,,,,03-08-2022
2,,Udalguri,"Khairabari - Veterinary Deptt Infrastructure | As reported by the department, the boundary wall of Khagrabari FAC was damaged on 02.08.2022, due to the pressure exerted by the flood water. GPS Coordinates : Lat- 26.686742 Long- 91.76344,  Power Dept. Poles | The department has reported damages of HT & LT poles in some villages namely: Gharanikhat, Banderi on 02.08.2022,  Power Dept. Conductors | The department has reported damages of HT & LT conductors in some villages namely: Gharanikhat, Banderi on 02.08.2022",,,,,,,,,03-08-2022
