,infrastructure damaged - others,District,Other Details,Date
0,,Baksa,"Baganpara - Agri Bundh Damaged | As per report received from BDO Dhamdhama on dated 23/06/2022 the following agri bundh have been damaged , 1. Dharan Das house to pagladia river approx 65 m lati 26.6033 longi 91.4933. as on 23-06-2022, 2. Nareswar Sarnia house to Dharmeswar Das house at Potarpar approx 45 m lati 26.5599 longi 91.5053. as on 23-06-2022, 3. Kalson Baishya house to Netaji Jubak Sangha at Gerua approx 170 m lati 26.6146 longi 91.48905. as on 23-06-2022, 4. Santos Baishya to Akshay Baishya house approx 150 m at Gerua lati 26.6146 longi 91.4882 as on 23-06-2022.,  Protection Bundh Damaged | As per report received from BDO Dhamdhama on dated 23/06/2022 dam drop Chengnoipar at Ghorama approx 30 m lati 26.6033 longi 91.4768 has been damaged,  Irrigation Canal/Scheme Damaged | As per report received from AEE Barama subdivision following FIS have been damaged as on 23-06-2022. 1. Khwirani FIS lati 26.772 longi 91. 42811 affected due to dead tree logs with big branches are sticked against headworks as on 23-06-2022. 2. Roumari FIS lati 26.6288 longi 91.4325 abutment wall of the flow irrigation scheme has broken due to severe flood as on 23-06-2022. 3. lebra FIS lati 26.6624 longi 91.4614 4 gates are nonfunctional as on 23-06-2022.",25-06-2022
1,,Barpeta,"Sarthebari - Secondary Schools Damaged | Nabajyoti High school, Reported by HM on 24 Jun 2022,  Secondary Schools Damaged | Sarukshetri High school, reported by HM on 25 Jun 2022",25-06-2022
2,,Bongaigaon,"Bongaigaon - Bamboo Foot Bridge | Bongaigaon Borolagaon via Kishan Bazar, Old foot bridge washed away. Long 90.570853, Lat 26.481872, date of incident- 24.06.2022 & report received from PWRD Bongaigaon date- 25.06.2022",25-06-2022
3,,Chirang,"Bijni - Protection Bundh Damaged | As reported by Chirang Soil Conservation Division, Kajalgaon, damage of protection bund of Boulder Pitching at Dhaladanda and Jharbispani under RIDF-XXV/2020-21 occurred on 19-06-2022 at location Jharbispani. Length=20.00 mtr Breadth=3.00 mtr Height=5.50 mtr. Longitude=90.743508 Latitude=26.601068",25-06-2022
4,,Darrang,"Dalgaon - Fisheries/Pond | as per report received from fishery department 1780 nos of fish farmers and total 428.9 Ha water area affected as on 26/06/2022 under dalgaon revenue circle,  Power Dept. Conductors | as per report received from SDE, mangaldai, kalaigaon, kharupetia and mazbat sub division conductor snapped at various location under dalgaon revenue circle. date of occurrence - 15/06/2022 to 19/06/2022, PWSS Damaged | as per report received from executice engineer, Ozagaon,Paniakhat, Niz-baruajhar,bhotpukhuri, fakirpara,No.1 kacharivetitop,silbori,kopati tea estate,rahmanpur,rangagarapathar, chikanmati, 1/2 baruajhar, 1/2 baruajhar part, no1 kuwaripukhuri,pub padukhat, baligaon, takimari, namati, no.1 bargarakhuti, no.2 bargarakhuti, no.5 baruajhar, niz dalgaon,kheteswar pt2, kheteswar pt3, no.1 kheteswar and khagjani pwss have been damaged due to flood under dalgaon revenue circle as on 20/06/2022,  Sipajhar - Fisheries/Pond | Total number of fsh farmers affected approximately 2762 nos total water area affected Approx. -284.27 Hectre as on 25-06-2022",25-06-2022
5,,Goalpara,"Balijana - Irrigation Canal/Scheme Damaged | Saplangkata FIS PT No. 4 flood damaged portion of guide bund, damage length-14.0 M. Reported by Goalpara West Jaleswar Division, Irrigation, Goalpara. Date of occurrence- 19.06.2022, date of information received - 24.06.2022.,  Irrigation Canal/Scheme Damaged | Saplangkata FIS PT No. 2 damaged portion of right brick canal from Ch.30.0M to 50.0 M . Lat- 26.03088 & Long- 90.489051.Reported by Goalpara West Jaleswar Division, Irrigation, Goalpara. Date of occurrence- 19.06.2022, date of information received - 24.06.2022.,  Irrigation Canal/Scheme Damaged | Saplangkata FIS PT No. 2 damaged portion of left brick canal from Ch.100.0M to 135.0 M. Lat- 26.03.791 & Long- 90.487874.Reported by Goalpara West Jaleswar Division, Irrigation, Goalpara. Date of occurrence- 19.06.2022, date of information received - 24.06.2022.,  Irrigation Canal/Scheme Damaged | Pandoba FIS approach road damaged length- 20.0 M. Lat-26.056936 & Long - 90.418648. Reported by Goalpara West Jaleswar Division, Irrigation, Goalpara. Date of occurrence- 19.06.2022, date of information received - 24.06.2022.,  Irrigation Canal/Scheme Damaged | Saplangkata FIS PT No. 2 damaged portion of branch brick canal from Ch.20.0M to 35.0 M . Lat- 26.03107 & Long- 90.489031.Reported by Goalpara West Jaleswar Division, Irrigation, Goalpara. Date of occurrence- 19.06.2022, date of information received - 24.06.2022.,  Irrigation Canal/Scheme Damaged | Saplangkata FIS PT No. 1 damaged portion of brick canal from Ch.360.0M to 380.0 M. Reported by Goalpara West Jaleswar Division, Irrigation, Goalpara. Date of occurrence- 19.06.2022, date of information received - 24.06.2022.",25-06-2022
6,,Hailakandi,"Lala - Health Sub-Centre | Lakhinagar HWC, Under Lala Revenue Circle on dtd. 24.06.2022 Lat- 24.613417 long-92.525133,  Health Sub-Centre | Joykrishnapur HWCUnder Lala Revenue Circle on dtd. 24.06.2022 Lat- 24.520717 long-92.525843,  Health Sub-Centre | Rajyeswarpur SCUnder Lala Revenue Circle on dtd. 24.06.2022 Lat- 24.61425 long-92.579017,  Algapur - Health Sub-Centre | Burniebreas HWC, Partially damaged on 20.06.2022 under Algapur Revenue Circle, Lat- 24.77885 Long- 92.650017,  Health Sub-Centre | Chandipur Pt II, HWC Partially damaged on 20.06.2022, under Algapur Revenue Circle, Lat- 24.792283 Long- 92.577883,  Health Sub-Centre | Bokrihaware HWC, Partially damaged on 21.06.2022, under Algapur Revenue Circle,Lat- 24.786633 Long- 92.6159,  Health Sub-Centre | Algapur Pt III SC, major damaged on 22.06.2022, under Algapur Revenue Circle, Lat- 24.746 Long-92. 59157,  Health Sub-Centre | Mohanpur Pt VI SC, partially damaged on 22.06.2022, under Algapur Revenue Circle, Lat-24. 739367 Long-92. 626417,  Health Sub-Centre | North Narainpur NPHC, partially damaged on 22.06.2022, under Algapur Revenue Circle, Lat-24. 782267 Long 92.64195,  Health Sub-Centre | Two Numbers on staff quarte, Algapu BPHC partially damaged on 24.06.2022, under Algapur Revenue Circle, Lat-24. 761733 Long-92. 5938,  Hailakandi - Health Sub-Centre | Bojontipur NPHC, partially damaged on 19.06.2022 under Hailakandi Revenue Circle, Lat- 24.71625 Long- 92.625467,  Health Sub-Centre | Ratanpur HWC, partially damaged on 21.06.2022 under Hailakandi Revenue Circle, Lat- 24.6934 Long- 92.62765,  Health Sub-Centre | Itarkandi HWC, partially damaged on 21.06.2022 under Hailakandi Revenue Circle, Lat- 24.687167 Long- 92.531767",25-06-2022
7,,Kamrup,"Rangia - Power Dept. Poles | A total of 46 Nos. of LT & HT poles were damaged in villages namely Bongaon, Niz Borigog, Jamtola, Balagaon, Moranjana, Madhukuchi, Dagaon, Nagaon, Athara, Tulsibari, Issapur, Chirakhundi and Barkukuria in between 18.06.2022 to 21.06.2022 as per report of SDE, APDCL, Rangia Sub Div-2,  Power Dept. Conductors | A total of 7580 Metre Conductors were damaged in villages namely Bongaon, Niz Borigog, Jamtola, Balagaon, Moranjana, Madhukuchi, Dagaon, Nagaon, Athara, Tulsibari, Issapur, Chirakhundi and Barkukuria in between 18.06.2022 to 21.06.2022 as per report of SDE, APDCL, Rangia Sub Div-2,  Handloom & Textile Deptt | A total of 155 Nos. of Looms & Accessories were partially damaged in viillages namely Balagaon, Karara Garbhitor, Paschim Sitara, Gurkuchi, Murara, Chanmaguri, Barmura, 1 No. Dimu, Khudra Dimu, Bhaira and Sotshil on 18.06.2022 & 19.06.2022 as per report of Superintendent , H & T, Rangia,  Agri Bundh Damaged | A total of 136 Agribundh were damaged (structural damage) in villages namely Gurkuchi, Udiana, Tarani, Gogmalasa, Udiana, Tatarkuchi, Pub Sitara, Balagaon, Doloigaon, Karara Garbhitor, Tulsibari, Hairandab, BBatakuchi, Goriakoth, Kekohati, Jamtola, Bhatkuchi, Paschim Sitara, Sahan, Barmura, Chapania, Dahara, Mahkhali, Chanmaguri, 1 No. Dimu, 2 No. Dimu, 1 No. Dobok, 2 No. Dobok, Naburka Satra, Kachari Solmari, Dakhin Bardol, Hiragata, Kanikuchi, Niz Borigog, Kaniha Dagharia, Halikuchi, Bichennala, Issapur, Pitambar Hatbajali, Barkukuria, Bhoira, Nakuchi, Kumarpata on 18.06.2022 as per report of ABDO (P), Rangia Dev Block,  Anganwadi Centres Affected | AWCs namely a) 1 No. Dimu Nasatra Puberun Sangha b) Chanmaguri AWC c)Khudra Dimu AWC was damaged on 18.6.22 as per report of ABDO (P), Rangia Dev Block,  Kayan - Handloom & Textile Deptt | Looms & Asccessories 155 nos. damaged. Date of Damage: 18/06/2022 & 19/06/2022. Reported by Superintendent, H&T, Rangia.,  Agri Bundh Damaged | 77 nos. Date of Damage: 18/06/2022. Reported by BDO, Rangia.",25-06-2022
8,,Karimganj,"Nilambazar - Fisheries/Pond | Dated 24/06/2022, reported by District Fishery Officer, Karimganj, 6137 Nos. of Fisheries have been affected with total area of 734.3 Ha.,  Badarpur - Fisheries/Pond | On 24-06-2022, District Fishery Development Officer, Karimganj submitted preliminary damaged report of fishery sector under Badarpur Revenue Circle where 951 nos of fisheries have been affected with a total area of 107.50 hectars,  Patherkandi - Fisheries/Pond | As per report of District Fishery Dev. Officer, Karimganj total 65 nos. of fisheries were affected due to incessant rain and rising of water level as on 24/04/2022. total fisheries area affected is 12 Hector.",25-06-2022
9,,Lakhimpur,"Subansiri - Bridge Approach Road Damaged | As reported by the Dhakuakhana Territorial Road Division, Ghilamara the approach of RCC bridge No. 3/1 on Chakuli to Basudev Than road is damaged (L= 30 M) on 24/06/2022,  Fisheries/Pond | Fishery affected at Dakhin Gaon, Keseruguri, Sapekhati, Mahanibari, Baliyani and Raidongia area. Total Farm family affected 19 nos and area- 4.38 Ha as reported by FDO, Dhakuakhana on 24/06/2022",25-06-2022
