,infrastructure damaged - others,District,Other Details,,Date
0,,Udalguri,"Mazbat - Irrigation Canal/Scheme Damaged | As reported by Executive Engineer, Irrigation, Udalguri Mazbat Division on 27/8/2022, Breach of canal section supply of hume pipe as inlet occurred on Jingabil FIS on 1/7/2022.(26.85765, 92.332516). Length- 8m (approx),",,27-08-2022
1,,,"Irrigation Canal/Scheme Damaged | As reported by Executive Engineer, Irrigation, Udalguri Mazbat Division on 27/8/2022, Breach of canal section supply of hume pipe as outlet occurred on Jingabil FIS on 1/7/2022.(26.85770, 92.33220). Length- 8m (approx),  Irrigation Canal/Scheme Damaged | As reported by Executive Engineer, Irrigation, Udalguri Mazbat Division on 27/8/2022, breach of canal section occurred on Jingabil FIS on 1/7/2022.(26.85767, 92.332518). Length- 140m (approx),  Irrigation Canal/Scheme Damaged | As reported by Executive Engineer, Irrigation, Udalguri Mazbat Division on 27/8/2022, breach of canal section occurred on Jingabil FIS on 1/7/2022.(26.85763, 92.332523). Length- 235m (approx)",,27-08-2022
