,infrastructure damaged - others,District,Other Details,Date
0,,Baksa,"Baska - Culvert Approach Road Damaged | Garamdew to Ban Ahopa road Culvert with approach damaged on 19/06/2022, Co-ordinate - 26.6638, 91.310326",20-06-2022
1,,Barpeta,"Baghbar - Anganwadi Centres Affected | 272 nos of AWC are affected Date:- 19-06-2022,  Barpeta - Bridge Approach Road Damaged | dabaliapara, damage land 10 ft. Date-19-6-2022.,  Sarthebari - Anganwadi Centres Affected | 7,Date-20-6-2022,  Fisheries/Pond | 3371, date-20-6-2022,  Barnagar - Culvert Approach Road Damaged | As per report received from Asst. Ex Engineer PWD,SBG Terri Road Divn on 20/06/2022 culvert approach damage of Culvert Np. 2/1 damaged on Sorbhog Jamadarbari Road. Lat-26.504609, Long- 90.90525,  Culvert Approach Road Damaged | As per report received from Asst. Ex Engineer PWD,SBG Terri Road Divn on 20/06/2022 culvert approach damage of Culvert N0. 1/1 and 1/2 damaged on Barnagar College approach road Road. Lat-26.504609, Long- 90.90525,  Kalgachia - Protection Bundh Damaged | As per report received fr BDO Rupshi on 19/06/22, due to heavy rainfall, 2 nos of flood protection bundh damaged. details- 1. Flood protection bundh st frm Somesh Uddin house to Aynal Hoque house at vill Shawrachara, damaged details- L= 30m, W=4m, H=3m, coordinates- 26.271968, 90.834597, 2. Flood protection bundh st frm Fazar Ali house to Suruz Khan house at vill Shawrachara Gaon, damaged details- L= 20m, W=4m, H=2.4m, coordinates- 26.272749, 90.836816,,  Fisheries/Pond | As per report received from Fishery dept on 19/06/22, total 929 nos of Ponds are submerged as on today within the jurisdiction of Kalgachia rev circle, total water area- 204.26 Ha.,  Chenga - Fisheries/Pond | approx.98 hec. water affected and approx. 429 fish pond submerged date-20-6-2022",20-06-2022
2,,Biswanath,"Biswanath - Bridge Approach Road Damaged | Bridge approach road damaged at Nabapur-Japoriguri to Silamari Road for a length of approx 2 * 50 m (coordinates:26.720292,93.195665) as per report from PWD(roads) Biswanath via whatsapp on 20-06-2022.,  Halem - Anganwadi Centres Affected | Pachim Gopaljarini AWC on 20.06.2022,  Anganwadi Centres Affected | Gopal Jharini AWC on 20.06.2022,  Anganwadi Centres Affected | 1 NO Bortamuli AWC on 20.06.2022,  Anganwadi Centres Affected | 2 No Bortamuli on 20.06.2022,  Anganwadi Centres Affected | Bhulaguri Mazdoor line on 20.06.2022,  Anganwadi Centres Affected | Bholaguri AWC on 20.06.2022,  Anganwadi Centres Affected | Golsepa AWC on 20.06.2022",20-06-2022
3,,Bongaigaon,"Bongaigaon - Secondary Schools Damaged | Purani Bongaigaon High School, as per report received from Ins. of School, Bongaigaon date- 20.06.2022,  Secondary Schools Damaged | Chokapara High School, as per report received from Ins. of School, Bongaigaon date- 20.06.2022,  Boitamari - Secondary Schools Damaged | Ponchagaon High School. as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | J.N.M. Girls High School, Boitamari, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Fisheries/Pond | Total 2 nos pond(1) Nayagaon, (2) Kabaitary Pt. VI. as per report Dist.Fishery Dev. Bongaigaon, date- 20.06.2022,  Manikpur - Secondary Schools Damaged | Bhatipara High School, as per report received from Ins. of School, Bongaigaon date 20.06.2022,  Secondary Schools Damaged | Sonaikola High School,as per report received from Ins. of School, Bongaigaon date 20.06.2022,  Fisheries/Pond | 13 No of Pond (1)Chalabila No.1- 8, (2) Kushmari - 3, (3) Nowagaon-1, (4)Borbila-1,  Srijangram - Secondary Schools Damaged | Golapara High School, Longitude-90°47'41.3448'', Latitude-26°23'29.16348'' as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | P.M.H.S. School, Longitude-90.68915, Latitude-26.4086, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | D.P.M High School, Longitude-90.845167, Latitude-26.3937, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Namberpara High School, Longitude-90.81769562, Latitude-26.40013041, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Piradhara High School, Longitude-90.694348, Latitude-26.307358, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Chukani High School, Longitude-90.751667, Latitude-26.392317, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Amguri Latibari High School, Longitude-90.611555, Latitude-26.3536617, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Kacharipeti High School, Longitude-90.727467 Latitude-26.350383, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Balarchar High School, Longitude-90.78095 Latitude-26.364467, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Kokila Pubpara High School, Longitude-90.835517 Latitude-26.389867, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Secondary Schools Damaged | Kirtanpara High School, Longitude-90.757733 Latitude-26.57285, as per report Ins. Of School, Bongaigaon, date- 20.06.2022,  Fisheries/Pond | 21 No of Pond (i)Kushbari Pt-I- 2nos Pond (ii) Dubasuri Pt-I- 1nos Pond (iii) Sontoshpur Pt-III -1nos Pond (iv) Tupkarchar-1 no Pond (v) Nararvita Pt-IV -2 nos Pond (VI) Rangapani -2nos Pond, (vii) Topgaon Pt-I-1no Pond, (viii) Kirtanpara-4no Pond, (ix) Chailabari Pt-I 1no Pond, (x) Dhalagasa-1no Pond,(xi)Balarchar-5nos Pond,",20-06-2022
4,,Cachar,Sonai - Power Dept. Poles | 04 Nos. of POLES Damage Under Sonai ESD on 20.06.2022,20-06-2022
5,,Chirang,"Bijni - Power Dept. Poles | As reported by SDE Bijni Electrical Sub Division, on 17-06-2022, Total poles Damaged=10 Nos.,  Power Dept. Conductors | As reported by SDE Bijni Electrical Sub Division, on 17-06-2022, Total conductor damaged=1.5 Km(approx) on 18-06-2022.,  Bridge Approach Road Damaged | As reported by PWD Chirang(R&B) Division, RCC Br. Approach eroded at Bhawraguri of Ballamguri to Amguri Bazar road via Khungkrajhora. Length=30 mtr, Breadth=8.00 mtr, Depth=5.00 mtr. Longitude=90.605166 Latitude=26.59492. Date of Occurrence=16-06-2022,  Fisheries/Pond | As reported by District Fishery Dev Officer, Chirang, total of 12 Ponds affected and damaged of embankment desalting /of submerged due to heavy rainfall on 15-06-2022 to 18-06-2022. ,  Sidli - Irrigation Canal/Scheme Damaged | As reported by Sidli Division(Irrigation), Downstream guide bund L/S and R/S of Juilaga FIS damage on 16-06-2022 at Lauripara ( long- 90.385987, Lat-26.559971), damage details - length- 30m, Width-4m, height-4m,  Irrigation Canal/Scheme Damaged | As reported by Sidli Division(Irrigation), Irrigation canal breached due to heavy flood( Canal arise from Daobobil FIS) on 16-06-2022 at Tirimari village ( Long-90.409586, Lat-26.512862) damage details- Length- 20m,width-3m, height-1.5 m,  Fisheries/Pond | As reported by District fishery Dev. Officer, 8 Nos. of Pond are Breakage of embankment, Siltation and submersion due to heavy rainfall on 17-06-2022 .,  Bengtal - Fisheries/Pond | As reported by DFDO, 5 nos. of pond from village Aminpara FV, 2 nos. of ponds from village Khorpaguri, 2 nos. of ponds from village Bhur Khojobari, and 1 each from village Gwthwibari and Dwigudung were affected/submerged/damaged on17-6-2022 to 19-6-2022",20-06-2022
6,,Darrang,"Mangaldoi - Fisheries/Pond | as reported by fisheries department approx.2596 nos. of farmers and total water area apprpx. 196 Hct. are affected as of now. Dated 20-6-2022,  PWSS Damaged | as reported by PHE department approx.5 Nos. of PWSS are damaged till now. Dated 20-6-2022,  Patharighat - Power Dept. Conductors | conductor snapped approx. 20 km at various places under the circle as reported by SDE APDCL on 20.6.2022,  Power Dept. Poles | 27 poles damaged at various places under the circle as reported by SDE APDCL on 20.6.2022,  Fisheries/Pond | 358 ha. of area of pond and fisheries submerged as reported by Fishery Deptt,  Sipajhar - Fisheries/Pond | Total nos. of fish farmers affected appx. 570 nos. & Total water area affected appx. 43 hect.-dated 20/6/2022,  Fisheries/Pond | Fish Farmer affected : 2291 nos. Area : 123.4 Hectre",20-06-2022
7,,Dibrugarh,"Dibrugarh West - Protection Bundh Damaged | As per report received from Executive Engineer, WR Division on 20.06.2022 that Infrastructure Damage has been observed at Chaulkhowa Area near Chaulkhowa Ring Bund. Flood Restoration works completed under SDRF 2016-17 has been completed washed Reach length-200 m at Left bank of River Brahmaputra GPS Co-ordinates = Lat 27°21'27.86""N to Long 94°46'4.67""E,  Chabua - Elementary Schools Damaged | DODHIA ME SCHOOL SUBMERGED AS PER RECEIVED FROM EDUCATION DEPT. ON 20/6/2022 N27 36.390 E95 13.651,  Elementary Schools Damaged | DODHIA KULIGAON LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 20/6/2022 N27 35.845 E95 13.227,  Elementary Schools Damaged | DODHIA KARMI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 20/6/2022 N 27 36.032 E95 14.787,  Elementary Schools Damaged | DODHIA TENGABARI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 20/6/2022 N27 36.652 E95 14.237,  Elementary Schools Damaged | DODHIA CHALBIL LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT ON 20/6/2022 N27 36.462 E95 14.673,  Anganwadi Centres Affected | DODHIA KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 20/6/2022 N27 35.845 E 95 13.227,  Anganwadi Centres Affected | DODHIA TENGABARI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022 N27 36.652 E95 14.237,  Anganwadi Centres Affected | DODHIA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022 N27 36.390 E95 13.651,  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 20/6/2022,  Anganwadi Centres Affected | DODHIA CHALBIL AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | RONGMOLA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 20/6/2022 N27 33'33.40"" E95 11'47.26"".,  Anganwadi Centres Affected | 1 no. Mirigaon AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022 ,  Anganwadi Centres Affected | 2 No. MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | MULUKGHAT MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | TENGABARI-MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | GEREKI NEPALI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | DODHIA ROMAI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022,  Anganwadi Centres Affected | CHALBIL AISUNG CHAPORI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 20/6/2022",20-06-2022
8,,Dima-Hasao,"Haflong - Road Breaches | Damage of Culvert at Ch.2350m (Haflong - Jatinga) Road as per info received from PWRD dated 20/06/2022,  Road Breaches | Due to landslide, road leading to Saitop village is blocked as per info reeived from local dated 20/06/2022,  Road Breaches | Damage of Khejurbond - Kauladisa (KK Road) due to landslide as per info received from PWRD dated 20/06/2022",20-06-2022
9,,Golaghat,"Bokakhat - Fisheries/Pond | Approx. 01 Hect. of water area affected on 19.06.2022,  Dergaon - Elementary Schools Damaged | Schools inundated- 1) Milan Pur Missing LPS 2) Christika Koibartta LPS on 19.06.2022 as per report received from BEEO,North Block,Dergaon,  (Golaghat) At District - Fisheries/Pond | Approx. 01 Hect. of water area affected on 19-06-2022 under Bokakhat Revenue Circle",20-06-2022
