,infrastructure damaged - others,District,Other Details,Date
0,,Baksa,Barama - Culvert Approach Road Damaged | Culvert approch completely damaged on both side at Paschim Gelpejar Boro Supa. Date of occurrence: 15/06/22 (Lat: 26.547194 Lon: 91.435235),16-06-2022
1,,Barpeta,"Barnagar - Bridge Approach Road Damaged | As per WT message received from The Ex. Engineer, Sorbhog & Jania Territorial Road Divn, Barpeta Road vide Memo No. BR/SJTRD/W.T. MESSAGE/2019-20/245 on 15/06/2022 Sorbhog Culvert No. 2/1 on Dakhin Ganakgari to Sontorabari Road has damaged due to heavy rainfall. Long- 90.893671, Lat- 26.471306,  Sericulture Deptt. Damaged | As per report received fro Asst. Manager, Sericulture Govt,. VGR, Noontola 9.5 Hectare of Som plants including matured and nurtured plants are damaged due to heavy rainfall.",16-06-2022
2,,Bongaigaon,"Dangtol - Culvert Approach Road Damaged | Rachigaon to Chengmari road, Damage-HP Culvert damaged at Ch.1890.00m Latitude:26.37872 & Longtitude 90.486003 reported by PWRD Bongaigaon, date of incident 15.06.2022",16-06-2022
3,,Chirang,"Bengtal - Damaged SPT Bridge | As reported by PWD (R&B) Bengtal Division, SPT bridge over Sampur River severely damaged at village Bhurbasti on 16-06-2022. Lat-26.684004 Long-90.369706, L-20m, B-7m, D-2.7m ,  Culvert Approach Road Damaged | As reported by Forest Department, Culvert approach road damaged on 16-06-2022 at village Aminpara FV, L-10m B-3m D-3m, Lat-26.75 Long-90.44,  Handloom & Textile Deptt | As reported by Handloom & Textile Department, Handloom materials of two beneficiaries damaged at village Birinchiguri FV on 16-06-2022,  Bamboo Foot Bridge | Approach road of bamboo footbridge of village Marupara (Ashrabari VCDC) damaged on 16-06-2022, L-4m B-3m D-6m, Lat-26.633943 Long-90.394073,  Agri Bundh Damaged | Aimai Mathaori Bundh damaged on 16-06-2022 under Thaikajora vcdc, L-4m B-3m D-2.5m, Lat-26.658763 Long-90.405811,  Agri Bundh Damaged | No.2 Tukrajhar - Deosri mathaori bundh damaged at No.2 Tukrajhar on 16-06-2022, L-4m B-2.5m D-2m, Lat-26.680172 Long-90.467775,  Agri Bundh Damaged | Bikrampur agriculture canal damaged at Bikrampur on 16-06-2022, L-5m B-2.5m D-2m, Lat-26.633638 Long-90.50083,  Sidli - Washed away Culverts | As reported by PWD (R&B) Chirang, Bhutiapara village main road (HP Culvert) washed out on 16-06-2022 at Bhutiapara, Damage details - Length :8m, breadth : 7 m, Depth : 2.2 m, Long- 90.407738, Lat-26.453193,  Damaged SPT Bridge | As reported by PWD (R&B) Chirang, Athiabari to Dhopguri Village road on 16-06-2022 at Dhopguri Long- 90.423011, Lat-26.556611 Damage Details: Length:25M, Breadth: 4M,  Power Dept. Conductors | As reported by SDE, BESD-II, APDCL, 1.3 Km Conductors is damaged on 16-06-2022.,  Power Dept. Poles | As reported by SDE, BESD-II, APDCL, 3 nos. of LT pole washed away and 1 no. of SP 66 Pole got tilted on 16-06-2022.",16-06-2022
4,,Darrang,"Mangaldoi - Power Dept. Conductors | As reported by APDCL SDE Mangaldai Approximately 5 nos of poles are damaged as of now under Mangaldai Rev. Circle. Dated 16-06-2022.,  Culvert Approach Road Damaged | Culvert Damaged at BorjharBagisa to Bhakatpara road at Ch. 2200m as reported by PWRD.Dated 16-06-2022.,  Culvert Approach Road Damaged | Culvert damaged at Mangaldai Majikuchi road as reported by PWRD.Dated 16-06-2022.,  Dalgaon - Irrigation Canal/Scheme Damaged | breach occured at different chainage of the canals at sukhjani FIS under dalgaon revenue circle as on 16-06-2022.,  Power Dept. Conductors | due to overflow of river and road side erosion, conductor snapped at different places under kalaigaon ESD. date of occurance 14/06/2022 and 15/06/2022, Power Dept. Poles | due to overflow of river and road side erosion, LT & HT poles at different places under kalaigaon ESD. date of occurance 14/06/2022 and 15/06/2022,  Fisheries/Pond | as per report received from fishery development officer, 45 nos of pond and 7 Ha water area affected due to flood as on 16/06/2022 under dalgaon revenue circle,  Patharighat - Power Dept. Conductors | poles and conductor snapped as reported by SDE, APDCL on 16.5.2022",16-06-2022
5,,Dhubri,Agamoni - Bridge Approach Road Damaged | Bridge approaches damaged of RCC Br no. 2/1 on Belguri Satrasal Road via Futaniganj. Dt. 04/06/2022-15/06/2022,16-06-2022
6,,Dibrugarh,"Chabua - Health Sub-Centre | DODHIA KULIGAON HEALTH SUB-CENTRE SUBMERGED AS PER INFORMATION RECEIVED FROM HEALTH DEPT. ON 16/6/2022 Coordinates-N27 35.835 E95 13.266,  Elementary Schools Damaged | DODHIA ME SCHOOL SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 16/6/2022 Coordinates:- N27 36.390 E95 13.651,  Elementary Schools Damaged | DODHIA KULIGAON LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 16/6/2022 Coordinates:-N27 35.845 E95 13.227,  Elementary Schools Damaged | DODHIA KARMI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 16/6/2022 Coordinates:- N 27 36.032 E95 14.787,  Elementary Schools Damaged | DODHIA TENGABARI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 16/6/2022 Coordinates:- N27 36.652 E95 14.237,  Elementary Schools Damaged | DODHIA CHALBIL LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT ON 16/6/2022 Coordinates:- N27 36.462 E95 14.673,  Anganwadi Centres Affected | DODHIA KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 16/6/2022 Coordinates:- N27 35.845 E 95 13.227,  Anganwadi Centres Affected | DODHIA TENGABARI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 16/6/2022 Coordinates:-N27 36.652 E95 14.237,  Anganwadi Centres Affected | DODHIA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 16/6/2022 Coordinates:- N27 36.390 E95 13.651",16-06-2022
7,,Dima-Hasao,"Haflong - Road Breaches | Hume Pipe Blocked leading to overflow of water over Road surface. The dia. of existing hume pipe is insufficient to pass such voluminous discharge and gets continuously blocked by trees and large boulders as per info received from NHAI dated 16 June 2022,  Road Breaches | Due to blockage of hume pipe at ch. 162+040 entire discharge coming to the Hume pipe from the river starts flowing over the road surface towards the Scurve and consequent to this voluminous discharge:- ? Road at S-curve has become extremely narrow and unsafe for even light vehicles to pass through the section. ? Approximately 3m of road has washed out and only 2.5m is left. ? Massive erosion has occurred to the road and drain has widened and deepened & road starting to cave in from drain side as huge water current is continuously eroding the side of road. ? Due to erosion soil at the base of Gabion the gabion structure overhangs and thus boulders falls over road surface. as per information received from NHAI dated 16 June 2022.,  Road Breaches | Damage due to landslide in Jatinga to Harangajao section at different intervals 1.) 25.12 245 N, 93.0245 05E 2.)25.12 196N,93.0307 83E 3.)25.11 4313N,,93.0068 62E 4.)25.10 6542N,,92.9877 77E 5.)25.10 5395N,92.9709 77E 6.)25.11 256N,92.954087E 7.)25.10 9927N,92.936072E 8.)25.10 8985N,92.924705E 9.)25.10 983N,92.898893E 10.)25.10 6208N,92.8682 63E,  Power Dept. Transformers | Damage of 11 KV Sangbar Feeder at Boro Langlai under Umrangso ESD as per information received from APDCL dated 16/06/2022,  Road Breaches | Road blockade due to landslide in between Choto Wapu – Haflong tiniali as per information received from EE, PWRD dated 16/06/2022,  Road Breaches | Landslide at Haflong Mission Road, Haflong as per information received from EE, PWRD dated 16/06/2022,  Road Breaches | Landslide at Haflong-Jatinga Road as per information received from EE, PWRD dated 16/06/2022",16-06-2022
8,,Goalpara,"Rongjuli - Irrigation Canal/Scheme Damaged | AS PER OFFICIAL LETTER RECEIVED FROM EXECUTIVE ENGINEER, DUDHNOI GOALPARA EAST DIVISION, IRRIGATION DUDHNOI RANGRANGA FIS 15M BRICKLINED CANAL DAMAGED ON 14/06/2022 . INFORMATION RECEIVED DATE: 15/06/2022 AFTER 12:00 PM LATITUDE 25.965876 LONGITUDE: 90.881963",16-06-2022
9,,Kamrup,"Rangia - Power Dept. Poles | 3 LT poles damaged in village 3 No. Hassang and Khopnikuchi as per report of SDE, APDCL, Sub Div-II on 15.6.22,  Fisheries/Pond | Total 212 nos. of ponds are affected amounting to water area 23.32 Ha as per report of FDO, Rangia on 15.6.22,  Kamalpur - Fisheries/Pond | Water logged 20 Ha (Approx) due to Rain water at Vill-Majgaon,Kendua,Singarpara,Barkharikota,Baredola,Bangalgaon,Loch,Sahan,Muktapur,Dhulara,Dhuliara on 15.06.2022 as per report of Fishery Development Officer Bihdia Jajikona Block under Kamalpur Revenue Circle",16-06-2022
