,infrastructure damaged - others,District,Other Details,Date
0,,Bajali,"Sarupeta - Washed away Culverts | Culvert washed away at Medhikuchi on Kenduguri Hathinapur road.(reported by concerned LM on 28/6/2022),  Anganwadi Centres Affected | Anganwadi Center Affected at village Katla Gaon.Longitude:91.1321 Latitude:26.4753.This report is received from CDPO Bhawanipur on 29/6/2022",29-06-2022
1,,Baksa,"Baska - Sericulture Deptt. Damaged | Damage of Muga Rearing in flood at CMG Bathouphuri. village 1 No. Katligaon, Coordinate:26.660406, 91.367529 as on 22-06-2022,  Bridge Approach Road Damaged | Sujit Narzary Road BR. NO. 3/1 Approach Damage on 16/06/2022, at village Choudhuritup,  Handloom & Textile Deptt | Losses to individual Weavers and Ancillary workers, Total: 27 nos. Rupali Das, Village: Naosali, Date: 22/06/2022, Coordinate: 26.612963, 91.23572, Anjali Kaibarta, 26.617681, 91.238684, Sabita Das 26.616324, 91.237022, Pratima Hajarika, 26.617998, 91.23871, Janaki Hajarika, 26.618682, 91.238747, Anita Das, 26.616249, 91.236956, Durga Das, 26.616233, 91.238052, Manju Kaibarta, 26.618751, 91.23862, Hiramani Kaibarta, 26.616413, 91.237435, Joyti Kaibarta, 26.617684 91.237292, Sumi Kaibarta, 26.617693, 91.238272 ; Nitumani Kaibarta, 26.617333, 91.238551; Parisma Kaibarta, 26.617333, 91.238546, Nilima Kaibarta, 26.616568, 91.237713; Narmada Kaibarta, 61.617713, 91.237224; Jyotsna Kaibarta, 26.617643, 91.238707; Himani Kaibarta,26.617432, 91.238358; Sarada Kaibarta, 26.617011, 91.238301; Bulu Kaibarta,26.617183, 91.236782; Jibeshwari Kaibarta,26.617377, 91.236751; Anjali Kaibarta, 26.618081, 91.237624, Kamala Kaibarta, 26.618554, 91.238637; Rupahi Kaibarta, 26.618134, 91.238857, Rupahi Kaibarta, 26.618134 91.238857, Rupahi Kaibarta,26.618134, 91.238857; Urmila Kaibarta, 26.618335, 91.238367; Harimati Das, 26.615428, 91.237695, Gayatri Das, 26.615282, 91.23765; Satyabati Roy, 26.615792, 91.237171",29-06-2022
2,,Barpeta,"Chenga - PWSS Damaged | Total 4 nos. of PWSS damaged reported by PHE deptt. on 29/06/2022,  Sarthebari - Irrigation Canal/Scheme Damaged | Sarthebari DTWIS (Amrikhowa point), Reported by E.E, Irrigation on 28.06.22,  Irrigation Canal/Scheme Damaged | Sarthebari DTWIS (Polla point), Reported by E.E, Irrigation on 28.06.22,  Irrigation Canal/Scheme Damaged | Sarthebari DTWIS (Gomura point), Reported by E.E, Irrigation on 28.06.22,  Irrigation Canal/Scheme Damaged | Gumirpathar DTWIS ( Point no. 1), Reported by E.E, Irrigation on 28.06.22,  Irrigation Canal/Scheme Damaged | Gumirpathar DTWIS ( Point no. 2), Reported by E.E, Irrigation on 28.06.22,  Irrigation Canal/Scheme Damaged | PMKSY-HKKP ph-I,  Anganwadi Centres Affected | 72 Salakathir Supa, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 73 no. Jagirbari Tamuli Supa, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 74 no. Santipur, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 75 no. Atather Supa, Reported by CDPO, Sarukhetri on 28.06.22, Anganwadi Centres Affected | 4 no. Khudra Gomura, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 5 no. Karakuchi-I, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 1 no. Badeshila, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 2 no. Namsala-I, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 3 no. Namsala-II, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 6 no. Polla, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 41 no. Lachima-I, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 42 no. Lachima-II, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 45 no. Haldibari-I, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 46 no. Haldibari-II, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 44 no. Kamarpara, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 94 no. Bannarpar, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 43 no. Barkapla, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 49 no. Belbari Pathar, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 47 no. Belbari Gaon-I, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 48 no. Belbari Gaon-II, Reported by CDPO, Sarukhetri on 28.06.22,  Anganwadi Centres Affected | 77 no. Era kacharipara-I, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 79 no. Era Gaon-I, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 195 no. Era Gaon Pachim Supa- II, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 78 no. Erattari-I, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 172 no. Erattari Dakshin Supa-II, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 196 no. Erattari Pub Supa-III, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 197 no. Erattari Uttar Supa-iv, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 215 no. Erattari Pub Supa- V, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 80 no. Neularvitha-I, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 81 no. Neularvitha-II, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 171 no. Neularvitha-III, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 213 no. Neularvitha- iv, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 82 no. Karagari Block 6 No. A/1, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 83 no. Karagari Block 7 No. B/2, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 84 no. Karagari Block 8 No. A/3, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 85 no. Karagari Block 8 No. B/4, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 146 no. Kawaimari Block 5-5, Reported by CDPO, Pakabetbari on 28.06.22,  Anganwadi Centres Affected | 200 kawaimari Pub Supa 6, Reported by CDPO, Pakabetbari on 28.06.22",29-06-2022
3,,Biswanath,"Biswanath - Culvert Approach Road Damaged | As per information received from PWD(rural roads) Biswanath on 29.06.2022 , one slab culvert 2/1, 10 m and approach 5 m -7m on Biswanath Chariali Pabhoi to Nam Baghmara road was damaged/settled. coordinates: 26.754136,93.168297,  Halem - Anganwadi Centres Affected | As reported by CDPO Chaiduar, 14 Nos. of AWCs area affected by flood.28.06.2022",29-06-2022
4,,Bongaigaon,"Bongaigaon - Culvert Approach Road Damaged | One nos. culvert cum drainage has damaged due to the extreme rainfall in Uday Nagar (approx. 60 mtr) under Salbari Revenue Village. (26.488075 90.56213) as per report received from EO, Bongaigaon municipality Bord date- 29.06.2022,  Culvert Approach Road Damaged | Hatimutra Bakharapara road, HP Culvert No. 1/2 washed away at 1st km. Lon- 9.575582 Lat- 26.434891. as per report received from PWRD, Bongaigaon date- 29.06.2022",29-06-2022
5,,Cachar,Lakhipur - Culvert Approach Road Damaged | A part of a Culvert at 37.05 KM on NH 53/37 (SilcharJiribam Sction got damaged due to excess discharge of rain water causing sinking thereof and disrupting traffic movement Report received from PWD NH Department Silchar on 29.06.2022,29-06-2022
6,,Chirang,"Bijni - Power Dept. Poles | As reported by Bijni Electrical Sub Division, 19 nos. of poles damaged on 28-06-2022 at different locations(Bedlangkhaiti, Sonaikohola Kolobari, Notunmati 4, Pub Khamarpara) ,  Power Dept. Conductors | As reported by Bijni Electrical Sub Division, 500mtr conductor damaged on 28-06-2022 ,  Sidli - Protection Bundh Damaged | As reported by BDO, Sidli- Chirang, Athiabari village river mathouri bund damaged at Athiabari village on 15-06-2022 ( Long- 90.422757, Lat- 26.556779) Damage details- Length- 10m,Breadth-2m, depth- 2m,  Irrigation Canal/Scheme Damaged | As reported by BDO, Sidli-Chirang, Irrigation protection mathouri damaged Constructed under MGNREGA on 15-06-2022 at village Tangabari near Ganga Mandir ,( Long-90.486211, Lat-26.564235), Damage details- Length-4m, Breath-3m, depth-3m,  Irrigation Canal/Scheme Damaged | As reported by BDO, Sidli-Chirang, Canal of Jogen Barman house to Akbar house with 3 Nos. Hume Pipe damaged Constructed under MGNREGA on 15-06-2022 at village Hatipota (Long- 90.482732, Lat-26.58112), Damage details- Length- 50m, Breadth-2m, Depth-2m.,  Protection Bundh Damaged | As reported by BDO, Sidli-Chirang, Mathouri bund Hori Mandir to Gitamali house with 2 Nos. hume pipe damaged which Constructed under MGNREGA on 15-06-2022 at village Tangabari ( Long- 90.486211, Lat-26.564039) Damage details- Length- 50m, Breadth- 3m, Depth-2m.,  Protection Bundh Damaged | As reported by BDO, Sidli-Chirang, Erosion protection of land near Kamal Narzary house damaged which was constructed under MGNREGA on 15-06-2022 at Village Mwkwnaguri ( Long- 90.489957, Lat-26.58521) Damage details- Length- 100m, Breadth-10m, depth-6m.",29-06-2022
7,,Darrang,"Patharighat - PWSS Damaged | 2 nos of pipeline scheme and road damaged at Naopota of PHE Deptt. as reported on 29/06/2022,  Sipajhar - Culvert Approach Road Damaged | Tinisuti Malibari Road 0.600 0.50 to 1.00 (from15/05/2022 to 27/06/20222.) ,  Culvert Approach Road Damaged | Bachachuba to N H 52 (Bhuktabari Sonapur )Road 5.000 0.60 to 1.5 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Haldha Maijeli Road 0.400 0.800 (from15/05/2022 to 27/06/2022,  Road Breaches | Assom Mala Group -I 6.000 1.20 (from15/05/2022 to 27/06/2022,  Road Breaches | Majorchuba Byaspara Road 1.500 0.9 (from15/05/2022 to 27/06/2022,  Road Breaches | Biratchuba to NH-52 1.000 0.75 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Bhuktabari Sonapur Road 5.000 2.00 (from15/05/2022 to 27/06/2022),  Culvert Approach Road Damaged | Bordaulguri Borachuba Road PMGSY Package No AS-16-195 1.000 0.90 (from15/05/2022 to 27/06/2022,  Road Breaches | Ganeshqurry Kalitapara Road (from15/05/2022 to 27/06/2022,  Road Breaches | Lenga Kurua Road 2.000 5.00 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Bhatikurua Upper Kurua Rd 1.000 ,  Road Breaches | Garukhuti to Kalitapara Road PMGSY Pkg No AS16-192 3.000 1.00 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | NH-15 to Borachuba Part 2 PMGSY Pkg No-182 4.000 1.00 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Dumunichowki Kurua Road 2.000 0.60 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Dumunichowki Khtara Road 5.000 0.80 (from15/05/2022 to 27/06/2022,  Road Breaches | Nagapra to Bordaulguri Borachuba Rd 3.000 0.8 (from15/05/2022 to 27/06/2022,  Road Breaches | Botabari to NH-52 (PMGSY PkgAS16- 87) 1.000 1.00 (from15/05/2022 to 27/06/2022,  Road Breaches | Manoighat Maroi Road 2.000 0.7 (from15/05/2022 to 27/06/2022,  Bridge Approach Road Damaged | Janasewa Kathamar Road 3.000 0.7 (from15/05/2022 to 27/06/2022,  Road Breaches | Bordoulguri to Borochuba Road (RL) 3.000 1.000 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | 050-Choto Athiabari to Bordoulguri Borachuba (AS-16-148) 3.000 2.000 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | NH 15 to SP Road (AS-16-185) 4.000 1.000 (from15/05/2022 to 27/06/2022,  Bridge Approach Road Damaged | Anandipara to Sipajhar patharighat Road (AS-16-87) 1.000 0.450 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Solpam to Dumunichowki Khatara Road (AS-16-142) 2.000 1.000 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | NH-15 to Borachuba part 2 (PMGSY II) (AS-16-141) 4.000 1.000 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | NH-15 to Barkaliajhar south (PMGSY II) (AS-16-182) 2.000 1.000 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Solpam to Bhuktabari Sonapur Road( Soalpa fishery) road 2.000 1.200 (from15/05/2022 to 27/06/2022,  Bridge Approach Road Damaged | Maroi Pakadali Bengnoi 2.000 1.000 (from15/05/2022 to 27/06/2022,  Road Breaches | Patgirichuba LP School to Bochachuba 2.000 1.000 (from15/05/2022 to 27/06/2022,  Bridge Approach Road Damaged | Bochachuba Solpam Road 2.000 1.000 (from15/05/2022 to 27/06/2022,  Road Breaches | Solpam Bodiasisa 2.000 1.200 (from15/05/2022 to 27/06/2022,  Road Breaches | BB OL to Saktola Embankment 2.000 0.900 (from15/05/2022 to 27/06/2022,  Culvert Approach Road Damaged | Bhati Kurua to Upper Kurua 1.000 0.700 (from15/05/2022 to 27/06/2023,  Anganwadi Centres Affected | 27 nos. of centres under Sipajhar Revenue Circle are partially damaged. 1 no. of centre is Fully Damaged (Aksheleea 18283061828)",29-06-2022
8,,Dhemaji,"Jonai - Power Dept. Conductors | 1.1 KM Conductor Snapped at Gali borbali on 29/06/2022 by flood water from fields,  Power Dept. Poles | 2 No. LT Poles uprooted at Gali Borbali & Tarajan on 29/06/2022 by flooded water from Field.",29-06-2022
9,,Dibrugarh,"Moran - Culvert Approach Road Damaged | As per report of PWD Moran Territorial Road Sub-division due to recent continuous heavy rainfall a 5 Row HP Culvert on Laokhowa Ali situated at Dhemechi village is severely damaged. Length affected - 7.50 mtrs, Lat N27.165069 Long E94.794072, Date of occurance- 27/06/2022,  Chabua - Health Sub-Centre | DODHIA KULIGAON HEALTH SUB-CENTRE SUBMERGED AS PER INFORMATION RECEIVED FROM HEALTH DEPT. ON 29/6/2022 Coordinates-N27 35.835 E95 13.266,  Elementary Schools Damaged | DODHIA KULIGAON LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 29/6/2022 N27 35.845 E95 13.227,  Elementary Schools Damaged | DODHIA KARMI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 29/6/2022 N 27 36.032 E95 14.787,  Elementary Schools Damaged | DODHIA TENGABARI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 29/6/2022 N27 36.652 E95 14.237,  Elementary Schools Damaged | DODHIA CHALBIL LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT ON 29/6/2022 N27 36.462 E95 14.673,  Anganwadi Centres Affected | DODHIA KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 29/6/2022 N27 35.845 E 95 13.227,  Anganwadi Centres Affected | DODHIA TENGABARI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 29/6/2022 N27 36.652 E95 14.237,  Anganwadi Centres Affected | DODHIA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 29/6/2022 N27 36.390 E95 13.651,  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 29/6/2022 N27 33.942 E95 15.125,  Anganwadi Centres Affected | DODHIA CHALBIL AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 29/6/2022 N27. 5714 E95. 2346,  Anganwadi Centres Affected | KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 29/6/22 N27 35.860 E95 13.460,  Anganwadi Centres Affected | DODHIA ROMAI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 29/6/2022 N27 36.450 E95 13.782,  Anganwadi Centres Affected | CHALBIL AISUNG CHAPORI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 29/6/2022 N27 34.890 E95 13.563",29-06-2022
