,infrastructure damaged - others,District,Other Details,Date
0,,Baksa,"Baska - Irrigation Canal/Scheme Damaged | Khagrabari Canal eroded at Village Lakshmipur A. Block on 18/06/2022. Co-Ordinate= 26.707607, 91.372947,  Baganpara - Bridge Approach Road Damaged | On dated 15/06/2022 at Thakursupa to uzirghat bridge approach approx 5m has been eroded due to flash Flood. Longi: 91.4875, latitude: 26.5766",19-06-2022
1,,Barpeta,"Baghbar - Anganwadi Centres Affected | (5 Nos.) Damage Date: 18/06/2022; Reported by CDPO Mandia,  Kalgachia - Anganwadi Centres Affected | As per report received from CDPO, rupshi on 19/06/2022, total 80 nos of AWC are submerged within the circle area. They are- 1.54 noShawpur (A),2.55no Shawpur (B),3.56 no Shawpur (C) 4.57 no Shawpur (D) 5.58 no Udmari (A) 6.59 no Shariatpur (A) 7. 60 no Shariatpur (B) 8. 61 no Digjani (A) 9.62 no Digjani(B) 10.63 no Digjani (C) 11.67 no Adipur (A) 12.68 no Aditpur (B) 13.155 no shawpur (E)14. 156 noUdmari( B) 15. 157 no Shariatpur (C) 16.158 no Digjani (D) 17.210 shawpur Char 18. 213 no shariatpur (E) 19. 214 No Digjani (E) 20. 215 no Aditpur (C) 21.256 no shawpur char 22. 257 no shawpur part ii 23 258 n0 Shariatpur Madhya. 24.259 no Aditpur Dakhsin 25. 260 no Udmari Char 26.263 Digjani Char 27. 47 no Gunialguri (A) 28.48 no Gunialguri (B) 29. 262 no Balarpathe Uttar 30. 53 no Sutir Pather 31.154 No Amguri (C) 32.255 no Amguri Pachim 33. 9 no Bheragann (A) 34. 66 no Balarpather 35.211 nobalar pather36.212 no Balarpather 37.69 no Tapeswara 38. 70 no tapeswara 39.71 no tapeswara40. 160 no Tapeswara 41. 264 no Tapeswara 42.265 no Tapeswara 43. 74 no Nadiapara 44. 218 no Nadiapara 45. 267 noNadiapara 46.72 No Dabandia 47 219 no Dabandia 48.162 no Balagaon 49. 266 no Balagaon Pachim 50. 188 no Jawrimari 51. 293 no Shawrachar Reserve 52.129 no Soilmari 53. 190 no Soilmari 54.297 no Soilmari 55.186 no Shawrachara gaon 56.296 no shawrachara gaon 57.127 no Shawrachara gaon 58. 121no Chikni 59..228 no Chikni 60.187no Shawrachara Pather 61. 295no Shawrachara Pather 62. 1185 no Chikni 63. 117 no Chandmama 64.285no Chandmam 65.108 no Bar bhitta 66. 109no Bar bhitta 67. 110 no Bar bhitta 68. 179 no Bar bhitta 69.111no Kandulia 70. 113no Kandulia 71. 180 no Kandulia 72. 284 no Kandulia 73. 115 no Bartari 74. 116 no Bartari 75. 279 no Bartari 76. 114 no Aprupi 77. 181 no Aprupi 78. 227 n0 Aprupi 79 .281 no Aprupi 80. 282 no Aprupi,  Fisheries/Pond | As per report received from Fishery dept on 19/06/2022 , total 781 nos of Ponds are submerged within the jurisdiction of Kalgachia rev circle, total area of fishery- 171.57 hector., Sarthebari - Fisheries/Pond | 3371 Date-19-6-2022,  Anganwadi Centres Affected | 16.Date-19-6-2022,  Barnagar - Sericulture Deptt. Damaged | As per report received from Sericulture Demonstrator 4550 nos of Kesseru plants are affected due to heavy rain Date-19-6-2022",19-06-2022
2,,Bongaigaon,"Dangtol - Power Dept. Poles | 7.5 m Pole- 2 Nos. (Location Mamugaon) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022,  Power Dept. Poles | 7.5 m Pole- 1 No. (Location Saonagaon) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022,  Power Dept. Poles | 8.5 m Pole- 2 Nos. (Location Tengaigaon) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022,  Power Dept. Conductors | 1) Athugaon- 0.2 K.m, 2)Mamugaon- 0.4 K.m, 3) Nowagaon- 0.2 K.m, 4) Tilpukhuri- 0.2 K.m, 5) Tengaigaon- 0.5 K.m, 6)Saonagaon- 0.3 K.m, 7) Kachuagaon- 0.3 K.m as per report received from Power Dept. Bongaigaon. Date- 18/06/2022,  Power Dept. Transformers | 1 No. (Location- Athugaon) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022,  Bongaigaon - Power Dept. Poles | 7.5 m Pole- 2 Nos. (Location Bhakarivita) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022 ,  Power Dept. Poles | 7.5 m Pole- 1 No. (Location Mulagaon) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022 ,  Power Dept. Conductors | 1) BOC Gate-0.1 k.m, 2) Gurunanak Nagar-0.3 k.m, 3)Betbari-0.2 k.m, 4) Barpara -0.2 k.m, 5) Shastri Road-0.1 k.m, 6) Jhelkajhar-0.3 k.m, 7)Mechpara-0.3 k.m, 8) Dhola Pukhuri-0.1 k.m, 9) Smashanpara-0.1 k.m, 10)Bhakarivita-0.3 k.m, 11) Mulagaon-0.2 k.m as per report received from Power Dept. Bongaigaon. Date- 18/06/2022,  Power Dept. Transformers | 1 no. (Location- BOC Gate) as per report received from Power Dept. Bongaigaon. Date- 18/06/2022",19-06-2022
3,,Cachar,"Udharbond - Power Dept. Poles | LT Pole Damaged at Kashipur Borogram due to Soil Erosion under Udharbond ESD as per report received from APDCL, cachar, as on dated 19.06.2022",19-06-2022
4,,Chirang,"Sidli - Culvert Approach Road Damaged | As reported by PWD (R&B) Chirang, NH31 C to Ranchaidham RCC culvert approach eroded at ch. 3430m on 18-06-2022 at Sidli ( Long- 90.439489, Lat-26.508286) Damage Details- Length - 15m, Breadth-8m, Depth-3.5 m,  Washed away Culverts | As reported by PWD (R&B) Chirang, Tengnamari Village road HP culvert washed out on 18-06-2022 at Tengnamari ( Long- 90.411321, Lat-26.484992) Damage Details- Length - 14m, Breadth-7.5m, Depth-2.8 m,  Power Dept. Poles | As reported by SDE, BESD-II APDCL, 7 nos. of pole washed away at Nepalpara on 18-06-2022,  Power Dept. Conductors | As reported by SDE, BESD-II APDCL, 2.1 km of conductor washed away at Nepalpara on 18-06-2022,  Bengtal - Bamboo Foot Bridge | As reported by PWD bamboo foot bridge washed away at Salbari Molandubi road at Salbari Molandubi on 18-06-2022, Long-90.436989 Lat-26.675222, L-20m B-4m D-3m",19-06-2022
5,,Darrang,"Mangaldoi - Fisheries/Pond | Total number of fish farmers affected (approximately) -2171 nos Total water area affected (approximately) - 173 Hac. as on 19-06-2022 as reported by Fishery Department,  Patharighat - Power Dept. Poles | pole damaged and conductor snapped as reported by SDE on 18.6.2022",19-06-2022
6,,Dhubri,"Dhubri - Culvert Approach Road Damaged | HARD CRUST, SIDE BERM & CULVERT APPROACH PARTAILLY DAMAGED OF CUL. NO. 1/1 ON DG ROAD AT RLY. LEVEL CROSSING TO TIAMARI PT-II VIA ROYPARA FROM CH. 200.00 M TO 1600.00 M (Dated-16-06-2022 to 19-06-2022),  Culvert Approach Road Damaged | HARD CRUST, SIDE BERM & CULLVERT APPROACH PARTAILLY DAMAGED OF CUL. NO. 1/1 ON 4TH KM OF DJG ROAD TO 1384 NO. JHAGRARPAR PT-IV L.P. SCHOOL FROM CH. 400.00 M TO 1650.00 M (Dated-16-05-2022 to 19-06-2022),  Gauripur - Culvert Approach Road Damaged | CULVERT APPROACHES OF CUL. NO. 1/1 DAMAGED AND BREACHED (L = 60.00 M) AND SIDE BERM PARTIALLY DAMAGED AT 1ST KM ON 75TH KM OF GAURIPUR KALAHAT ROWA ROAD TO TUNKERDARA ROAD (Dated-16-06-2022 to 19-06-2022)",19-06-2022
7,,Dibrugarh,"Chabua - Health Sub-Centre | DODHIA KULIGAON HEALTH SUB-CENTRE SUBMERGED AS PER INFORMATION RECEIVED FROM HEALTH DEPT. ON 19/6/2022 Coordinates-N27 35.835 E95 13.266,  Elementary Schools Damaged | DODHIA ME SCHOOL SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 18/6/2022 N27 36.390 E95 13.651,  Elementary Schools Damaged | DODHIA KULIGAON LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 19/6/2022 N27 35.845 E95 13.227,  Elementary Schools Damaged | DODHIA KARMI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 19/6/2022 N 27 36.032 E95 14.787,  Elementary Schools Damaged | DODHIA TENGABARI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 19/6/2022 N27 36.652 E95 14.237,  Elementary Schools Damaged | DODHIA CHALBIL LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT ON 18/6/2022 N27 36.462 E95 14.673,  Anganwadi Centres Affected | DODHIA KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 18/6/2022 N27 35.845 E 95 13.227,  Anganwadi Centres Affected | DODHIA TENGABARI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 19/6/2022 N27 36.652 E95 14.237, Anganwadi Centres Affected | DODHIA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 19/6/2022 N27 36.390 E95 13.651,  Elementary Schools Damaged | MOHMORA HINDI LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 18/06/2022. N27 34'5.0514"" E95 10'23.7144"",  Elementary Schools Damaged | MIRIGAON LPS SUBMERGED AS PER INFORMATION RECEIVED FROM EDUCATION DEPT. ON 19/06/2022. N27 30'44.51"" E95 12'49.41"",  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 19/6/2022,  Anganwadi Centres Affected | DODHIA CHALBIL AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 19/6/2022",19-06-2022
8,,Dima-Hasao,"Haflong - Road Breaches | Portion of Dolaichunga - Rekho connecting road washed away due to landslide as per info received from PWRD dated 19/06/2022,  Road Breaches | Portion of Dittokcherra - Harangajao connecting road washed away due to landslide as per info received from PWRD dated 19/06/2022,  Road Breaches | Damage of Semkhor - Guilong road at multiple points due to landslide as per info received from loal dated 19/06/2022,  Road Breaches | Damage of Digrik village approach road due to landslide as per info received from local dated 19/06/2022",19-06-2022
9,,Goalpara,"Balijana - Irrigation Canal/Scheme Damaged | Brick canal of Saplangkata FIS (Point no. 2) under Goalpara Irrigation Dept. Date of occurrence 18.06.2022. Information received from Goalpara Irrigation Department. GPS: LAT-26.036264 & LONG- 90.498689,  Lakhipur - Washed away SPT Bridge | As per report of PWD Roads department, The approach of SPT Bridge No. 2/1 on Lakhipur Tulsibari Road Near Takimari Bazar washed away and communication suspended on 18.06.2022 .Temporary Restoration works in progress. Latitude 26.047121 and Longitude 90.300862",19-06-2022
