,infrastructure damaged - others,District,Other Details,Date
0,,Bajali,"Sarupeta - Anganwadi Centres Affected | Anganwadi Center Affected at Tangla mullahpar(reported by CDPO Bhawanipur ICDS project), dated 23/06/22",23-06-2022
1,,Barpeta,"Chenga - Anganwadi Centres Affected | 179 No. Batgaon Nayapara, 177 No. Niz Ganakpara,65 No. Pub Andanga 67 No. Bhelenabh 69 No. Changbandha-1 70 No. Aduripara-1 71 No. Aduripara-2 72 No. Moiradia 73 No. Pub Moiradia 112 No. Dakhin Moiradia ( 33 nos. AWCs fully damaged ) 30 No. Uttar Bampara, 154 No. A. Jayar Char 155 No. A.T. Dewani Supa 156 No. A. Kazir Char-2, 23 No. Gelabil 3 No. Saara, 2 No. Bldiapalipara Reserve 7 No. Subha 2 No. Dakhin Barchenga Mini 54 No. Subha Mannery Mini 3 No. Dakhin Bampara Mini 114 No. Hirapara 170 No. Malipara Puran Mothawuri Supahara 75 No. Mahchara 76 No. Pub Mahchara 77 No. Pub Mahchara 78 No. S 97 No. Simulbari-2 74 No. Mahcikaripara 79 No. Sikaripara 83 No. Pampara 92 No. Mahchara NC 133 No. Simulbari M. Para 136 No. Chaira Bil Para 137 No. Khalabandha Para 139 No. Pampara B. Char 141 No. M. Pampara Eidgah 142 No. Sikaripara Bhatipara 143 No. Sikaripara NHM House 21 No. Sikaripara Jatham Mini 22 No. Pub Mahchara Tini Ali Kalbagan Para Mini 64 No. Mara Kalahi Abed Bepari Supa Mini 65 No. Pampara Bil Para Mini 117 No. Damdama KC 185 No. Bardia 82 No. Kasimpur 110 No. Kasimpur 2 132 No. Kasimpur P. Para 61 No. Kasumara 62 No. Ramharipara 1 96 No. Chunerchali 148 No. Kasumara 151 No. P. Andabhanga 64 No. Kasumara NC 1 66 No. Kasumara NC 2 63 No. Pahar Para 68 No. Holongapara 157 No. Holongapara Char 25 No. H. Uttar Char Mini 161 No. Mairadia Markas Maszid 27 No. Paschim Mairadia Mini 20 No. Mahchara Bazar Para Mini 24 No. Kasumara Tiapara Mini 23 No. Sikaripara Dapara Mini , 38 No. Pub Balartari 186 No. Sarudia 59 No. Damdama 33 No. Roumari Pathar III ,108 No. Paspir Dargah 35 No. Chata , 53 No. Subha Hindu Supa Mini 50 No. Yasin President Supa ,(33 Nos. fully damaged,57 Nos. partialy damaged)Reported by CDPO Date-23-6-2022,  Barnagar - Anganwadi Centres Affected | As per report received fro CDPO Office on 23/06/2022, an AWC namely 35 No. Pachim Balabhita AWC is affected due to flood and heavy rain,  Anganwadi Centres Affected | As per report received fro CDPO Office on 23/06/2022, an AWC namely 142 No. Jashihati Pachim Suba AWC, Village- Kalahbhanga is affected due to flood and heavy rain",23-06-2022
2,,Bongaigaon,"Manikpur - Fisheries/Pond | 1 No of Pond at Barbilla village, reported by Fishery Deptt., date- 23.06.2022 ,  Srijangram - Fisheries/Pond | Total 31 Nos of Pond. Villages -(1) Matraghola-3 nos, (2)Balarchar-13 Nos, (3)Ambari-3 Nos, (4)Banglapara-3 Nos, (5) Kalikura-2 Nos, (6) Kacharipety Pt. II- 1 No, (7) Kokila Pt.II-1 No, (8)Chakla Pt.I- 3 Nos, (9) Dhalagasa-1 Nos. Reported by Fishery Deptt. date-23.06.2022",23-06-2022
3,,Darrang,"Mangaldoi - Fisheries/Pond | as reported by Fishery department total fish farmer affected approx. 3395 and total water area affected approx. 284.9 hect. Dated 22-3-2022,  Power Dept. Poles | as reported by APDCL approx.15 nos. of poles are damaged under mangaldai sub division. Dated 21-6-2022,  Sipajhar - Power Dept. Poles | 4 No poles have been damaged as on 23-06-2022 as reported by APDCL,  Power Dept. Conductors | 4 Km. (Approx) have been damaged as on 23-06-2022 as reported by APDCL,  Fisheries/Pond | Total 2762 Nos (approx.) of Fish afrmers and total water area 284.27 Hectre. (approx.) affected as on 23-06-2022 as reported by Fishery Department ,  Dalgaon - Power Dept. Poles | As per report received from SDE, Mangaldai, Kharupetia , Majbat, Kalaigaon Sub -Division , APDCL Electric Pole have been damaged at various villages under Dalgaon Rev. Circle. Date of Occurrence 15-06-2022 to 19-06-2022,  Patharighat - Power Dept. Poles | poles damages as reported by SDE APDCL on 23.6.2022",23-06-2022
4,,Dhubri,"Dhubri - Culvert Approach Road Damaged | CULVERT APPROCH & SIDE BERM DAMAGE ON KISMATHASDAHA ROAD TO BANIARTARI VILL ROAD(DATED-18-06-2022 TO 23-06-2022)),  Agamoni - Bridge Approach Road Damaged | BRIDGE APPROACHES OF RCC BR. NO. 1/1 & 2/1 ON HALAKURA HE SCHOOL TO KATHALTOLI ROAD (PMGSY) Dt. 04/06/2022-15/06/2022,  Bridge Approach Road Damaged | BRIDGE APPROACHES OF SEMI RCC BR. NO. 1/1 ON RANPAGLI TO CHAR RANPAGLI DAMAGED Dt. 04/06/2022-15/06/2022,  Bridge Approach Road Damaged | RCC BOX CELL CULVERT APPROACH OF CUL NO. 1/1 DAMAGED ON GANESHERDHAM TO POKALAGI PT-II ROAD Dt. 04/06/2022-15/06/2022,  Bridge Approach Road Damaged | BRIDGE APPROACHES OF RCC BR. NO. 5/1 ON KHERBARI BAUSERKUTI ROAD DAMAGED (.) Dt. 04/06/2022-15/06/2022,  Bridge Approach Road Damaged | SIDE BERM & RCC BRIDGE NO 7/1 ON PRATAPGANJ KHERBARI ROAD DAMAGE. Dt. 04/06/2022-15/06/2022",23-06-2022
5,,Dibrugarh,"Chabua - Anganwadi Centres Affected | DODHIA KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 23/6/2022 N27 35.845 E 95 13.227,  Anganwadi Centres Affected | DODHIA TENGABARI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 36.652 E95 14.237,  Anganwadi Centres Affected | DODHIA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 36.390 E95 13.651,  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 23/6/2022 N27 33.942 E95 15.125,  Anganwadi Centres Affected | DODHIA CHALBIL AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27. 5714 E95. 2346,  Anganwadi Centres Affected | RONGMOLA AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 33'33.40"" E95 11'47.26"",  Anganwadi Centres Affected | UPPER GEREKI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT. ON 23/6/2022,  Anganwadi Centres Affected | 2 NO. MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 33' 50.38"" E95 13' 16.90"",  Anganwadi Centres Affected | MULUKGHAT MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 33'52.36"" E95 13'15.74"",  Anganwadi Centres Affected | TENGABARI-MIRIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 33'52.88"" E95 13' 14.42"",  Anganwadi Centres Affected | GEREKI NEPALI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 33'50.76"" E95 15'26.01"",  Anganwadi Centres Affected | KULIGAON AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/62/22 N27 35.860 E95 13.460,  Anganwadi Centres Affected | DODHIA ROMAI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 36.450 E95 13.782,  Anganwadi Centres Affected | CHALBIL AISUNG CHAPORI AWC SUBMERGED AS PER INFORMATION RECEIVED FROM SOCIAL WELFARE DEPT ON 23/6/2022 N27 34.890 E95 13.563",23-06-2022
6,,Goalpara,"Matia - Fisheries/Pond | No. of fisheries/pond affected = 16 and water area affected by flood = 2.00 Ha as reported by Fishery Development Officer, Matia Block on 23/06/2022,  Balijana - Fisheries/Pond | As reported by Fishery Development Officer, Kharmuza Block approximately 1654 nos. of farmer having water area of 354 Ha pond/ tank/community tank have been affected due to flood. Information received on 22.06.2022",23-06-2022
7,,Golaghat,"Bokakhat - Elementary Schools Damaged | Lohore Chapori LPS,Kemeri Majdolopa chalami LPS,Lohore Chapori MES got partially damaged on 22.06.2022",23-06-2022
8,,Hojai,"Doboka - Handloom & Textile Deptt | Affected weavers 438 nos. of villages are 1) Patiapam, 2) Baliram Gaon, 3) Nagayapam, 4) Kathkatia Bhakat Gaon, 5) Kamargaon, 6) Changjurai Kohargaon, 7) Kohargaon, 8) Era Kapili, 9) Borjari,, 10) Jamunamukh, 11) Patidoya, 12) Kandulimari on dated w.e.f. 15/06/2022,  Handloom & Textile Deptt | SHG/PWCS in Hiya SHG, Nagayapam, 2) Sadana BKSS Ltd. Jamunamukh, 3) Jamuna BKSS Ltd, Jamunamukh, 4) Surabhi BKSS Ltd, Jamunamukh, Looms & Accessories 44 nos. damaged on dated w.e.f. 15/06/2022",23-06-2022
9,,Kamrup,"Kayan - Power Dept. Poles | 8 nos. Date: 22/06/2022. Reported by Rangia Electrical Sub-Division 2, APDCL, Rangia.,  Power Dept. Conductors | 1.3 km. Date: 22/06/2022. Reported by Rangia Electrical Sub- Division 2, APDCL, Rangia.,  Kamalpur - Fisheries/Pond | Due incessant rainfall 19.5 ha as per report of Fishery development Officer Kamalpur on 22-06-2022",23-06-2022
