,infrastructure damaged - others,District,Other Details,Date
0,,Bajali,"Bajali - Agri Bundh Damaged | 1. from Rupohi end to rameswar swargiary house.affected length 30m. 2.from satish boro land to maheswar basumatary land.affected length 25m.. 3.bristi land to pun nain road.affected lenth 35m. 4.Dilowar hussain house to sayed ali house.affected lenth 50m. 5.Rupohi en mathauri to panpara reserve.affected length 23m. 6. Rashidul house to Tomej uddin house.affected length 26m. This report is received from BDO,Bhawanipur developement Block on 26/06/2022,  Washed away Culverts | Culvert damaged at the agri bundh from rupohi end to rameshwar Swargiary house under Dhumarpathar GP.This report is received from BDO,Bhawanipur Developement Block on 26/06/2022.,  Agri Bundh Damaged | Binay Das house to Satyaban Malakar house at Dubi near Dubi Devalaya under Bajali Dev.Block.affected length 100m..Site visited and Reported by Field Officer (DM),on 27/06/2022",27-06-2022
1,,Baksa,"Baska - Culvert Approach Road Damaged | 2 No. Narayanpur to Motipur Goibari Village Road approach ring culvert damage on 20/06/2022. Co-Ordinate: 26.677022, 91.358863,  Barnagar RC part - Fisheries/Pond | As per report received from Fishery dept on 26/06/2022 approx 95 Hectares of Fishery area affected due to flood.",27-06-2022
2,,Barpeta,"Chenga - Anganwadi Centres Affected | 14 nos. AWCs partially affected under Gomafulbari ICDS project, reported by CDPO on 27/06/2020,  Elementary Schools Damaged | 72 nos. schools partially damaged and 1 no. school fully damaged (Pachim Nirala Char LPS), reported by BEE deptt. on 27/06/2022,  Barnagar - Anganwadi Centres Affected | As per report received from CDPO, Chakchaka Dtd. 27/06/2022, 33 No. Balabhita middle AWC village- Balabhita affected due to flood and heavy rain. Lat- 26.48321, Long- 90.94549,  Anganwadi Centres Affected | As per report received from CDPO, Chakchaka Dtd. 27/06/2022, 106 No. Alubari Madulijhar AWC village-Tengagaon affected due to flood and heavy rain. Lat- 26.447974, Long- 90.90003",27-06-2022
3,,Chirang,"Sidli - Handloom & Textile Deptt | As reported by Assistant Director, Handloom and Textiles, Chirang , Total 6 Nos. of damaged unit of tools & equipment/ Raw materials/ goods in process/ finished goods on 16/06/2022 at village Tirimari and No.2 Girjengaon .,  Damaged SPT Bridge | As reported by EE, PWRD, BDTRD, Bongaigaon , SSB Camp to Khusulupara road approach of SPT Br. No.1/1 eroded, approach become narrow by erosion of side slopes, forward slops etc. at Ch. 700m, on 25/06/2022 at Khusulupara ( Lat- 26.428361, Long-90.605598) Damage details- Length- 12m, Breadth- 3.6m, Depth- 4m to 4.5m",27-06-2022
4,,Darrang,"Sipajhar - PWSS Damaged | 18 nos. affected as reported by PHE on 27/6/2022,  Handloom & Textile Deptt | As per report 56 nos. of weavers under Kurua area are affected by flood as on 27-06-2022",27-06-2022
5,,Dhubri,"Agamoni - Culvert Approach Road Damaged | SIDE BERM & CULVERT APPROACHES OF HP CULVERT NO. 1/1 ON HALAKURA HE SCHOOL TO LOWDANGARPAR ROAD AT 1ST KM Dtd. 16/06/2022 to 20/069/2022 ,  Culvert Approach Road Damaged | SIDE BERM & CULVERT APPROACHES OF HP CULVERT NO. 1/1 ON HALAKURA HE SCHOOL TO PRODHANIRTARI AT 1ST KM Dtd. 16/06/2022 to 20/069/2022 ,  Bridge Approach Road Damaged | BRDGE APPROACHES OF RCC BR. NO 1/1 ON CHAGOLIA TO GAZISINGERKUTI ROAD Dtd. 16/06/2022 to 20/069/2022",27-06-2022
6,,Goalpara,"Lakhipur - Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Ghagua FIS, Main canal MC1 (LHS),Damage length 230.0 Metre in scattered chainages between Ch. 30.0 M to Ch. 1950.0 M . Reported by the department on 27.06.2022.,  Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Ghagua FIS, Main canal MC2 (RHS),Damage length 190.0 Metre in scattered chainages between Ch. 60.0 M to Ch. 1600.0 M. Reported by the department on 27.06.2022.,  Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Silkapara LIS, Main canal MC1 (LHS),Damage length of canal bed 300.0 Metre in scattered chainages between Ch. 200.0 M to Ch. 1000.0 M. Reported by the department on 27.06.2022.,  Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Silkapara LIS, Main canal MC2 (RHS),Damage length of canal bed 185.0 Metre in scattered chainages between Ch. 200.0 M to Ch. 900.0 M. Reported by the department on 27.06.2022.,  Irrigation Canal/Scheme Damaged | As per report of Goalpara West-Jaleswar Division, Irrigation date of occurrence on dated 19.06.2022 Jinjiram LIS, Approach Road, Damage length 30.0 Metre between Ch. 40.0 M to Ch. 70.0 M. Reported by the department on 27.06.2022.",27-06-2022
7,,Kamrup,"Kayan - Anganwadi Centres Affected | 51 nos. of AWC of Kamalpur Rangia ICDS Project damaged under Kayan Rev. Circle. Date: 16/06/2022 to 24/06/2022. Reported by Kamalpur Rangia ICDS Project, Rangia on 26/06/2022.,  Rangia - Anganwadi Centres Affected | Total 68 AWCs were partially damaged namely DIMU CHANMAGURI YUBA MANCHA, DUBAK HIRA CHUBA, DUBAK M.E. MADRASHA ,1NO DUBAK BARALIMARA, 1NO DIMU MUSHLIM CHUBA, 1NO DIMU NASATRA PUBRAN SANGHA, PURAN BURKA NABAJYOTO SANGHA, PACHIM NABURKA MAHILA SAMITTEE, KHUDRADIMU JANAKALYAN SANGHA, 30 NO NOBURKA BUNIYADI VIDYALAYA, DUBAK FAKIR TULA MUSHLIM CHUBA, Maranjana Balika LP School, Maranjana Udiyaman yubak Sangha , Maranjana Boro Chupa , Kekenikuchi Mahila Samiti , Na-kuchi Jagaran Sangha , Borsil sotsil Mahila Samiti , Bhaira Kumar pata Unnayan Sangha , 1no Kumar pata, Kumar pata Adarsh Lp School , Pashim Borsil sotsil , 13No Na-kuchi Lp School , Kekenikuchi LP School, 16noBhaira Borsil, Kekenikuchi Na-kuchi , Bangali kuchi Krist Sangha , Nakul -Kakanikuchi Mahila Samitte , 2No Nakul Kalita Chupa , 4No chapti LP school , Gosai solmari Nath supa, Harijon Colony , 36No Bordal LP school , Murara Boro Supa Tribal Sangha , RUPKANUWAR SANGHA, KARARA GARVITA BORO SUPA, NABODAY TARUN SANGHA, TARANI MEDHI GHAT, TARANI ARIMATTA SANGHA, TARANI VIDYA JYOTI L P SCHOOL, TARANI VIDYAGARH PHC, 1 NO. TULSIBARI PHE, PASCHIM TULSIBARI MAHILA SANGHA, SWAHID JATIN KALITA, TULSIBARI SHANKARDEV SMRITI SANGHA, LACHIT JYOTI SANGHA, PUB-TULSIBARI LPS, DAKSHIN MAHATOLI, CHIKNIBARI GHAGARPAR LPS , HASSANTOOK LPS, PUB TULSIBARI BARALIAPAR, Udiana Khalifa Supa, Udiana Maria tola, Udiana potapukhuripar, Udiana Balagaon, UdianaL P School, Gurkuchi Dakshin Sitara, pub sitara Mahila Samity, Balagaon Mahila Samity, Doloigaon Mahila Samity, Gogmalasa, 2 no Balagaon, Tatarkuchi, Barhampur Hatbazali, Jayantipur L.P School, Jayantipur Prathamic Vidyalaya, Barkukuria Nonapar, Barkukuria L.P School between 17/6/2022 to 19/6/2022 as per report of CDPO, Rangia. ,  Power Dept. Poles | Total 12 Nos. of LT & HT poles were damaged due to flood in villages namely Nakul, Chirakhundi, Hiragata, Kekenikuchi, Gurkuchi, Rangia Town, Kachari Solmari between 17/06/2022 to 19/06/2022 as per report of SDE, APDCL, Rangia Sub Div-I ,  Power Dept. Conductors | Total 3.55 KM HT Conductor Damaged in villages namely Nakul, Chirakhundi, Hiragata, Kekenikuchi, Gurkuchi, Rangia Town, Kachari Solmari between 17/06/2022 to 19/06/2022 and 0ne 100 KVA Transormer damaged in village Kekenikuchi on 19.6.22 as per report of SDE, APDCL, Rangia Sub Div-I",27-06-2022
8,,Karimganj,"Karimganj - Fisheries/Pond | Fisheries/Pond | On 24-06-2022, District Fishery Development Officer, Karimganj submitted preliminary damaged report of fishery sector under Karimganj Sadar Circle where 2191 nos of fisheries have been affected with a total area of 248.20 hectars, is reported and the same is being update at FRIMS on 27-06-2022. ,  RK Nagar - Fisheries/Pond | 106 nos. Villages affected , 1995 nos. Fishery and 207.27 hector area affected as reported by SDO fishery, Karimganj, is reported and the same is being update at FRIMS on 27-06-2022.",27-06-2022
9,,Kokrajhar,"Gossaigaon - Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR GOSSAIGAON SUB-DIVISION ON 18.06.2022, CULVERT NO. 1/2 HAS BEEN DAMAGED ON SECOND BAZAR GURUFELA PWD ROAD TO SALBIL ROAD,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR GOSSAIGAON SUB-DIVISION ON 18.06.2022, CULVERT NO. 3/1 HAS BEEN DAMAGED ON BOROBINYAKHATA TO TENGAIGAON VILLAGE,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR GOSSAIGAON SUB-DIVISION ON 18.06.2022, CULVERT NO. 1/1 HAS BEEN DAMAGED ON SECOND BAZAR PWD ROAD TO JOJLAIGAON VILLAGE,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR GOSSAIGAON SUB-DIVISION ON 18.06.2022, DAMAGED OF CULVERT NO. 1/1 AND ERRODED IN SOME STRETCHES OF ROADS ON NO. 1 GORUMARCHAR VILLAGE,  Bamboo Foot Bridge | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR GOSSAIGAON SUB-DIVISION ON 18.06.2022, FOOT BRIDGE NO. 1/1 PARTIALLY DAMAGED ON BOROBAMUKURA TO ANTHAIBARI ROAD,  Bamboo Foot Bridge | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR GOSSAIGAON SUB-DIVISION ON 18.06.2022, FOOT BRIDGE NO. 2/1 PARTIALLY DAMAGED ON BOROBAMUKURA TO ANTHAIBARI ROAD,  (Kokrajhar) At District - Bridge Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR KACHUGAON SUB-DIVISION, KACHUGAON ON 26-06-2022, IMMEDIATE RESTORATION OF APPROACHES OF RCC BRIDGE NO. 2/2 BADLY DAMAGED ON KACHUGAON TO PEPSU ROAD,  Bamboo Foot Bridge | AS REPORTED BY ASSTT. EXE. ENG. PWRD RR KACHUGAON SUB-DIVISION, KACHUGAON ON 26-06-2022, IMMEDIATE RESTORATION OF BAMBOO FOOT BRIDGE AT NOBINAGAR TO TITAGURI LINK ROAD,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, GOSSAIGAON BHUMKA ROAD CULVERT NO. 1/2 & 2/1 HAS BEEN DAMAGED,  Bridge Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, 2 KM OF SRIRAMPUR MAKTAIGAON ROAD TO SHIMULTAPU BRIDGE NO. 3/3 SETTLING DOWN OF APPROACHES PILE AND BRIDGE NO. 2/1 APPROACHES WAS DAMAGED,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, WEST HARBHANGA TINALI TO NANDIVITA PWD ROAD CULVERT NO. 2/1 HAS BEEN ERRODED,  Bridge Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, KARIMBAZAR TO SDO(C) GOSSAIGAON ROAD AT BRIDGE NO. 1/1 BOTH SIDE APPROACHES HAS BEEN DAMAGED,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, HOWRIAPET TO MAKTAIGAON VIA 75 BIGHA SLAB CULVERT NO. 1/1 HAS BEEN DAMAGED,  Bridge Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, BRIDGE WITH APPROACHES HAS BEEN DAMAGED ON BHOWRAGURI BHUMKA ROAD,  Culvert Approach Road Damaged | AS REPORTED BY ASSTT. EXE. ENG. PWRD KACHUGAON RR SUB-DIV ON 17-06-2022, DAMAGE OF APPROACHES OF BOX CULVERT NO. 4/1 ON GOSSAIGAON SAPATGRAM ROAD",27-06-2022
10,,Lakhimpur,"Dhakuakhana - Fisheries/Pond | 1.69 Hectare Ponds/Tanks affected on 26th June, 2022 (9 numbers family)| Report submitted by Fishery Development Officer, Dhakuakhana.,  Kadam - Protection Bundh Damaged | Protection work damaged at Kadam River from Ghana Chuk to Madhav Doley, informed by BDO, Boginadi Dev. Block, Dated: 27/06/2022,  Protection Bundh Damaged | Construction of embankment with boulder pitching damaged at Kadam Bagan Gaon, informed by BDO, Boginadi Dev. Block, Dated: 27/06/2022,  Culvert Approach Road Damaged | RCC Culvert damaged at Lalpani near Girja Ghar, informed by BDO, Boginadi Dev. Block, Dated: 27/06/2022",27-06-2022
