,infrastructure damaged - others,District,Other Details,,,,,,,,,,Date
0,,Barpeta,"Barpeta - PWSS Damaged | Joypur PWSS, estimated amount=9.577 Lakhs, PHED, Barpeta, date of occurence 25.06.2022,  PWSS Damaged | Phulkipara PWSS, estimated amount=8.943 Lakhs, PHED, Barpeta, date of occurence 25.06.2022,  PWSS Damaged | Joshihatipara PWSS, estimated amount=8.498 Lakhs, PHED, Barpeta, date of occurence 25.06.2022,  PWSS Damaged | Jaharpam PWSS, estimated amount=9.431 lakhs, PHED, Barpeta, date of occurence 25.06.2022,  PWSS Damaged | Bantipur, estimated amount=6.985 Lakhs, PHED, Barpeta, date of occurence 25.06.2022,  PWSS Damaged | Banbahar PWSS, estimated amount=7.08 Lakhs, PHED, Barpeta, date of occurence 25.06.2022,  PWSS Damaged | Kahibari PWSS, estimated amount=3.46 Lakhs, PHED, Barpeta, date of occurence 25.06.2022,  Sarthebari - PWSS Damaged | Khudra Gomura PWSS , Reported By EE, PHE on 02.08.2022( Damaged occurred on 22.06.2022) )",,,,,,,,,,04-08-2022
1,,Dhemaji,"Dhemaji - Power Dept. Poles | On 31/07/2022, PSC Poles and LT lines damaged at samarajan, Nepalikhuti,Ratua,Garubandha,Naruathan , Gohainchapori, Dihiri chapori , Panitula.",,,,,,,,,,04-08-2022
2,,Udalguri,"Khairabari - Road Breaches | The overflowing flood water crated breach of about 15.00M on the Batabari Jalthangpara road on 02.08.2022. GPS Coordinates: Lat- 26.703616 Long- 91.772578,  Fisheries/Pond | As per reported by the department on 04.08.2022, approximately 73 farmers were affected in some villages namely: Dhupguri, Batabari, Nalbari & parts of Patala and approximately 9 Ha. of land is affected.,  Udalguri - Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Embankment cum road of public dong damaged at village Raidanguri around 15m on 16.07.2022. GPS - Lat-26.730886 Long-92.115524,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in B3M canal from Ch 5200m to 5210m at village Harpur around 10m on 17.07.2022. GPS - Lat- 26.719237 Long - 92.076785,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, CC lining damage in B2M canal from Ch 2800m to 2809 m at village Monpur around 10m on 14.07.2022. GPS - Lat-26.788334 Long - 92.091545,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Erosion Of Canal Embankment in B2M canal from Ch 2850 m to 2860m at village Monpur around 10m on 14.07.2022. GPS - Lat-26.787949 Long -92.091802,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Erosion Of Canal Embankment in B2M canal from Ch 10900 m to 10915m at village No. 02 Sapkhaity around 15m on 14.07.2022. GPS - Lat- 26.727292 Long-92.085959,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Damage of HPCD by flood at ch 4800m of B3M canal at village Harpur & Bogapuri around 15m on 17.07.2022. GPS - Lat- 26.719237 Long -92.076785,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in B1M canal at Ch 12000m at village Bandarguri around 12m on 18.07.2022. GPS - Lat-26.670141, Long-92.193869,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in S1K1M canal at Ch 21000m at village Botabari around 13m on 17.07.2022. GPS - Lat-26.791326, Long-92.143672,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in D1B1M canal at Ch 2000m at village Rowta around 14m on 16.07.2022. GPS - Lat-26.701474, Long-92.213901,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in K1B1M canal at Ch 2000m at village Rowta around 14.5m on 18.07.2022. GPS - Lat-26.687539 Long-92.19534,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in D(I)B1M canal at Ch 1125m at village 1 No. Jhargaon around 13.5m on 17.07.2022. GPS - Lat-26.668199 Long-92.151645,  Irrigation Canal/Scheme Damaged | As reported by Irrigation Department on 04.08.2022, Breach Of Canal Embankment in D(I)B1M canal at Ch 2000m at village 1 No. Jhargaon around 14.5m on 17.07.2022. GPS - Lat-26.668254 Long-92.151645",,,,,,,,,,04-08-2022
