,infrastructure damaged - others,District,Other Details,Date
0,,Bajali,"Sarupeta - PWSS Damaged | Pipeline , Cleaning and Washing of UGR and Development of Deep tubewell , FHTC etc. at Bilashipara Gaon,Latitude-26.50526 Longitude-91.01666 ,This report is received from AEE(PHE),Barpeta PHE Sub division,Barpeta as on 3/7/2022.,  PWSS Damaged | Pipeline , Cleaning and Washing of UGR and Development of Deep tubewell , FHTC etc. at Mechpara,Latitude-26.49577 Longitude-91.01769 ,This report is received from AEE(PHE),Barpeta PHE Sub division,Barpeta as on 3/7/2022.",04-07-2022
1,,Barpeta,"Chenga - Sericulture Deptt. Damaged | 2 nos. rearer affected due to flood, reported by Sericulture deptt. on 4/7/2022,  Barpeta - Handloom & Textile Deptt | Looms equipment damaged : 343 Nos ,estimated loss = 14.063 Lakhs. Date:- 4/07/2022",04-07-2022
2,,Biswanath,"Gohpur - Elementary Schools Damaged | JARONI GAON MES HAS BEEN AFFECTED BY FLOOD WATER ON 28/06/22 AND BEEO CHAIDUAR HAS REPORTED IT ON 04/07/22,  Halem - Irrigation Canal/Scheme Damaged | As reported by Executive Engineer, Irrigation Department Gohpur, Main Canal at Brahmajan Daini Gaon damaged from ch 32.00m to 75.00m ON 04-07-2022,  Anganwadi Centres Affected | 13 Nos of Anganwadi Centers has been affected as per report given by CDPO on 04-07-2022,  Public Health Centre (PHC) | As reported by SDM&HO, GOHPUR Balijan Sub Centre is partially damaged and needs repair works on 04-07-2022",04-07-2022
3,,Cachar,"Katigorah - Public Health Centre (PHC) | Digarkhal PHC, Jalalpur BPHC Damaged, as per the report received from JDHS, Cachar, as on dated 04.07.2022,  Health Sub-Centre | Chandinagar HWC,Gangapur Sc,Latimara-I SC,Latimara-II SC,Digabor SC,Boroitali SC,Dudpur Sc,Jarailtola Sc,Borjatrapur Sc damaged as per report received from JDHS,Cachar, as on dated 04.07.2022,  Udharbond - Health Sub-Centre | Chailtakandi Sc,Lengitila Sc,Machughat Sc,Dudpatil-V damaged as per the report received from JDHS,Cachar as on dated 04.07.2022,  Sonai - Health Sub-Centre | Total 10 Nos of Health Center Affected due to Flood SWADHIN BAZAR SC, JHARAGOOLE SC, SATRAKANDI SC, RENGTI PHC, RENGTI SC, SINGARI SC, NUTAN KANCHANPUR HWC, SONABARIGHAT MSC, SONAI BPHC & PANIBORA-II SC Report Received from Joint Director of Health Services Cachar on 04.07.2022 under Sonai Revenue Circle. ,  Lakhipur - Health Sub-Centre | Total 04 Nos of Health Center Affected due to Flood Neigram HWC, Diglang Sc, Gossainagar Sc, Madripar HWC Report Received from Joint Director of Health Services Cachar on 04.07.2022 under Lakhipur Revenue Circle.",04-07-2022
4,,Darrang,Sipajhar - Handloom & Textile Deptt | A total of 100 nos.flood affected weavers found from different villages under Sipajhar rev.circle as on date 04-07-2022,04-07-2022
5,,Dhubri,Athani - Fisheries/Pond | TOTAL 18.5 HECTARE WATER AREA AND 78 NOS. OF FARMER AFFECTED FROM DATED 16/06/2022 TO 30/06/2022,04-07-2022
6,,Dibrugarh,"Tengakhat - Fisheries/Pond | As reported by FDO on 07/04/2022 total 40 nos. of pond with water area of 4.1 Hect. is affected under the jurisdiction of Tengakhat Revenue Circle, Latitude: 27.35549° Longitude: 95.153409°,  Naharkatia - Anganwadi Centres Affected | 1 No Naharani Kanda Bashti Anganwadi center affected by flood.as per repot from President of 1 No Naharani Kanda bashti Anganwadi Kendra Managing Committee on 03.07.2022., Lat-27.2812 Lng-95.1763,  Tingkhong - Protection Bundh Damaged | Date of occurence-30/6/2022 to 03/7/2022,Obsevation damages-seepage,leakage & boiling occured at tie bund fro Na beel to Aghunibari at Sessa Nepali Area.Length-2km,reported by WRD on 04-07-22, Lat-27.31250000 Long-95.08750000,  Dibrugarh East - Fisheries/Pond | Two nos of individual fishery pond with water surface area 0.30 hactre are submerged at Melengial under Lahowal Dev Block.as per report received from Fishery Department on 04.07.2022. Lat:-27.4512 Long:- 95.37018, Lat:- 27.44993 Long:- 95.036367",04-07-2022
7,,Hailakandi,"Lala - Elementary Schools Damaged | 788 LAXMINAGAR LPS Partially Damaged Lat- 24.601333 Long- 92.529917 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | ABDUS SUBHAN MEMORIAL LPS Partially Damaged Lat- 24.6228 Long- 92.592783 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | BARBOND GRAMUNNYAN LPS Partially Damaged Lat- 24.630067 Long- 92.578283 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 76 SACHIURA LPS Partially Damaged Lat- 24.559167 Long- 92.63905 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 728 NO SORONARTHIPUR LPS Partially Damaged Lat- 24.612683 Long- 92.56095 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 490 SRIDAMBASTI LPS Partially Damaged Lat- 24.60025 Long- 92.54405 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | KALI BARI RAM CHARITRA PATSALA Partially Damaged Lat- 24.608767 Long- 92.533417 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 462 SAHEB RAM TOOK LPS Partially Damaged Lat- 24.610083 Long- 92.623667 under Lala Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | TANTOO MANIK NAGAR LPS Partially Damaged Lat- 24.528767 Long- 92.557667 under Lala Rev. Circle dtd. 02.07.2022,  Hailakandi - Elementary Schools Damaged | 358 Barhailakand LPS Partially Damaged Lat- 24.66105 Long- 92.6221 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 659 No Bashdar Lamargram LPS Partially Damaged Lat- 24.643467 Long- 92.624217 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | Saleha Begum LPS Partially Damaged Lat- 24.668917 Long- 92.62395 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 1051 No Purbogul LPS Partially Damaged Lat- 24.66065 Long- 92.634533 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 273 No Barhailakandi LPS Partially Damaged Lat- 24.657783 Long- 92.630133 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 288 No Purbogul LPS Partially Damaged Lat- 24.668367 Long- 92.636867 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 430 Kandigram LPS Partially Damaged Lat- 24.65225 Long- 92.628667 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 703 No Purbogul LPS Partially Damaged Lat- 24.67485 Long- 92.632317 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 767 No. Bondukmara RA LPS Partially Damaged Lat- 24.6605 Long- 92.64635 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | Lakshminarayan LPS Partially Damaged Lat- 24.659083 Long- 92.63785 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 855 Kalinagar LPS Partially Damaged Lat- 24.683933 Long- 92.529167 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 757 Uttar Lakhirbond LPS Partially Damaged Lat- 24.711733 Long- 92.570383 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 338 Bishnunath LPS Partially Damaged Lat- 24.6731 Long- 92.540817 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 612 Noyagram LPS Partially Damaged Lat- 24.696467 Long- 92.571167 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 887 Ratakandi Algatilla LPS Partially Damaged Lat- 24.668867 Long- 92.539233 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 245 Bishnughar Maktab LP School Partially Damaged Lat- 24.71075 Long- 92.582983 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 888 No Modhya Nitainagar LPs Partially Damaged Lat- 24.71095 Long- 92.607833 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | SAHID ANIL BORA LPS Partially Damaged Lat- 24.713333 Long- 92.612017 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | KUMARPARA UP GRADED SCHOOL Partially Damaged Lat- 24.692033 Long- 92.588 under Hailakandi Rev. Circle dtd. 02.07.2022, Elementary Schools Damaged | PURBOPAR UPGRADED LPS Partially Damaged Lat- 24.716033 Long- 92.63695 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | Tingori Goan Up Graded LP School Partially Damaged Lat- 24.6739 Long- 92.629133 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 853 KAKMARA LPS Partially Damaged Lat- 24.696833 Long- 92.638 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 984 BERAKHALORPAR LPS Partially Damaged Lat- 24.70505 Long- 92.637717 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | BARBIL GIRLS LPS Partially Damaged Lat- 24.683467 Long- 92.644783 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 577 No. Dakshin Sunapur LPS Partially Damaged Lat- 24.639767 Long- 92.626383 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 672 No. Samarikuna LPS Partially Damaged Lat- 24.63675 Long- 92.6342 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 996 No Bilgaon LPS Partially Damaged Lat- 24.646367 Long- 92.6304 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 278 TANDURKANDI LPS Partially Damaged Lat- 24.720967 Long- 92.538917 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 359 CHEPTI BROJOPUR LPS Partially Damaged Lat- 24.693167 Long-92.5997 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 434 no Ratanpur LP School Partially Damaged Lat- 24.698033 Long- 92.628083 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 655 Simanatilla lps Partially Damaged Lat- 24.633517 Long- 92.648267 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 266 NO BAHADURPUR GIRLS MAKTAB Partially Damaged Lat- 24.68065 Long- 92.601817 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 950 Srimanta Sankar Deb LPS Partially Damaged Lat- 24.704933 Long- 92.626883 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 975 NO BAHADURPUR LPS Partially Damaged Lat- 24.6932 Long- 92.6058 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 443 NO. DAKHIN BAHADURPUR LPS Partially Damaged Lat- 24.675067 Long- 92.606783 under Hailakandi Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 661 NO BROJAPUR LPS Partially Damaged Lat- 24.6717 Long- 92.6083 under Hailakandi Rev. Circle dtd. 02.07.2022,  Algapur - Elementary Schools Damaged | 825 No Lamargram LP School Partially Damaged Lat- 24.714633 Long- 92.5393 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 107 No Sibuttor L P School Partially Damaged Lat- 24.728767 Long- 92.534067 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 781 Mujomilia LP School Partially Damaged Lat- 24.7001 Long- 92.531283 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | Itarkandi Model Asomiya LPS Partially Damaged Lat- 24.68435 Long- 92.533333 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | SULTANI TILL LPS Partially Damaged Lat- 24.696817 Long- 92.641933 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 163 BANKA PARA LPS Partially Damaged Lat- 24.791433 Long- 92.655283 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 480 Purbo Boalipar LP School Partially Damaged Lat- 24.714483 Long- 92.592217 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 932 NO.MORAGANGERPAR LPS Partially Damaged Lat- 24.71375 Long- 92.608933 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | Sayedbond polarpar LP School Partially Damaged Lat- 24.732767 Long- 92.60495 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 657 No Sishukalyan LPS Partially Damaged Lat- 24.746417 Long- 92.612333 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 29 GHUMRUKHERPER LPS Partially Damaged Lat- 24.8201 Long- 92.627233 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 290 HARIWALL LPS Partially Damaged Lat- 24.814183 Long- 92.649817 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 306 KHASPUNJEE LPS Partially Damaged Lat- 24.72385 Long- 92.5244 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 327 NO MUGRIARPAR LPS Partially Damaged Lat- 24.806483 Long- 92.6321 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 329 Howerkhalerper LPS Partially Damaged Lat- 24.771033 Long- 92.64035 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 484 NABIN SUNAPUR LPS Partially Damaged Lat- 24.787017 Long- 92.608967 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 724 BARNAGAD KARARPAR LPS Partially Damaged Lat- 24.758933 Long- 92.590317 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 754 NORTH NOONKULI LPS Partially Damaged Lat- 24.728767 Long- 92.534067 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 869 TUKARGRAM LPS Partially Damaged Lat- 24.29085 Long- 92.519483 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | Mohanpur RA LPS Partially Damaged Lat- 24.689617 Long- 92.642117 under Algapur Rev. Circle dtd. 02.07.2022,  Elementary Schools Damaged | 721 NO GHONIRALA LPS Partially Damaged Lat- 24.523033 Long- 92.59765 under Algapur Rev. Circle dtd. 02.07.2022",04-07-2022
8,,Kamrup,"Chamaria - Culvert Approach Road Damaged | Tangonmari E& D Bundh to choudhurypam culvert damaged, side berm and side slope damaged on 04.07.2022 and the same has been reported by JE, PWD, Boko terriitorial road sub-division on dated 04.07.2022,  Power Dept. Transformers | PSC Pole-32 Nos and Conductor- 4 km damaged on dated 29.06.2022 and the same has been reported by sub-divisional Engineer, Boko Electrical Sub-division, APDCL, Boko on dated 04.07.2022,  Nagarbera - PWSS Damaged | Mandira NC PWSS, was affected due to 19-6-2022 and the same has been reported by JE PHE ,Boko sub division dated 4-7-2022 ,  Kayan - Elementary Schools Damaged | Floor damage of Simulua New LPS. Reported by BEEO, Rangia on 03/07/2022.",04-07-2022
9,,Karimganj,"Nilambazar - Secondary Schools Damaged | Dated on 04/07/2022, Head Teacher of SKFG High School, Khagail reported that, school building is under water and got partially damaged( floor, wall, toilet) including TLM.,  Secondary Schools Damaged | Dated on 04/07/2022, Head Teacher of Ghugrakuna Public High School, Dararpar reported that, school got partially damaged due to flood water.,  Elementary Schools Damaged | Dated on 04/07/2022, Head Teacher of 976 No. Sunapur LP School, Eraligool reported that, school is submerged due to flood water and got damaged.,  Badarpur - Secondary Schools Damaged | As per report submitted by Principal, Marjatkandi Public H.S School, dated. - 02/07/2022, the floor wall and structure of the said school has been partially damaged by flood on 18/06/2022. The Lat & Long of the said school is 24.806421 and 92.480608.,  Secondary Schools Damaged | As per report submitted by Headmaster, Lamajuar High School, dated. - 04/07/2022, the floor & wall alongwith furniture of the said school has been partially damaged by flood on 19/06/2022. The Lat & Long of the said school is 24.855467 and 92.443967.,  Secondary Schools Damaged | As per report submitted by Headmaster, Shah Badaruddin High School, Badarpur, dated. - 03/07/2022, the floor & wall of the said school has been partially damaged by flood on 15/05/2022. The Lat & Long of the said school is 24.521067 and 92.33827",04-07-2022
