,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Barpeta,22,6,16,0,30-06-2022
1,,Darrang,1,1,0,0,30-06-2022
2,,Dhemaji,12,0,12,0,30-06-2022
3,,Nagaon,5,2,3,0,30-06-2022
4,,Nalbari,11,4,7,0,30-06-2022
5,,Total,51,13,38,0,30-06-2022
