,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Bajali,3200,18,70,3112,28-06-2022
1,,Barpeta,3,2,1,0,28-06-2022
2,,Cachar,6,6,0,0,28-06-2022
3,,Darrang,1069,30,0,1039,28-06-2022
4,,Nagaon,3,0,3,0,28-06-2022
5,,Nalbari,23,10,13,0,28-06-2022
6,,Total,4304,66,87,4151,28-06-2022
