,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Bajali,2735,0,8,2727,27-06-2022
1,,Barpeta,6,3,3,0,27-06-2022
2,,Nalbari,33,10,23,0,27-06-2022
3,,Total,2774,13,34,2727,27-06-2022
