,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Barpeta,16,6,10,0,29-06-2022
1,,Cachar,5,5,0,0,29-06-2022
2,,Darrang,10,2,8,0,29-06-2022
3,,Hailakandi,3,2,1,0,29-06-2022
4,,Kamrup,4,3,1,0,29-06-2022
5,,Total,38,18,20,0,29-06-2022
