,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Bajali,15,0,15,0,01-07-2022
1,,Barpeta,29,10,19,0,01-07-2022
2,,Karimganj,4,4,0,0,01-07-2022
3,,Nalbari,747,5,42,700,01-07-2022
4,,Total,795,19,76,700,01-07-2022
