,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Barpeta,228,2,1,225,05-07-2022
1,,Dibrugarh,205,0,0,205,05-07-2022
2,,Karimganj,1,1,0,0,05-07-2022
3,,Total,434,3,1,430,05-07-2022
