,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Barpeta,26,2,24,0,25-06-2022
1,,Cachar,4,4,0,0,25-06-2022
2,,Hojai,2,0,2,0,25-06-2022
3,,Total,32,6,26,0,25-06-2022
