,animals washed away,District,Total,Big,Small,Poultry,Date
0,,Baksa,12,0,12,0,18-06-2022
1,,Goalpara,5,0,5,0,18-06-2022
2,,Nagaon,2,2,0,0,18-06-2022
3,,Sonitpur,2,0,2,0,18-06-2022
4,,Udalguri,10,10,0,0,18-06-2022
5,,Total,31,12,19,0,18-06-2022
