S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Date Extended 2nd Time,Date,,27-Jun-2020 02:00 PM,30-Jul-2020 11:00 AM,27-Jun-2020 02:00 PM,29-Jul-2020 05:00 PM,NA ,NA ,02-Jul-2020 06:30 PM,29-Jul-2020 05:00 PM,01-Oct-2020 12:05 PM,"1,000",Director of Agriculture H.P.,Shimla,Yes,"Empanelment of Service Providers for Surveying, Designing Supplying, Installation and Commissioning of Composite Solar Electric Fencing System in the Farmers Fields in Himachal Pradesh during the year 2020-21 MMKSY","Empanelment of Service Providers for Surveying, Designing Supplying, Installation and Commissioning of Composite Solar Electric Fencing System in the Farmers Fields in Himachal Pradesh during the year 2020-21 MMKSY",Please refer Tender documents. ,NA ,"80,00,00,000",Miscellaneous Services,NA ,Empanelment,120.0,730.0,As per Tender Document,171005.0,NA ,NA ,NA ,Dirtectorate of Agriculture,No ,No,"50,000",Yes,fixed,,Director of Agriculture H.P.,Shimla,Director of Agriculture,Agr. H (H) 6-35/2016 (MMKSY) -IV,2020_DoA_38403_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Offline,No,No,No,Director of Agriculture Himachal Pradesh,"Directorate of Agriculture, H.P. at Shimla-5",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Documents required to be uploaded as per Annexure II Sr. No 1 - 6 of tender document,AOC,Finance,Successfully Opened after Revocation,Rita Sharma,03-Nov-2020 10:13 AM,finance_56745.pdf,BOQ Comparative Chart,1.0,165812.0,HIM ENTERPRISES,INR,0.0,1,167683,3F Power Solutions,17-Jul-2020 03:55 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,Technical,Opened after revocation of Tender,Rita Sharma,01-Oct-2020 11:51 AM,technical_56745.pdf,1.0,2020_DoA_38403_1,Kindly see the attachment,01-Oct-2020 11:28 AM,CorrigendumRevocation.pdf ,571.57,Technical Opening,Director of Agriculture,2020_DoA_38403_1,Agr. H (H) 6-35/2016 (MMKSY) -IV,"Empanelment of Service Providers for Surveying, Designing Supplying, Installation and Commissioning of Composite Solar Electric Fencing System in the Farmers Fields in Himachal Pradesh during the year 2020-21 MMKSY",Additional Director,Internal,After Revocation of Tender. Kindly see the attachment,Rita Sharma,01-Oct-2020 11:59 AM,01-Oct-2020 12:05 PM,techsummary_56745.pdf (8615.60 KB),Add Director Agriculture,Internal,Kindly see the attachment.,Rita Sharma,03-Nov-2020 10:22 AM,finsummary_56745.pdf (6457.94 KB),20-Nov-2020,"INR 800,000,000",730.0,Rita Sharma,07-Jul-2021 01:45 PM,AOCsolarCompositeFencing.pdf (701.00 KB),Empanelled order issues as per Requirement,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Documents required to be uploaded as per Annexure II Sr. No 7 - 11 of tender document,AOC,,,,,,,2.0,166693.0,manjushree agrotech,INR,0.0,2,169077,A2Z Solutions,29-Jul-2020 02:29 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Documents required to be uploaded as per Annexure II Sr. No 12 - 16 of tender document,AOC,,,,,,,3.0,166745.0,Surya Sirmour,INR,0.0,3,167102,Ajay Kumar Sharma-Govt Contractor,13-Jul-2020 08:53 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Documents required to be uploaded as per Annexure II Sr. No 17, 17.1 to 17.8 of tender document",AOC,,,,,,,4.0,166853.0,SHIVALI ENTERPRISES,INR,0.0,4,167277,Anil Kumar Kaushal,13-Jul-2020 06:27 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Document of Authorized Dealers/ Distributors to be uploaded as per Annexure II of tender documents,AOC,,,,,,,5.0,166877.0,M/S Sai Steel Co and Consultants,INR,0.0,5,167364,ATAL TRADERS,14-Jul-2020 03:11 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other Documents required to be uploaded as per Tender Document and Terms and Conditions,AOC,,,,,,,6.0,166887.0,OCEAN ELECTRONICS,INR,0.0,6,167626,ATTRI BROTHERS AND COMPANY,14-Jul-2020 11:57 PM,Rejected-Technical,Rejected Kindly see attachment,01-Oct-2020 12:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid (BOQ),AOC,,,,,,,7.0,167012.0,GOLD CUBE AUTOMATIONS AND ENERGY,INR,0.0,7,166339,AURO POWER SYSTEMS,18-Jul-2020 01:31 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Extra Equipments rate may be quoted,AOC,,,,,,,8.0,167092.0,THE DALIT UPLIFTMENT AND EMPOWERMENT MULTIPURPOSE CO OPERATIVE SOCIETY LTD,INR,0.0,8,167736,AZAD INDUSTRIES,15-Jul-2020 04:02 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9.0,167102.0,Ajay Kumar Sharma-Govt Contractor,INR,0.0,9,167591,Bhanu Sharma,14-Jul-2020 08:49 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10.0,167107.0,POWER SOLUTIONS,INR,0.0,10,167281,BHARDWAJ TRADERS,14-Jul-2020 11:45 AM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,11.0,167158.0,CAPTAIN POLYPLAST LTD,INR,0.0,11,168925,bharti tech,22-Jul-2020 04:17 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,12.0,167229.0,S3 Technology,INR,0.0,12,167508,BIKRANT SHARMA GOVT CONTRACTOR,21-Jul-2020 08:18 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,13.0,167277.0,Anil Kumar Kaushal,INR,0.0,13,167565,BISHAV SHAMA,22-Jul-2020 10:21 AM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,14.0,167279.0,SOLAR DHARA TECHNOLOGIES,INR,0.0,14,167476,BSG SOLAR ECO ENERGY PRIVATE LIMITED,15-Jul-2020 02:26 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,15.0,167281.0,BHARDWAJ TRADERS,INR,0.0,15,167158,CAPTAIN POLYPLAST LTD,13-Jul-2020 05:37 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,16.0,167284.0,VIPAN SHARMA,INR,0.0,16,167524,Chaman Lal,15-Jul-2020 05:59 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,17.0,167293.0,Green Agrotech,INR,0.0,17,169769,Davinder kumar,25-Jul-2020 04:22 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,18.0,167300.0,Universal Water Tcchnology,INR,0.0,18,167620,Dev Bhoomi Green House Solutions,19-Jul-2020 08:57 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,19.0,167303.0,MANNAT JEWELLERS,INR,0.0,19,170569,Divakar Enterprises,29-Jul-2020 04:47 PM,Rejected-AOC,Not Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,20.0,167313.0,PUSHAP ENTERPRISES,INR,0.0,20,167725,Earth Agro Structures Pvt Ltd,18-Jul-2020 09:46 PM,Accepted-AOC,Empanelled,07-Jul-2021 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
