Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2025-26-4952-58 Dated 05-12-2025,2025_HPSEB_123038_1,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of tender document cost to be attached,09-Dec-2025 05:00 PM,15-Dec-2025 03:00 PM,09-Dec-2025 05:00 PM,15-Dec-2025 10:00 AM,,,09-Dec-2025 05:00 PM,15-Dec-2025 10:00 AM,"1,705",No,fixed,,Nil,Nil,1.0,ICICI BANK,590.0,Nil,Nil,No,Er. Chander Mani Sharma (XEN ED HPSEBL Karsog),"Office of Sr. Executive Engineer,ED Karsog",Tender for restoration of 33kV HT Line Nagan Chhatri  feeder damaged due to heavy rain and land slide on dated 01.09.2025 to 03.09.2025 in Electrical Section Chhatri Under ESD Chhatri.,Tender for restoration of 33kV HT Line Nagan Chhatri  feeder damaged due to heavy rain and land slide on dated 01.09.2025 to 03.09.2025 in Electrical Section Chhatri Under ESD Chhatri.,Please refer tender document,,"68,204",Supply and Erection,Electrical Work,Tender,180.0,45.0,Chhatri,175047.0,,,,"Office of Sr. Executive Engineer,ED Karsog",No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Receipt of EMD	 deposited to be attached,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit of non-blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
