,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Biswanath,8,"1(Halem | 1, Biswanath | 0)",,,,"7(Halem | 1, Biswanath | 6)",,,,19-05-2022
1,,Cachar,114,"85(Udharbond | 1, Lakhipur | 11, Sonai | 6, Silchar | 35, Katigorah | 32)",,,,"29(Udharbond | 0, Lakhipur | 2, Sonai | 0, Silchar | 0, Katigorah | 27)",,,,19-05-2022
2,,Darrang,24,"1(Patharighat | 1, Dalgaon | 0, Mangaldoi | 0)",,,,"23(Patharighat | 3, Dalgaon | 14, Mangaldoi | 6)",,,,19-05-2022
3,,Dhemaji,1,0(Dhemaji | 0),,,,1(Dhemaji | 1),,,,19-05-2022
4,,Dima-Hasao,6,0(Haflong | 0),,,,6(Haflong | 6),,,,19-05-2022
5,,Hailakandi,1,1(Algapur | 1),,,,0(Algapur | 0),,,,19-05-2022
6,,Hojai,62,"57(Doboka | 11, Hojai | 46, Lanka | 0)",,,,"5(Doboka | 0, Hojai | 4, Lanka | 1)",,,,19-05-2022
7,,Kamrup,1,1(Rangia | 1),,,,0(Rangia | 0),,,,19-05-2022
8,,Karbi Anglong West,4,0(Donkamokam | 0),,,,4(Donkamokam | 4),,,,19-05-2022
9,,Karimganj,15,"6(Badarpur | 6, Karimganj | 0)",,,,"9(Badarpur | 0, Karimganj | 9)",,,,19-05-2022
10,,Lakhimpur,5,"0(Nowboicha | 0, Bihpuria | 0, North Lakhimpur | 0)",,,,"5(Nowboicha | 1, Bihpuria | 2, North Lakhimpur | 2)",,,,19-05-2022
11,,Nagaon,104,"15(Nagaon | 5, Kampur | 10, Raha | 0)",,,,"89(Nagaon | 2, Kampur | 52, Raha | 35)",,,,19-05-2022
12,,Sonitpur,4,0(Tezpur | 0),,,,4(Tezpur | 4),,,,19-05-2022
13,,Udalguri,10,"0(Khairabari | 0, Udalguri | 0, Kalaigaon | 0)",,,,"10(Khairabari | 2, Udalguri | 2, Kalaigaon | 6)",,,,19-05-2022
14,,Total,359,167,,,,192,,,,19-05-2022
