,relief camps / centres opened,District,Total,Relief Camp,,,,,Relief Distribution Centres,,,,Date
0,,Biswanath,3,0(Gohpur | 0),,,,,3(Gohpur | 3),,,,18-07-2022
1,,Cachar,8,8(Silchar | 8),,,,,0(Silchar | 0),,,,18-07-2022
2,,Dima-Hasao,10,9(Haflong | 9),,,,,1(Haflong | 1),,,,18-07-2022
3,,Morigaon,6,6(Morigaon | 6),,,,,0(Morigaon | 0),,,,18-07-2022
4,,Total,27,23,,,,,4,,,,18-07-2022
