,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,116,"20(Sarupeta | 9, Bajali | 11)",,,,"96(Sarupeta | 1, Bajali | 95)",,,,21-06-2022
1,,Baksa,2,2(Barama | 2),,,,0(Barama | 0),,,,21-06-2022
2,,Barpeta,147,"132(Barpeta | 76, Chenga | 37, Baghbar | 10, Sarthebari | 9, Barnagar | 0)",,,,"15(Barpeta | 0, Chenga | 7, Baghbar | 0, Sarthebari | 7, Barnagar | 1)",,,,21-06-2022
3,,Biswanath,2,0(Halem | 0),,,,2(Halem | 2),,,,21-06-2022
4,,Bongaigaon,76,"32(Manikpur | 3, Boitamari | 2, Srijangram | 27)",,,,"44(Manikpur | 0, Boitamari | 5, Srijangram | 39)",,,,21-06-2022
5,,Cachar,155,"139(Silchar | 57, Lakhipur | 22, Sonai | 14, Udharbond | 1, Katigorah | 45)",,,,"16(Silchar | 0, Lakhipur | 0, Sonai | 0, Udharbond | 0, Katigorah | 16)",,,,21-06-2022
6,,Chirang,6,"6(Bijni | 4, Bengtal | 2)",,,,"0(Bijni | 0, Bengtal | 0)",,,,21-06-2022
7,,Darrang,108,"12(Mangaldoi | 4, Dalgaon | 1, Sipajhar | 7, Patharighat | 0)",,,,"96(Mangaldoi | 55, Dalgaon | 20, Sipajhar | 11, Patharighat | 10)",,,,21-06-2022
8,,Dhemaji,6,"0(Jonai | 0, Sissiborgaon | 0)",,"6(Jonai | 5, Sissiborgaon | 1)",,,,,,21-06-2022
9,,Dhubri,60,"36(Dhubri | 2, Chapar | 1, Bilasipara | 29, Athani | 4, South Salmara Part | 0)",,"24(Dhubri | 1, Chapar | 0, Bilasipara | 0, Athani | 0, South Salmara Part | 23)",,,,,,21-06-2022
10,,Dima-Hasao,32,27(Haflong | 27),,5(Haflong | 5),,,,,,21-06-2022
11,,Goalpara,156,"86(Matia | 5, Balijana | 40, Lakhipur | 41)",,"70(Matia | 0, Balijana | 29, Lakhipur | 41)",,,,,,21-06-2022
12,,Golaghat,15,0(Bokakhat | 0),,15(Bokakhat | 15),,,,,,21-06-2022
13,,Hailakandi,15,"0(Algapur | 0, Hailakandi | 0, Lala | 0)",,"15(Algapur | 9, Hailakandi | 1, Lala | 5)",,,,,,21-06-2022
14,,Hojai,64,"45(Hojai | 31, Doboka | 14, Lanka | 0)",,"19(Hojai | 7, Doboka | 7, Lanka | 5)",,,,,,21-06-2022
15,,Kamrup,117,"85(Rangia | 23, Kayan | 19, Kamalpur | 25, Hajo | 6, North Ghy | 12)",,"32(Rangia | 4, Kayan | 3, Kamalpur | 25, Hajo | 0, North Ghy | 0)",,,,,,21-06-2022
16,,Karbi Anglong West,4,0(Donkamokam | 0),,4(Donkamokam | 4),,,,,,21-06-2022
17,,Karimganj,131,"46(Patherkandi | 3, Badarpur | 20, Karimganj | 23, Nilambazar | 0, RK Nagar | 0)",,"85(Patherkandi | 19, Badarpur | 16, Karimganj | 3, Nilambazar | 23, RK Nagar | 24)",,,,,,21-06-2022
18,,Lakhimpur,21,"0(Bihpuria | 0, Nowboicha | 0, Subansiri | 0, Narayanpur | 0, North Lakhimpur | 0)",,"21(Bihpuria | 3, Nowboicha | 10, Subansiri | 6, Narayanpur | 1, North Lakhimpur | 1)",,,,,,21-06-2022
19,,Majuli,6,0(Majuli | 0),,6(Majuli | 6),,,,,,21-06-2022
20,,Morigaon,21,"0(Mayong | 0, Bhuragaon | 0, Morigaon | 0)",,"21(Mayong | 13, Bhuragaon | 1, Morigaon | 7)",,,,,,21-06-2022
21,,Nagaon,147,"56(Nagaon | 26, Kampur | 17, Raha | 13)",,"91(Nagaon | 12, Kampur | 40, Raha | 39)",,,,,,21-06-2022
22,,Nalbari,135,"103(Barkhetri | 4, Banekuchi | 9, Tihu | 20, Barbhag | 20, Paschim Nalbari | 21, Nalbari | 29, Ghograpar | 0)",,"32(Barkhetri | 3, Banekuchi | 0, Tihu | 0, Barbhag | 0, Paschim Nalbari | 18, Nalbari | 0, Ghograpar | 11)",,,,,,21-06-2022
23,,Sonitpur,39,"1(Dhekiajuli | 1, Chariduar | 0, Thelamara | 0, Tezpur | 0)",,"38(Dhekiajuli | 13, Chariduar | 5, Thelamara | 4, Tezpur | 16)",,,,,,21-06-2022
24,,South Salmara,35,"0(South Salmara | 0, Mankachar | 0)",,"35(South Salmara | 8, Mankachar | 27)",,,,,,21-06-2022
25,,Tamulpur,43,"19(Goreswar | 6, Tamulpur | 13)",,"24(Goreswar | 12, Tamulpur | 12)",,,,,,21-06-2022
26,,Udalguri,28,"15(Udalguri | 5, Mazbat | 6, Harisinga | 2, Kalaigaon | 2, Khairabari | 0)",,"13(Udalguri | 11, Mazbat | 0, Harisinga | 0, Kalaigaon | 0, Khairabari | 2)",,,,,,21-06-2022
27,,Total,1687,862,,825,,,,,,21-06-2022
