,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,Date
0,,Dhemaji,14,"0(Dhemaji | 0, Jonai | 0, Sissiborgaon | 0, Gogamukh | 0)",,,,"14(Dhemaji | 3, Jonai | 2, Sissiborgaon | 3, Gogamukh | 6)",,,12-10-2022
1,,Dibrugarh,1,0(Chabua | 0),,,,1(Chabua | 1),,,12-10-2022
2,,Lakhimpur,7,"0(North Lakhimpur | 0, Nowboicha | 0)",,,,"7(North Lakhimpur | 2, Nowboicha | 5)",,,12-10-2022
3,,Total,22,0,,,,22,,,12-10-2022
