,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,6,6(Sarupeta | 6),,,,0(Sarupeta | 0),,,,04-07-2022
1,,Barpeta,16,16(Barpeta | 16),,,,0(Barpeta | 0),,,,04-07-2022
2,,Biswanath,1,0(Halem | 0),,,,1(Halem | 1),,,,04-07-2022
3,,Cachar,180,"180(Katigorah | 98, Silchar | 50, Sonai | 22, Lakhipur | 10)",,,,"0(Katigorah | 0, Silchar | 0, Sonai | 0, Lakhipur | 0)",,,,04-07-2022
4,,Chirang,3,3(Bijni | 3),,,,0(Bijni | 0),,,,04-07-2022
5,,Darrang,13,0(Mangaldoi | 0),,,,13(Mangaldoi | 13),,,,04-07-2022
6,,Dibrugarh,3,3(Dibrugarh East | 3),,,,0(Dibrugarh East | 0),,,,04-07-2022
7,,Dima-Hasao,22,22(Haflong | 22),,,,0(Haflong | 0),,,,04-07-2022
8,,Hailakandi,2,2(Algapur | 2),,,,0(Algapur | 0),,,,04-07-2022
9,,Hojai,5,3(Hojai | 3),,,,2(Hojai | 2),,,,04-07-2022
10,,Kamrup,4,"4(Kayan | 2, North Ghy | 1, Hajo | 1)",,,,"0(Kayan | 0, North Ghy | 0, Hajo | 0)",,,,04-07-2022
11,,Karimganj,38,"33(Karimganj | 14, Nilambazar | 6, Badarpur | 8, RK Nagar | 5)",,,,"5(Karimganj | 5, Nilambazar | 0, Badarpur | 0, RK Nagar | 0)",,,,04-07-2022
12,,Lakhimpur,8,"0(Subansiri | 0, Bihpuria | 0, North Lakhimpur | 0)",,,,"8(Subansiri | 2, Bihpuria | 5, North Lakhimpur | 1)",,,,04-07-2022
13,,Morigaon,32,"13(Mikirbheta | 2, Bhuragaon | 7, Morigaon | 4)",,,,"19(Mikirbheta | 4, Bhuragaon | 0, Morigaon | 15)",,,,04-07-2022
14,,Nagaon,36,"36(Nagaon | 6, Kampur | 17, Raha | 13)",,,,"0(Nagaon | 0, Kampur | 0, Raha | 0)",,,,04-07-2022
15,,Sonitpur,3,0(Tezpur | 0),,,,3(Tezpur | 3),,,,04-07-2022
16,,Tamulpur,2,2(Goreswar | 2),,,,0(Goreswar | 0),,,,04-07-2022
17,,Udalguri,2,2(Udalguri | 2),,,,0(Udalguri | 0),,,,04-07-2022
18,,Total,376,325,,,,51,,,,04-07-2022
