,relief camps / centres opened,District,Total,Relief Camp,,,,,Relief Distribution Centres,,,,Date
0,,Morigaon,6,6(Morigaon | 6),,,,,0(Morigaon | 0),,,,25-07-2022
1,,Tamulpur,2,0(Goreswar | 0),,,,,2(Goreswar | 2),,,,25-07-2022
2,,Total,8,6,,,,,2,,,,25-07-2022
