,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,12,12(Bajali | 12),,,,0(Bajali | 0),,,,16-06-2022
1,,Baksa,11,"10(Baganpara | 1, Barama | 2, Baska | 6, Jalah | 1)",,,,"1(Baganpara | 0, Barama | 1, Baska | 0, Jalah | 0)",,,,16-06-2022
2,,Barpeta,2,2(Barpeta | 2),,,,0(Barpeta | 0),,,,16-06-2022
3,,Bongaigaon,6,"6(Manikpur | 1, Bongaigaon | 1, Dangtol | 4)",,,,"0(Manikpur | 0, Bongaigaon | 0, Dangtol | 0)",,,,16-06-2022
4,,Chirang,9,"1(Bijni | 1, Sidli | 0)",,,,"8(Bijni | 0, Sidli | 8)",,,,16-06-2022
5,,Darrang,1,0(Patharighat | 0),,,,1(Patharighat | 1),,,,16-06-2022
6,,Dhubri,11,"11(Chapar | 1, Bilasipara | 7, Athani | 3)",,,,"0(Chapar | 0, Bilasipara | 0, Athani | 0)",,,,16-06-2022
7,,Dibrugarh,1,0(Chabua | 0),,,,1(Chabua | 1),,,,16-06-2022
8,,Dima-Hasao,29,22(Haflong | 22),,,,7(Haflong | 7),,,,16-06-2022
9,,Goalpara,13,"10(Balijana | 7, Lakhipur | 3)",,,,"3(Balijana | 0, Lakhipur | 3)",,,,16-06-2022
10,,Hojai,18,18(Hojai | 18),,,,0(Hojai | 0),,,,16-06-2022
11,,Kamrup,6,"6(Rangia | 3, Kayan | 3)",,,,"0(Rangia | 0, Kayan | 0)",,,,16-06-2022
12,,Kamrup (M),17,"5(Guwahati | 2, Dispur | 3)",,,,"12(Guwahati | 2, Dispur | 10)",,,,16-06-2022
13,,Kokrajhar,26,"26(Bhawraguri | 6, Gossaigaon | 9, Kokrajhar | 11)",,,,"0(Bhawraguri | 0, Gossaigaon | 0, Kokrajhar | 0)",,,,16-06-2022
14,,Nalbari,14,"14(Ghograpar | 2, Paschim Nalbari | 5, Nalbari | 7)",,,,"0(Ghograpar | 0, Paschim Nalbari | 0, Nalbari | 0)",,,,16-06-2022
15,,Tamulpur,15,3(Tamulpur | 3),,,,12(Tamulpur | 12),,,,16-06-2022
16,,Udalguri,5,"4(Udalguri | 4, Kalaigaon | 0)",,,,"1(Udalguri | 0, Kalaigaon | 1)",,,,16-06-2022
17,,Total,196,150,,,,46,,,,16-06-2022
