,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,8,7(Sarupeta | 7),,,,1(Sarupeta | 1),,,,28-06-2022
1,,Barpeta,109,"108(Barpeta | 56, Baghbar | 20, Chenga | 32, Sarthebari | 0)",,,,"1(Barpeta | 0, Baghbar | 0, Chenga | 0, Sarthebari | 1)",,,,28-06-2022
2,,Biswanath,4,"2(Halem | 1, Gohpur | 1)",,,,"2(Halem | 2, Gohpur | 0)",,,,28-06-2022
3,,Bongaigaon,11,"0(Manikpur | 0, Srijangram | 0)",,,,"11(Manikpur | 6, Srijangram | 5)",,,,28-06-2022
4,,Cachar,233,"233(Katigorah | 94, Sonai | 50, Silchar | 63, Lakhipur | 26)",,,,"0(Katigorah | 0, Sonai | 0, Silchar | 0, Lakhipur | 0)",,,,28-06-2022
5,,Chirang,18,"11(Bijni | 9, Bengtal | 2, Sidli | 0)",,,,"7(Bijni | 4, Bengtal | 0, Sidli | 3)",,,,28-06-2022
6,,Darrang,7,"3(Mangaldoi | 2, Sipajhar | 1)",,,,"4(Mangaldoi | 0, Sipajhar | 4)",,,,28-06-2022
7,,Dhemaji,2,"1(Dhemaji | 1, Sissiborgaon | 0)",,,,"1(Dhemaji | 0, Sissiborgaon | 1)",,,,28-06-2022
8,,Dima-Hasao,24,23(Haflong | 23),,,,1(Haflong | 1),,,,28-06-2022
9,,Goalpara,9,9(Lakhipur | 9),,,,0(Lakhipur | 0),,,,28-06-2022
10,,Hailakandi,3,"1(Hailakandi | 1, Algapur | 0)",,,,"2(Hailakandi | 1, Algapur | 1)",,,,28-06-2022
11,,Hojai,11,4(Hojai | 4),,,,7(Hojai | 7),,,,28-06-2022
12,,Kamrup,32,"26(North Ghy | 6, Kayan | 2, Kamalpur | 2, Hajo | 16)",,,,"6(North Ghy | 0, Kayan | 0, Kamalpur | 0, Hajo | 6)",,,,28-06-2022
13,,Karimganj,61,"51(Nilambazar | 7, Karimganj | 20, RK Nagar | 5, Badarpur | 16, Patherkandi | 3)",,,,"10(Nilambazar | 0, Karimganj | 0, RK Nagar | 0, Badarpur | 0, Patherkandi | 10)",,,,28-06-2022
14,,Lakhimpu,5,"0(Dhakuakhana | 0, Bihpuria | 0)",,,,"5(Dhakuakhana | 1, Bihpuria | 4)",,,,28-06-2022
15,,r,,,,,,,,,,28-06-2022
16,,Majuli,2,0(Ujani Majuli | 0),,,,2(Ujani Majuli | 2),,,,28-06-2022
17,,Morigaon,11,"1(Morigaon | 1, Mikirbheta | 0, Mayong | 0)",,,,"10(Morigaon | 0, Mikirbheta | 9, Mayong | 1)",,,,28-06-2022
18,,Nagaon,66,"66(Nagaon | 36, Raha | 13, Kampur | 17)",,,,"0(Nagaon | 0, Raha | 0, Kampur | 0)",,,,28-06-2022
19,,Nalbari,4,"4(Paschim Nalbari | 2, Barbhag | 2)",,,,"0(Paschim Nalbari | 0, Barbhag | 0)",,,,28-06-2022
20,,Sonitpur,1,1(Dhekiajuli | 1),,,,0(Dhekiajuli | 0),,,,28-06-2022
21,,Tamulpur,3,2(Goreswar | 2),,,,1(Goreswar | 1),,,,28-06-2022
22,,Tinsukia,1,0(Doomdooma | 0),,,,1(Doomdooma | 1),,,,28-06-2022
23,,Udalguri,2,2(Udalguri | 2),,,,0(Udalguri | 0),,,,28-06-2022
24,,Total,627,555,,,,72,,,,28-06-2022
