,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,109,"13(Sarupeta | 10, Bajali | 3)",,,,"96(Sarupeta | 1, Bajali | 95)",,,,22-06-2022
1,,Baksa,3,"1(Barama | 1, Barnagar RC part | 0)",,,,"2(Barama | 0, Barnagar RC part | 2)",,,,22-06-2022
2,,Barpeta,175,"142(Baghbar | 15, Barpeta | 79, Sarthebari | 11, Chenga | 37, Kalgachia | 0)",,,,"33(Baghbar | 1, Barpeta | 0, Sarthebari | 11, Chenga | 16, Kalgachia | 5)",,,,22-06-2022
3,,Bongaigaon,31,"15(Boitamari | 2, Manikpur | 3, Srijangram | 10)",,,,"16(Boitamari | 3, Manikpur | 1, Srijangram | 12)",,,,22-06-2022
4,,Cachar,258,"175(Katigorah | 45, Lakhipur | 22, Silchar | 63, Sonai | 44, Udharbond | 1)",,,,"83(Katigorah | 0, Lakhipur | 0, Silchar | 83, Sonai | 0, Udharbond | 0)",,,,22-06-2022
5,,Chirang,8,"8(Bijni | 4, Bengtal | 4)",,,,"0(Bijni | 0, Bengtal | 0)",,,,22-06-2022
6,,Darrang,119,"10(Dalgaon | 1, Sipajhar | 5, Mangaldoi | 4, Patharighat | 0)",,,,"109(Dalgaon | 0, Sipajhar | 38, Mangaldoi | 55, Patharighat | 16)",,,,22-06-2022
7,,Dhubri,65,"21(Dhubri | 4, Bilasipara | 15, Athani | 2, South Salmara Part | 0)",,,,"44(Dhubri | 0, Bilasipara | 21, Athani | 0, South Salmara Part | 23)",,,,22-06-2022
8,,Dibrugarh,1,0(Chabua | 0),,,,1(Chabua | 1),,,,22-06-2022
9,,Dima-Hasao,37,28(Haflong | 28),,,,9(Haflong | 9),,,,22-06-2022
10,,Goalpara,161,"81(Matia | 4, Lakhipur | 50, Balijana | 27)",,,,"80(Matia | 3, Lakhipur | 50, Balijana | 27)",,,,22-06-2022
11,,Golaghat,4,0(Bokakhat | 0),,,,4(Bokakhat | 4),,,,22-06-2022
12,,Hailakandi,36,"9(Hailakandi | 7, Lala | 2, Algapur | 0, Katlicherra | 0)",,,,"27(Hailakandi | 11, Lala | 2, Algapur | 10, Katlicherra | 4)",,,,22-06-2022
13,,Hojai,64,"33(Hojai | 19, Doboka | 14, Lanka | 0)",,,,"31(Hojai | 19, Doboka | 11, Lanka | 1)",,,,22-06-2022
14,,Kamrup,108,"77(Rangia | 18, North Ghy | 14, Kamalpur | 25, Kayan | 19, Hajo | 1)",,"31(Rangia | 2, North Ghy | 4, Kamalpur | 25, Kayan | 0, Hajo | 0)",,,,,,22-06-2022
15,,Kamrup (M),5,0(Sonapur | 0),,5(Sonapur | 5),,,,,,22-06-2022
16,,Karbi Anglong West,3,0(Donkamokam | 0),,3(Donkamokam | 3),,,,,,22-06-2022
17,,Karimganj,103,"65(Badarpur | 23, Karimganj | 37, Patherkandi | 5, Nilambazar | 0, RK Nagar | 0)",,"38(Badarpur | 5, Karimganj | 3, Patherkandi | 0, Nilambazar | 5, RK Nagar | 25)",,,,,,22-06-2022
18,,Lakhimpur,24,"0(Subansiri | 0, Bihpuria | 0, Dhakuakhana | 0, Narayanpur | 0, Nowboicha | 0)",,"24(Subansiri | 4, Bihpuria | 9, Dhakuakhana | 1, Narayanpur | 3, Nowboicha | 7)",,,,,,22-06-2022
19,,Majuli,5,0(Majuli | 0),,5(Majuli | 5),,,,,,22-06-2022
20,,Morigaon,24,"1(Morigaon | 1, Mayong | 0)",,"23(Morigaon | 12, Mayong | 11)",,,,,,22-06-2022
21,,Nagaon,300,"63(Nagaon | 33, Kampur | 17, Raha | 13, Kaliabor | 0)",,"237(Nagaon | 48, Kampur | 109, Raha | 78, Kaliabor | 2)",,,,,,22-06-2022
22,,Nalbari,130,"69(Tihu | 20, Paschim Nalbari | 18, Barbhag | 20, Banekuchi | 3, Barkhetri | 4, Nalbari | 4, Ghograpar | 0)",,"61(Tihu | 23, Paschim Nalbari | 21, Barbhag | 0, Banekuchi | 0, Barkhetri | 4, Nalbari | 0, Ghograpar | 13)",,,,,,22-06-2022
23,,Sonitpur,8,"1(Dhekiajuli | 1, Thelamara | 0, Chariduar | 0, Tezpur | 0)",,"7(Dhekiajuli | 1, Thelamara | 2, Chariduar | 2, Tezpur | 2)",,,,,,22-06-2022
24,,South Salmara,45,"10(Mankachar | 10, South Salmara | 0)",,"35(Mankachar | 27, South Salmara | 8)",,,,,,22-06-2022
25,,Tamulpur,21,"10(Goreswar | 6, Tamulpur | 4)",,"11(Goreswar | 7, Tamulpur | 4)",,,,,,22-06-2022
26,,Udalguri,24,"13(Harisinga | 2, Udalguri | 3, Mazbat | 6, Kalaigaon | 2)",,"11(Harisinga | 0, Udalguri | 11, Mazbat | 0, Kalaigaon | 0)",,,,,,22-06-2022
27,,Total,1871,845,,1026,,,,,,22-06-2022
