,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,35,"13(Sarupeta | 11, Bajali | 2)",,,,"22(Sarupeta | 1, Bajali | 21)",,,,23-06-2022
1,,Baksa,8,0(Barnagar RC part | 0),,,,8(Barnagar RC part | 8),,,,23-06-2022
2,,Barpeta,170,"145(Barpeta | 80, Baghbar | 17, Chenga | 37, Sarthebari | 11, Kalgachia | 0)",,,,"25(Barpeta | 0, Baghbar | 1, Chenga | 10, Sarthebari | 5, Kalgachia | 9)",,,,23-06-2022
3,,Bongaigaon,43,"9(Boitamari | 2, Manikpur | 3, Srijangram | 4)",,,,"34(Boitamari | 1, Manikpur | 0, Srijangram | 33)",,,,23-06-2022
4,,Cachar,260,"175(Katigorah | 45, Silchar | 63, Sonai | 44, Lakhipur | 22, Udharbond | 1)",,,,"85(Katigorah | 0, Silchar | 85, Sonai | 0, Lakhipur | 0, Udharbond | 0)",,,,23-06-2022
5,,Chirang,6,"6(Bijni | 3, Bengtal | 3)",,,,"0(Bijni | 0, Bengtal | 0)",,,,23-06-2022
6,,Darrang,59,"6(Mangaldoi | 2, Sipajhar | 3, Dalgaon | 1, Patharighat | 0)",,,,"53(Mangaldoi | 31, Sipajhar | 12, Dalgaon | 0, Patharighat | 10)",,,,23-06-2022
7,,Dhemaji,12,"0(Jonai | 0, Dhemaji | 0)",,,,"12(Jonai | 11, Dhemaji | 1)",,,,23-06-2022
8,,Dhubri,25,"14(Bilasipara | 10, Dhubri | 4)",,,,"11(Bilasipara | 0, Dhubri | 11)",,,,23-06-2022
9,,Dibrugarh,6,"0(Chabua | 0, Dibrugarh West | 0)",,,,"6(Chabua | 5, Dibrugarh West | 1)",,,,23-06-2022
10,,Dima-Hasao,30,28(Haflong | 28),,,,2(Haflong | 2),,,,23-06-2022
11,,Goalpara,133,"64(Matia | 3, Lakhipur | 43, Balijana | 18)",,,,"69(Matia | 0, Lakhipur | 43, Balijana | 26)",,,,23-06-2022
12,,Golaghat,5,0(Bokakhat | 0),,,,5(Bokakhat | 5),,,,23-06-2022
13,,Hailakandi,18,"2(Algapur | 1, Hailakandi | 1, Lala | 0)",,,,"16(Algapur | 4, Hailakandi | 6, Lala | 6)",,,,23-06-2022
14,,Hojai,53,"28(Hojai | 14, Doboka | 14, Lanka | 0)",,,,"25(Hojai | 17, Doboka | 6, Lanka | 2)",,,,23-06-2022
15,,Kamrup,109,"64(Rangia | 13, Hajo | 2, Kayan | 17, Kamalpur | 19, North Ghy | 13, Palashbari | 0, Chamaria | 0)",,,,"45(Rangia | 1, Hajo | 0, Kayan | 10, Kamalpur | 25, North Ghy | 4, Palashbari | 3, Chamaria | 2)",,,,23-06-2022
16,,Kamrup (M),3,0(Chandrapur | 0),,,,3(Chandrapur | 3),,,,23-06-2022
17,,Karbi Anglong West,3,0(Donkamokam | 0),,,,3(Donkamokam | 3),,,,23-06-2022
18,,Karimganj,153,"71(Nilambazar | 5, Badarpur | 23, Karimganj | 38, Patherkandi | 5, RK Nagar | 0)",,,,"82(Nilambazar | 22, Badarpur | 6, Karimganj | 17, Patherkandi | 12, RK Nagar | 25)",,,,23-06-2022
19,,Lakhimpur,7,"0(Bihpuria | 0, North Lakhimpur | 0, Nowboicha | 0, Kadam | 0)",,,,"7(Bihpuria | 2, North Lakhimpur | 1, Nowboicha | 2, Kadam | 2)",,,,23-06-2022
20,,Majuli,1,0(Majuli | 0),,1(Majuli | 1),,,,,,23-06-2022
21,,Morigaon,24,"1(Morigaon | 1, Mayong | 0, Mikirbheta | 0)",,"23(Morigaon | 7, Mayong | 13, Mikirbheta | 3)",,,,,,23-06-2022
22,,Nagaon,98,"64(Nagaon | 35, Kampur | 17, Raha | 12)",,"34(Nagaon | 34, Kampur | 0, Raha | 0)",,,,,,23-06-2022
23,,Nalbari,47,"43(Paschim Nalbari | 17, Barbhag | 16, Tihu | 4, Barkhetri | 4, Nalbari | 2)",,"4(Paschim Nalbari | 0, Barbhag | 0, Tihu | 0, Barkhetri | 4, Nalbari | 0)",,,,,,23-06-2022
24,,Sonitpur,3,1(Dhekiajuli | 1),,2(Dhekiajuli | 2),,,,,,23-06-2022
25,,South Salmara,44,"9(Mankachar | 9, South Salmara | 0)",,"35(Mankachar | 27, South Salmara | 8)",,,,,,23-06-2022
26,,Tamulpur,16,"7(Goreswar | 5, Tamulpur | 2)",,"9(Goreswar | 7, Tamulpur | 2)",,,,,,23-06-2022
27,,Tinsukia,2,0(Tinsukia | 0),,2(Tinsukia | 2),,,,,,23-06-2022
28,,Udalguri,22,"9(Udalguri | 3, Mazbat | 6)",,"13(Udalguri | 13, Mazbat | 0)",,,,,,23-06-2022
29,,Total,1395,759,,636,,,,,,23-06-2022
