,relief camps / centres opened,District,Total,Relief Camp,,,,,Relief Distribution Centres,,,,Date
0,,Cachar,12,12(Silchar | 12),,,,,0(Silchar | 0),,,,17-07-2022
1,,Dima-Hasao,8,8(Haflong | 8),,,,,0(Haflong | 0),,,,17-07-2022
2,,Morigaon,6,6(Morigaon | 6),,,,,0(Morigaon | 0),,,,17-07-2022
3,,Total,26,26,,,,,0,,,,17-07-2022
