,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Barpeta,3,0(Sarthebari | 0),,,,3(Sarthebari | 3),,,,23-05-2022
1,,Cachar,419,"288(Udharbond | 1, Katigorah | 102, Silchar | 162, Sonai | 23, Lakhipur | 0)",,,,"131(Udharbond | 6, Katigorah | 92, Silchar | 9, Sonai | 1, Lakhipur | 23)",,,,23-05-2022
2,,Dibrugarh,1,0(Chabua | 0),,,,1(Chabua | 1),,,,23-05-2022
3,,Dima-Hasao,10,4(Haflong | 4),,,,6(Haflong | 6),,,,23-05-2022
4,,Hailakandi,4,3(Algapur | 3),,,,1(Algapur | 1),,,,23-05-2022
5,,Hojai,14,"14(Doboka | 11, Hojai | 3)",,,,"0(Doboka | 0, Hojai | 0)",,,,23-05-2022
6,,Kamrup,3,"0(Rangia | 0, Kayan | 0, Kamalpur | 0)",,,,"3(Rangia | 1, Kayan | 1, Kamalpur | 1)",,,,23-05-2022
7,,Karbi Anglong West,2,0(Donkamokam | 0),,,,2(Donkamokam | 2),,,,23-05-2022
8,,Karimganj,15,"6(Badarpur | 6, Karimganj | 0)",,,,"9(Badarpur | 0, Karimganj | 9)",,,,23-05-2022
9,,Morigaon,21,3(Morigaon | 3),,,,18(Morigaon | 18),,,,23-05-2022
10,,Nagaon,162,"48(Kampur | 15, Raha | 7, Nagaon | 26)",,,,"114(Kampur | 0, Raha | 80, Nagaon | 34)",,,,23-05-2022
11,,Udalguri,2,0(Udalguri | 0),,,,2(Udalguri | 2),,,,23-05-2022
12,,Total,656,366,,,,290,,,,23-05-2022
