,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Barpeta,1,0(Sarthebari | 0),,,,1(Sarthebari | 1),,,,24-05-2022
1,,Cachar,407,"284(Katigorah | 100, Sonai | 23, Silchar | 161, Udharbond | 0, Lakhipur | 0)",,,,"123(Katigorah | 65, Sonai | 27, Silchar | 9, Udharbond | 6, Lakhipur | 16)",,,,24-05-2022
2,,Darrang,6,"0(Mangaldoi | 0, Dalgaon | 0)",,,,"6(Mangaldoi | 3, Dalgaon | 3)",,,,24-05-2022
3,,Dima-Hasao,25,11(Haflong | 11),,,,14(Haflong | 14),,,,24-05-2022
4,,Goalpara,2,"0(Balijana | 0, Lakhipur | 0)",,,,"2(Balijana | 1, Lakhipur | 1)",,,,24-05-2022
5,,Hailakandi,1,1(Algapur | 1),,,,0(Algapur | 0),,,,24-05-2022
6,,Hojai,4,"4(Hojai | 2, Doboka | 2)",,,,"0(Hojai | 0, Doboka | 0)",,,,24-05-2022
7,,Kamrup,1,0(Kamalpur | 0),,,,1(Kamalpur | 1),,,,24-05-2022
8,,Karbi Anglong West,1,0(Donkamokam | 0),,,,1(Donkamokam | 1),,,,24-05-2022
9,,Karimganj,11,"2(Badarpur | 2, Karimganj | 0)",,,,"9(Badarpur | 0, Karimganj | 9)",,,,24-05-2022
10,,Morigaon,15,3(Morigaon | 3),,,,12(Morigaon | 12),,,,24-05-2022
11,,Nagaon,54,"41(Nagaon | 25, Kampur | 9, Raha | 7)",,,,"13(Nagaon | 13, Kampur | 0, Raha | 0)",,,,24-05-2022
12,,Total,528,346,,,,182,,,,24-05-2022
