,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,4,0(Bajali | 0),,,,4(Bajali | 4),,,,18-05-2022
1,,Biswanath,18,"2(Halem | 2, Naduar RC part | 0, Biswanath | 0)",,,,"16(Halem | 9, Naduar RC part | 2, Biswanath | 5)",,,,18-05-2022
2,,Cachar,64,"64(Udharbond | 1, Silchar | 27, Lakhipur | 5, Sonai | 6, Katigorah | 25)",,,,"0(Udharbond | 0, Silchar | 0, Lakhipur | 0, Sonai | 0, Katigorah | 0)",,,,18-05-2022
3,,Charaideo,1,0(Sapekhati | 0),,,,1(Sapekhati | 1),,,,18-05-2022
4,,Darrang,13,"0(Mangaldoi | 0, Patharighat | 0)",,,,"13(Mangaldoi | 4, Patharighat | 9)",,,,18-05-2022
5,,Dima-Hasao,4,4(Haflong | 4),,,,0(Haflong | 0),,,,18-05-2022
6,,Hailakandi,6,2(Algapur | 2),,,,4(Algapur | 4),,,,18-05-2022
7,,Hojai,74,"47(Hojai | 46, Doboka | 1, Lanka | 0)",,,,"27(Hojai | 5, Doboka | 17, Lanka | 5)",,,,18-05-2022
8,,Kamrup,1,1(Rangia | 1),,,,0(Rangia | 0),,,,18-05-2022
9,,Karbi Anglong West,3,0(Donkamokam | 0),,,,3(Donkamokam | 3),,,,18-05-2022
10,,Karimganj,9,"2(Badarpur | 2, Karimganj | 0)",,,,"7(Badarpur | 0, Karimganj | 7)",,,,18-05-2022
11,,Nagaon,31,"11(Nagaon | 5, Raha | 2, Kampur | 4)",,,,"20(Nagaon | 0, Raha | 1, Kampur | 19)",,,,18-05-2022
12,,Sonitpur,2,0(Naduar | 0),,,,2(Naduar | 2),,,,18-05-2022
13,,Udalguri,18,"2(Khairabari | 2, Udalguri | 0, Kalaigaon | 0, Harisinga | 0)",,,,"16(Khairabari | 2, Udalguri | 5, Kalaigaon | 8, Harisinga | 1)",,,,18-05-2022
14,,Total,248,135,,,,113,,,,18-05-2022
