,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,30,"29(Bajali | 29, Sarupeta | 0)",,,,"1(Bajali | 0, Sarupeta | 1)",,,,17-06-2022
1,,Baksa,13,"10(Baska | 6, Barama | 3, Jalah | 1, Baganpara | 0)",,,,"3(Baska | 0, Barama | 1, Jalah | 0, Baganpara | 2)",,,,17-06-2022
2,,Barpeta,35,"35(Barpeta | 29, Sarthebari | 3, Chenga | 3)",,,,"0(Barpeta | 0, Sarthebari | 0, Chenga | 0)",,,,17-06-2022
3,,Bongaigaon,55,"18(Manikpur | 1, Bongaigaon | 1, Boitamari | 3, Dangtol | 8, Srijangram | 5)",,,,"37(Manikpur | 35, Bongaigaon | 2, Boitamari | 0, Dangtol | 0, Srijangram | 0)",,,,17-06-2022
4,,Chirang,19,"1(Bijni | 1, Sidli | 0, Bengtal | 0)",,,,"18(Bijni | 7, Sidli | 10, Bengtal | 1)",,,,17-06-2022
5,,Darrang,13,"13(Patharighat | 2, Mangaldoi | 9, Sipajhar | 2)",,,,"0(Patharighat | 0, Mangaldoi | 0, Sipajhar | 0)",,,,17-06-2022
6,,Dhemaji,4,"0(Jonai | 0, Dhemaji | 0)",,,,"4(Jonai | 2, Dhemaji | 2)",,,,17-06-2022
7,,Dhubri,25,"25(Chapar | 3, Athani | 4, Bilasipara | 18)",,,,"0(Chapar | 0, Athani | 0, Bilasipara | 0)",,,,17-06-2022
8,,Dima-Hasao,20,20(Haflong | 20),,,,0(Haflong | 0),,,,17-06-2022
9,,Goalpara,35,"23(Balijana | 10, Matia | 3, Lakhipur | 10)",,,,"12(Balijana | 2, Matia | 0, Lakhipur | 10)",,,,17-06-2022
10,,Hojai,47,"36(Hojai | 25, Doboka | 11, Lanka | 0)",,,,"11(Hojai | 0, Doboka | 6, Lanka | 5)",,,,17-06-2022
11,,Kamrup,16,"16(Rangia | 5, Kayan | 3, North Ghy | 2, Hajo | 6)",,,,"0(Rangia | 0, Kayan | 0, North Ghy | 0, Hajo | 0)",,,,17-06-2022
12,,Kamrup (M),24,"5(Guwahati | 2, Dispur | 3)",,,,"19(Guwahati | 12, Dispur | 7)",,,,17-06-2022
13,,Karbi Anglong West,4,0(Donkamokam | 0),,,,4(Donkamokam | 4),,,,17-06-2022
14,,Kokrajhar,128,"56(Bagribari | 7, Kokrajhar | 24, Bhawraguri | 6, Gossaigaon | 11, Dotma | 8)",,,,"72(Bagribari | 0, Kokrajhar | 27, Bhawraguri | 16, Gossaigaon | 0, Dotma | 29)",,,,17-06-2022
15,,Lakhimpur,7,"0(North Lakhimpur | 0, Subansiri | 0, Kadam | 0)",,,,"7(North Lakhimpur | 2, Subansiri | 3, Kadam | 2)",,,,17-06-2022
16,,Nagaon,3,3(Kampur | 3),,,,0(Kampur | 0),,,,17-06-2022
17,,Nalbari,54,"54(Banekuchi | 12, Paschim Nalbari | 10, Ghograpar | 2, Barbhag | 3, Nalbari | 11, Tihu | 16)",,,,"0(Banekuchi | 0, Paschim Nalbari | 0, Ghograpar | 0, Barbhag | 0, Nalbari | 0, Tihu | 0)",,,,17-06-2022
18,,Sonitpur,9,"1(Chariduar | 1, Dhekiajuli | 0)",,,,"8(Chariduar | 3, Dhekiajuli | 5)",,,,17-06-2022
19,,Tamulpur,24,"10(Tamulpur | 5, Goreswar | 5)",,,,"14(Tamulpur | 7, Goreswar | 7)",,,,17-06-2022
20,,Tinsukia,7,"4(Doomdooma | 4, Tinsukia | 0)",,,,"3(Doomdooma | 0, Tinsukia | 3)",,,,17-06-2022
21,,Udalguri,33,"14(Udalguri | 8, Mazbat | 2, Kalaigaon | 4, Khairabari | 0, Harisinga | 0)",,,,"19(Udalguri | 0, Mazbat | 0, Kalaigaon | 9, Khairabari | 3, Harisinga | 7)",,,,17-06-2022
22,,Total,605,373,,,,232,,,,17-06-2022
