,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,4,4(Sarupeta | 4),,,,0(Sarupeta | 0),,,,08-07-2022
1,,Cachar,107,"107(Sonai | 1, Silchar | 40, Lakhipur | 10, Katigorah | 56)",,,,"0(Sonai | 0, Silchar | 0, Lakhipur | 0, Katigorah | 0)",,,,08-07-2022
2,,Chirang,1,1(Bijni | 1),,,,0(Bijni | 0),,,,08-07-2022
3,,Dibrugarh,6,"0(Dibrugarh West | 0, Naharkatia | 0)",,,,"6(Dibrugarh West | 1, Naharkatia | 5)",,,,08-07-2022
4,,Dima-Hasao,25,21(Haflong | 21),,,,4(Haflong | 4),,,,08-07-2022
5,,Hailakandi,1,1(Algapur | 1),,,,0(Algapur | 0),,,,08-07-2022
6,,Kamrup,3,"3(Kayan | 2, North Ghy | 1)",,,,"0(Kayan | 0, North Ghy | 0)",,,,08-07-2022
7,,Karimganj,22,"18(Nilambazar | 5, Karimganj | 9, Badarpur | 4, Patherkandi | 0)",,,,"4(Nilambazar | 0, Karimganj | 0, Badarpur | 0, Patherkandi | 4)",,,,08-07-2022
8,,Morigaon,4,4(Morigaon | 4),,,,0(Morigaon | 0),,,,08-07-2022
9,,Nagaon,13,13(Raha | 13),,,,0(Raha | 0),,,,08-07-2022
10,,Sivasagar,5,0(Demow | 0),,,,5(Demow | 5),,,,08-07-2022
11,,Tamulpur,1,1(Goreswar | 1),,,,0(Goreswar | 0),,,,08-07-2022
12,,Total,192,173,,,,19,,,,08-07-2022
