,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,21,"12(Sarupeta | 11, Bajali | 1)",,,,"9(Sarupeta | 1, Bajali | 8)",,,,24-06-2022
1,,Baksa,3,"0(Baganpara | 0, Jalah | 0)",,,,"3(Baganpara | 2, Jalah | 1)",,,,24-06-2022
2,,Barpeta,224,"171(Barpeta | 112, Baghbar | 19, Chenga | 37, Sarthebari | 3, Kalgachia | 0)",,,,"53(Barpeta | 0, Baghbar | 1, Chenga | 7, Sarthebari | 4, Kalgachia | 41)",,,,24-06-2022
3,,Bongaigaon,1,1(Srijangram | 1),,,,0(Srijangram | 0),,,,24-06-2022
4,,Cachar,224,"224(Katigorah | 94, Lakhipur | 22, Silchar | 63, Sonai | 44, Udharbond | 1)",,,,"0(Katigorah | 0, Lakhipur | 0, Silchar | 0, Sonai | 0, Udharbond | 0)",,,,24-06-2022
5,,Chirang,3,3(Bijni | 3),,,,0(Bijni | 0),,,,24-06-2022
6,,Darrang,74,"3(Sipajhar | 1, Mangaldoi | 2, Patharighat | 0, Dalgaon | 0)",,,,"71(Sipajhar | 43, Mangaldoi | 20, Patharighat | 1, Dalgaon | 7)",,,,24-06-2022
7,,Dhemaji,11,"0(Jonai | 0, Sissiborgaon | 0, Dhemaji | 0)",,,,"11(Jonai | 2, Sissiborgaon | 5, Dhemaji | 4)",,,,24-06-2022
8,,Dhubri,30,"9(Bilasipara | 7, Dhubri | 2)",,,,"21(Bilasipara | 21, Dhubri | 0)",,,,24-06-2022
9,,Dima-Hasao,34,28(Haflong | 28),,,,6(Haflong | 6),,,,24-06-2022
10,,Goalpara,34,"34(Matia | 3, Lakhipur | 17, Balijana | 14)",,,,"0(Matia | 0, Lakhipur | 0, Balijana | 0)",,,,24-06-2022
11,,Hailakandi,17,"3(Hailakandi | 3, Algapur | 0)",,,,"14(Hailakandi | 8, Algapur | 6)",,,,24-06-2022
12,,Hojai,37,"20(Hojai | 12, Doboka | 8)",,,,"17(Hojai | 12, Doboka | 5)",,,,24-06-2022
13,,Kamrup,90,"51(Rangia | 12, Kayan | 10, Kamalpur | 15, North Ghy | 14, Hajo | 0, Chamaria | 0)",,,,"39(Rangia | 1, Kayan | 0, Kamalpur | 15, North Ghy | 0, Hajo | 21, Chamaria | 2)",,,,24-06-2022
14,,Karbi Anglong West,3,0(Donkamokam | 0),,,,3(Donkamokam | 3),,,,24-06-2022
15,,Karimganj,114,"59(Karimganj | 26, Badarpur | 23, Nilambazar | 5, Patherkandi | 5, RK Nagar | 0)",,,,"55(Karimganj | 0, Badarpur | 23, Nilambazar | 7, Patherkandi | 0, RK Nagar | 25)",,,,24-06-2022
16,,Lakhimpur,8,"0(Bihpuria | 0, North Lakhimpur | 0, Nowboicha | 0)",,,,"8(Bihpuria | 5, North Lakhimpur | 1, Nowboicha | 2)",,,,24-06-2022
17,,Morigaon,29,"1(Morigaon | 1, Mayong | 0)",,,,"28(Morigaon | 26, Mayong | 2)",,,,24-06-2022
18,,Nagaon,104,"65(Kampur | 17, Nagaon | 36, Raha | 12)",,,,"39(Kampur | 0, Nagaon | 0, Raha | 39)",,,,24-06-2022
19,,Nalbari,23,"20(Paschim Nalbari | 10, Barbhag | 6, Tihu | 1, Nalbari | 3, Barkhetri | 0)",,,,"3(Paschim Nalbari | 0, Barbhag | 0, Tihu | 0, Nalbari | 0, Barkhetri | 3)",,,,24-06-2022
20,,Sonitpur,2,"1(Dhekiajuli | 1, Tezpur | 0)",,,,"1(Dhekiajuli | 0, Tezpur | 1)",,,,24-06-2022
21,,South Salmara,33,"9(Mankachar | 9, South Salmara | 0)",,,,"24(Mankachar | 16, South Salmara | 8)",,,,24-06-2022
22,,Tamulpur,2,1(Tamulpur | 1),,,,1(Tamulpur | 1),,,,24-06-2022
23,,Udalguri,5,"2(Udalguri | 2, Khairabari | 0)",,,,"3(Udalguri | 2, Khairabari | 1)",,,,24-06-2022
24,,Total,1126,717,,,,409,,,,24-06-2022
