,relief camps / centres opened,District,Total,Relief Camp,,Relief Distribution Centres,,,,,,Date
0,,Bajali,6,6(Sarupeta | 6),,0(Sarupeta | 0),,,,,,03-07-2022
1,,Barpeta,26,"26(Barpeta | 23, Chenga | 3)",,"0(Barpeta | 0, Chenga | 0)",,,,,,03-07-2022
2,,Biswanath,1,0(Halem | 0),,1(Halem | 1),,,,,,03-07-2022
3,,Cachar,189,"189(Katigorah | 95, Lakhipur | 15, Sonai | 27, Silchar | 52)",,"0(Katigorah | 0, Lakhipur | 0, Sonai | 0, Silchar | 0)",,,,,,03-07-2022
4,,Chirang,3,3(Bijni | 3),,0(Bijni | 0),,,,,,03-07-2022
5,,Dibrugarh,16,"3(Dibrugarh East | 3, Dibrugarh West | 0, Moran | 0, Naharkatia | 0, Tengakhat | 0)",,"13(Dibrugarh East | 3, Dibrugarh West | 4, Moran | 3, Naharkatia | 2, Tengakhat | 1)",,,,,,03-07-2022
6,,Dima-Hasao,22,22(Haflong | 22),,0(Haflong | 0),,,,,,03-07-2022
7,,Goalpara,3,0(Lakhipur | 0),,3(Lakhipur | 3),,,,,,03-07-2022
8,,Hailakandi,7,5(Algapur | 5),,2(Algapur | 2),,,,,,03-07-2022
9,,Hojai,3,2(Hojai | 2),,1(Hojai | 1),,,,,,03-07-2022
10,,Kamrup,8,"8(North Ghy | 1, Kayan | 2, Hajo | 5)",,"0(North Ghy | 0, Kayan | 0, Hajo | 0)",,,,,,03-07-2022
11,,Karimganj,38,"34(Nilambazar | 6, RK Nagar | 5, Karimganj | 15, Badarpur | 8)",,"4(Nilambazar | 0, RK Nagar | 0, Karimganj | 4, Badarpur | 0)",,,,,,03-07-2022
12,,Lakhimpur,5,"0(Narayanpur | 0, Nowboicha | 0)",,"5(Narayanpur | 3, Nowboicha | 2)",,,,,,03-07-2022
13,,Morigaon,32,"18(Bhuragaon | 7, Morigaon | 11, Mikirbheta | 0)",,"14(Bhuragaon | 0, Morigaon | 8, Mikirbheta | 6)",,,,,,03-07-2022
14,,Nagaon,42,"42(Nagaon | 12, Raha | 13, Kampur | 17)",,"0(Nagaon | 0, Raha | 0, Kampur | 0)",,,,,,03-07-2022
15,,Nalbari,1,1(Paschim Nalbari | 1),,0(Paschim Nalbari | 0),,,,,,03-07-2022
16,,Sivasagar,4,0(Demow | 0),,4(Demow | 4),,,,,,03-07-2022
17,,Tamulpur,2,2(Goreswar | 2),,0(Goreswar | 0),,,,,,03-07-2022
18,,Tinsukia,2,"2(Tinsukia | 1, Doomdooma | 1)",,"0(Tinsukia | 0, Doomdooma | 0)",,,,,,03-07-2022
19,,Udalguri,3,"2(Udalguri | 2, Mazbat | 0)",,"1(Udalguri | 0, Mazbat | 1)",,,,,,03-07-2022
20,,Total,413,,,,,,,,,03-07-2022
