,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,6,6(Sarupeta | 6),,,,0(Sarupeta | 0),,,,02-07-2022
1,,Barpeta,41,"41(Barpeta | 35, Chenga | 6)",,,,"0(Barpeta | 0, Chenga | 0)",,,,02-07-2022
2,,Biswanath,5,"1(Halem | 1, Gohpur | 0)",,,,"4(Halem | 2, Gohpur | 2)",,,,02-07-2022
3,,Cachar,201,"201(Silchar | 54, Sonai | 37, Lakhipur | 15, Katigorah | 95)",,,,"0(Silchar | 0, Sonai | 0, Lakhipur | 0, Katigorah | 0)",,,,02-07-2022
4,,Charaideo,1,0(Sonari | 0),,,,1(Sonari | 1),,,,02-07-2022
5,,Chirang,4,4(Bijni | 4),,,,0(Bijni | 0),,,,02-07-2022
6,,Darrang,18,"0(Mangaldoi | 0, Sipajhar | 0)",,,,"18(Mangaldoi | 12, Sipajhar | 6)",,,,02-07-2022
7,,Dhemaji,9,"0(Sissiborgaon | 0, Jonai | 0)",,,,"9(Sissiborgaon | 3, Jonai | 6)",,,,02-07-2022
8,,Dibrugarh,24,"3(Dibrugarh East | 3, Chabua | 0, Moran | 0, Dibrugarh West | 0)",,,,"21(Dibrugarh East | 4, Chabua | 2, Moran | 6, Dibrugarh West | 9)",,,,02-07-2022
9,,Dima-Hasao,24,22(Haflong | 22),,,,2(Haflong | 2),,,,02-07-2022
10,,Hailakandi,5,5(Algapur | 5),,,,0(Algapur | 0),,,,02-07-2022
11,,Hojai,10,3(Hojai | 3),,,,7(Hojai | 7),,,,02-07-2022
12,,Kamrup,15,"15(North Ghy | 2, Kayan | 2, Hajo | 11)",,,,"0(North Ghy | 0, Kayan | 0, Hajo | 0)",,,,02-07-2022
13,,Karimganj,47,"34(Nilambazar | 6, Karimganj | 15, RK Nagar | 5, Badarpur | 8, Patherkandi | 0)",,,,"13(Nilambazar | 1, Karimganj | 0, RK Nagar | 0, Badarpur | 0, Patherkandi | 12)",,,,02-07-2022
14,,Lakhimpur,16,"0(Subansiri | 0, Bihpuria | 0, Narayanpur | 0, Nowboicha | 0)",,,,"16(Subansiri | 5, Bihpuria | 6, Narayanpur | 4, Nowboicha | 1)",,,,02-07-2022
15,,Morigaon,40,"12(Mikirbheta | 3, Morigaon | 3, Bhuragaon | 6)",,,,"28(Mikirbheta | 0, Morigaon | 13, Bhuragaon | 15)",,,,02-07-2022
16,,Nagaon,47,"47(Nagaon | 17, Kampur | 17, Raha | 13)",,,,"0(Nagaon | 0, Kampur | 0, Raha | 0)",,,,02-07-2022
17,,Nalbari,1,1(Paschim Nalbari | 1),,,,0(Paschim Nalbari | 0),,,,02-07-2022
18,,Sivasagar,6,0(Demow | 0),,,,6(Demow | 6),,,,02-07-2022
19,,Sonitpur,4,"0(Dhekiajuli | 0, Chariduar | 0, Tezpur | 0)",,,,"4(Dhekiajuli | 1, Chariduar | 2, Tezpur | 1)",,,,02-07-2022
20,,Tamulpur,5,2(Goreswar | 2),,,,3(Goreswar | 3),,,,02-07-2022
21,,Tinsukia,11,"5(Tinsukia | 2, Doomdooma | 3)",,,,"6(Tinsukia | 2, Doomdooma | 4)",,,,02-07-2022
22,,Udalguri,2,2(Udalguri | 2),,,,0(Udalguri | 0),,,,02-07-2022
23,,Total,542,,,,,,,,,02-07-2022
