,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,Date
0,,Dibrugarh,1,0(Chabua | 0),,,,1(Chabua | 1),,,13-10-2022
1,,Lakhimpur,9,"0(Subansiri | 0, Nowboicha | 0, North Lakhimpur | 0)",,,,"9(Subansiri | 4, Nowboicha | 3, North Lakhimpur | 2)",,,13-10-2022
2,,Total,10,0,,,,10,,,13-10-2022
