,relief camps / centres opened,District,Total,Relief Camp,,,,,Relief Distribution Centres,,,,Date
0,,Bajali,1,0(Sarupeta | 0),,,,,1(Sarupeta | 1),,,,04-08-2022
1,,Chirang,1,1(Bijni | 1),,,,,0(Bijni | 0),,,,04-08-2022
2,,Udalguri,6,"6(Khairabari | 3, Harisinga | 3)",,,,,"0(Khairabari | 0, Harisinga | 0)",,,,04-08-2022
3,,Total,8,7,,,,,1,,,,04-08-2022
