,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Cachar,329,"259(Sonai | 20, Silchar | 153, Katigorah | 86, Udharbond | 0, Lakhipur | 0)",,,,"70(Sonai | 27, Silchar | 14, Katigorah | 7, Udharbond | 6, Lakhipur | 16)",,,,25-05-2022
1,,Dima-Hasao,7,3(Haflong | 3),,,,4(Haflong | 4),,,,25-05-2022
2,,Hailakandi,1,1(Algapur | 1),,,,0(Algapur | 0),,,,25-05-2022
3,,Hojai,2,2(Hojai | 2),,,,0(Hojai | 0),,,,25-05-2022
4,,Kamrup,1,0(Kamalpur | 0),,,,1(Kamalpur | 1),,,,25-05-2022
5,,Karbi Anglong West,2,0(Donkamokam | 0),,,,2(Donkamokam | 2),,,,25-05-2022
6,,Karimganj,4,"1(Badarpur | 1, Karimganj | 0)",,,,"3(Badarpur | 0, Karimganj | 3)",,,,25-05-2022
7,,Morigaon,20,3(Morigaon | 3),,,,17(Morigaon | 17),,,,25-05-2022
8,,Nagaon,56,"41(Nagaon | 26, Kampur | 8, Raha | 7)",,,,"15(Nagaon | 15, Kampur | 0, Raha | 0)",,,,25-05-2022
9,,Total,422,310,,,,112,,,,25-05-2022
