,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Biswanath,2,1(Halem | 1),,,,1(Halem | 1),,,,20-05-2022
1,,Cachar,216,"151(Udharbond | 1, Sonai | 6, Katigorah | 62, Silchar | 82, Lakhipur | 0)",,,,"65(Udharbond | 3, Sonai | 0, Katigorah | 30, Silchar | 8, Lakhipur | 24)",,,,20-05-2022
2,,Darrang,18,"1(Patharighat | 1, Mangaldoi | 0)",,,,"17(Patharighat | 6, Mangaldoi | 11)",,,,20-05-2022
3,,Dima-Hasao,4,2(Haflong | 2),,,,2(Haflong | 2),,,,20-05-2022
4,,Hailakandi,2,0(Algapur | 0),,,,2(Algapur | 2),,,,20-05-2022
5,,Hojai,61,"47(Hojai | 36, Doboka | 11)",,,,"14(Hojai | 2, Doboka | 12)",,,,20-05-2022
6,,Karbi Anglong West,2,0(Donkamokam | 0),,,,2(Donkamokam | 2),,,,20-05-2022
7,,Karimganj,16,"6(Badarpur | 6, Karimganj | 0)",,,,"10(Badarpur | 1, Karimganj | 9)",,,,20-05-2022
8,,Lakhimpur,1,0(Bihpuria | 0),,,,1(Bihpuria | 1),,,,20-05-2022
9,,Morigaon,1,1(Morigaon | 1),,,,0(Morigaon | 0),,,,20-05-2022
10,,Nagaon,36,"25(Kampur | 15, Nagaon | 7, Raha | 3)",,,,"11(Kampur | 0, Nagaon | 11, Raha | 0)",,,,20-05-2022
11,,Sonitpur,1,0(Naduar | 0),,,,1(Naduar | 1),,,,20-05-2022
12,,Udalguri,2,0(Udalguri | 0),,,,2(Udalguri | 2),,,,20-05-2022
13,,Total,362,234,,,,128,,,,20-05-2022
