,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,6,6(Sarupeta | 6),,,,0(Sarupeta | 0),,,,05-07-2022
1,,Barpeta,6,"5(Barpeta | 5, Baghbar | 0)",,,,"1(Barpeta | 0, Baghbar | 1)",,,,05-07-2022
2,,Cachar,178,"178(Sonai | 21, Lakhipur | 10, Silchar | 49, Katigorah | 98)",,,,"0(Sonai | 0, Lakhipur | 0, Silchar | 0, Katigorah | 0)",,,,05-07-2022
3,,Chirang,3,3(Bijni | 3),,,,0(Bijni | 0),,,,05-07-2022
4,,Darrang,5,0(Sipajhar | 0),,,,5(Sipajhar | 5),,,,05-07-2022
5,,Dibrugarh,8,"2(Dibrugarh East | 2, Moran | 0, Chabua | 0, Dibrugarh West | 0)",,,,"6(Dibrugarh East | 0, Moran | 1, Chabua | 1, Dibrugarh West | 4)",,,,05-07-2022
6,,Dima-Hasao,21,21(Haflong | 21),,,,0(Haflong | 0),,,,05-07-2022
7,,Hailakandi,2,2(Algapur | 2),,,,0(Algapur | 0),,,,05-07-2022
8,,Kamrup,3,"3(Kayan | 2, North Ghy | 1)",,,,"0(Kayan | 0, North Ghy | 0)",,,,05-07-2022
9,,Karimganj,38,"32(Nilambazar | 6, Karimganj | 14, RK Nagar | 4, Badarpur | 8, Patherkandi | 0)",,,,"6(Nilambazar | 0, Karimganj | 0, RK Nagar | 0, Badarpur | 0, Patherkandi | 6)",,,,05-07-2022
10,,Lakhimpur,3,0(Subansiri | 0),,,,3(Subansiri | 3),,,,05-07-2022
11,,Morigaon,11,"9(Mikirbheta | 1, Morigaon | 4, Bhuragaon | 4)",,,,"2(Mikirbheta | 2, Morigaon | 0, Bhuragaon | 0)",,,,05-07-2022
12,,Nagaon,96,"36(Nagaon | 6, Raha | 13, Kampur | 17)",,,,"60(Nagaon | 0, Raha | 60, Kampur | 0)",,,,05-07-2022
13,,Sivasagar,1,0(Demow | 0),,,,1(Demow | 1),,,,05-07-2022
14,,Tamulpur,2,2(Goreswar | 2),,,,0(Goreswar | 0),,,,05-07-2022
15,,Total,383,299,,,,84,,,,05-07-2022
