,relief camps / centres opened,District,Total,Relief Camp,,,,,Relief Distribution Centres,,,,Date
0,,Cachar,4,4(Silchar | 4),,,,,0(Silchar | 0),,,,19-07-2022
1,,Dima-Hasao,8,7(Haflong | 7),,,,,1(Haflong | 1),,,,19-07-2022
2,,Morigaon,6,6(Morigaon | 6),,,,,0(Morigaon | 0),,,,19-07-2022
3,,Total,18,17,,,,,1,,,,19-07-2022
