,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Baksa,1,0(Jalah | 0),,,,1(Jalah | 1),,,,27-06-2022
1,,Barpeta,116,"113(Baghbar | 20, Barpeta | 60, Chenga | 33)",,,,"3(Baghbar | 1, Barpeta | 0, Chenga | 2)",,,,27-06-2022
2,,Cachar,333,"229(Sonai | 50, Silchar | 63, Lakhipur | 22, Katigorah | 94)",,,,"104(Sonai | 0, Silchar | 88, Lakhipur | 0, Katigorah | 16)",,,,27-06-2022
3,,Chirang,3,3(Bijni | 3),,,,0(Bijni | 0),,,,27-06-2022
4,,Darrang,7,"3(Sipajhar | 1, Mangaldoi | 2)",,,,"4(Sipajhar | 4, Mangaldoi | 0)",,,,27-06-2022
5,,Dima-Hasao,25,23(Haflong | 23),,,,2(Haflong | 2),,,,27-06-2022
6,,Goalpara,9,9(Lakhipur | 9),,,,0(Lakhipur | 0),,,,27-06-2022
7,,Hailakandi,7,"1(Hailakandi | 1, Algapur | 0)",,,,"6(Hailakandi | 2, Algapur | 4)",,,,27-06-2022
8,,Kamrup,53,"33(Kayan | 2, Hajo | 19, Kamalpur | 2, North Ghy | 10, Rangia | 0, Chamaria | 0)",,,,"20(Kayan | 0, Hajo | 14, Kamalpur | 2, North Ghy | 2, Rangia | 1, Chamaria | 1)",,,,27-06-2022
9,,Karimganj,48,"46(Nilambazar | 7, Karimganj | 20, Badarpur | 16, Patherkandi | 3)",,,,"2(Nilambazar | 0, Karimganj | 0, Badarpur | 2, Patherkandi | 0)",,,,27-06-2022
10,,Lakhimpur,1,0(Dhakuakhana | 0),,,,1(Dhakuakhana | 1),,,,27-06-2022
11,,Majuli,2,0(Majuli | 0),,,,2(Majuli | 2),,,,27-06-2022
12,,Morigaon,24,"1(Morigaon | 1, Mikirbheta | 0, Mayong | 0)",,,,"23(Morigaon | 12, Mikirbheta | 10, Mayong | 1)",,,,27-06-2022
13,,Nagaon,74,"66(Nagaon | 36, Kampur | 17, Raha | 13)",,,,"8(Nagaon | 8, Kampur | 0, Raha | 0)",,,,27-06-2022
14,,Nalbari,6,"6(Paschim Nalbari | 4, Barbhag | 2)",,,,"0(Paschim Nalbari | 0, Barbhag | 0)",,,,27-06-2022
15,,Sonitpur,1,1(Dhekiajuli | 1),,,,0(Dhekiajuli | 0),,,,27-06-2022
16,,Tamulpur,3,2(Goreswar | 2),,,,1(Goreswar | 1),,,,27-06-2022
17,,Udalguri,2,2(Udalguri | 2),,,,0(Udalguri | 0),,,,27-06-2022
18,,Total,715,538,,,,177,,,,27-06-2022
