,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,2,2(Sarupeta | 2),,,,0(Sarupeta | 0),,,,09-07-2022
1,,Cachar,83,"83(Silchar | 40, Lakhipur | 9, Katigorah | 34)",,,,"0(Silchar | 0, Lakhipur | 0, Katigorah | 0)",,,,09-07-2022
2,,Chirang,1,1(Bijni | 1),,,,0(Bijni | 0),,,,09-07-2022
3,,Dima-Hasao,20,20(Haflong | 20),,,,0(Haflong | 0),,,,09-07-2022
4,,Hailakandi,1,1(Algapur | 1),,,,0(Algapur | 0),,,,09-07-2022
5,,Kamrup,2,2(Kayan | 2),,,,0(Kayan | 0),,,,09-07-2022
6,,Karimganj,27,"16(Nilambazar | 4, Karimganj | 8, Badarpur | 4)",,,,"11(Nilambazar | 0, Karimganj | 11, Badarpur | 0)",,,,09-07-2022
7,,Morigaon,4,4(Morigaon | 4),,,,0(Morigaon | 0),,,,09-07-2022
8,,Tamulpur,1,1(Goreswar | 1),,,,0(Goreswar | 0),,,,09-07-2022
9,,Total,141,130,,,,11,,,,09-07-2022
