,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,7,7(Sarupeta | 7),,,,0(Sarupeta | 0),,,,30-06-2022
1,,Barpeta,67,"67(Barpeta | 40, Baghbar | 12, Chenga | 15)",,,,"0(Barpeta | 0, Baghbar | 0, Chenga | 0)",,,,30-06-2022
2,,Biswanath,21,"1(Halem | 1, Biswanath | 0)",,,,"20(Halem | 19, Biswanath | 1)",,,,30-06-2022
3,,Cachar,354,"275(Silchar | 109, Katigorah | 94, Sonai | 54, Lakhipur | 18)",,,,"79(Silchar | 0, Katigorah | 0, Sonai | 79, Lakhipur | 0)",,,,30-06-2022
4,,Chirang,6,"6(Bengtal | 2, Bijni | 4)",,,,"0(Bengtal | 0, Bijni | 0)",,,,30-06-2022
5,,Darrang,17,"3(Mangaldoi | 2, Sipajhar | 1)",,,,"14(Mangaldoi | 14, Sipajhar | 0)",,,,30-06-2022
6,,Dhemaji,29,"2(Dhemaji | 2, Sissiborgaon | 0, Gogamukh | 0, Jonai | 0)",,,,"27(Dhemaji | 3, Sissiborgaon | 5, Gogamukh | 7, Jonai | 12)",,,,30-06-2022
7,,Dibrugarh,3,"0(Chabua | 0, Tengakhat | 0)",,,,"3(Chabua | 1, Tengakhat | 2)",,,,30-06-2022
8,,Dima-Hasao,27,23(Haflong | 23),,,,4(Haflong | 4),,,,30-06-2022
9,,Hailakandi,1,1(Hailakandi | 1),,,,0(Hailakandi | 0),,,,30-06-2022
10,,Hojai,7,4(Hojai | 4),,,,3(Hojai | 3),,,,30-06-2022
11,,Kamrup,27,"23(Kayan | 2, North Ghy | 5, Hajo | 16)",,,,"4(Kayan | 0, North Ghy | 1, Hajo | 3)",,,,30-06-2022
12,,Karimganj,63,"59(Nilambazar | 7, Karimganj | 20, RK Nagar | 19, Badarpur | 13)",,,,"4(Nilambazar | 2, Karimganj | 0, RK Nagar | 0, Badarpur | 2)",,,,30-06-2022
13,,Lakhimpur,29,"3(Subansiri | 1, Narayanpur | 2, Dhakuakhana | 0, Bihpuria | 0, Nowboicha | 0)",,,,"26(Subansiri | 6, Narayanpur | 10, Dhakuakhana | 2, Bihpuria | 2, Nowboicha | 6)",,,,30-06-2022
14,,Majuli,10,0(Majuli | 0),,,,10(Majuli | 10),,,,30-06-2022
15,,Morigaon,27,"1(Morigaon | 1, Mikirbheta | 0)",,,,"26(Morigaon | 11, Mikirbheta | 15)",,,,30-06-2022
16,,Nagaon,176,"65(Nagaon | 35, Raha | 13, Kampur | 17)",,,,"111(Nagaon | 14, Raha | 0, Kampur | 97)",,,,30-06-2022
17,,Nalbari,2,"2(Paschim Nalbari | 1, Barbhag | 1)",,,,"0(Paschim Nalbari | 0, Barbhag | 0)",,,,30-06-2022
18,,Sonitpur,1,0(Dhekiajuli | 0),,,,1(Dhekiajuli | 1),,,,30-06-2022
19,,Tamulpur,4,2(Goreswar | 2),,,,2(Goreswar | 2),,,,30-06-2022
20,,Tinsukia,26,"5(Doomdooma | 3, Tinsukia | 2, Sadiya | 0)",,,,"21(Doomdooma | 2, Tinsukia | 17, Sadiya | 2)",,,,30-06-2022
21,,Udalguri,2,2(Udalguri | 2),,,,0(Udalguri | 0),,,,30-06-2022
22,,Total,906,551,,,,355,,,,30-06-2022
