,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,5,5(Sarupeta | 5),,,,0(Sarupeta | 0),,,,07-07-2022
1,,Cachar,124,"124(Lakhipur | 10, Silchar | 46, Sonai | 12, Katigorah | 56)",,,,"0(Lakhipur | 0, Silchar | 0, Sonai | 0, Katigorah | 0)",,,,07-07-2022
2,,Chirang,1,1(Bijni | 1),,,,0(Bijni | 0),,,,07-07-2022
3,,Dibrugarh,2,"1(Dibrugarh East | 1, Dibrugarh West | 0)",,,,"1(Dibrugarh East | 0, Dibrugarh West | 1)",,,,07-07-2022
4,,Dima-Hasao,21,21(Haflong | 21),,,,0(Haflong | 0),,,,07-07-2022
5,,Hailakandi,12,"2(Algapur | 2, Hailakandi | 0)",,,,"10(Algapur | 0, Hailakandi | 10)",,,,07-07-2022
6,,Kamrup,3,"3(Kayan | 2, North Ghy | 1)",,,,"0(Kayan | 0, North Ghy | 0)",,,,07-07-2022
7,,Karimganj,27,"27(RK Nagar | 3, Karimganj | 12, Nilambazar | 6, Badarpur | 6)",,,,"0(RK Nagar | 0, Karimganj | 0, Nilambazar | 0, Badarpur | 0)",,,,07-07-2022
8,,Morigaon,24,4(Morigaon | 4),,,,20(Morigaon | 20),,,,07-07-2022
9,,Nagaon,17,"17(Kampur | 4, Raha | 13)",,,,"0(Kampur | 0, Raha | 0)",,,,07-07-2022
10,,Sivasagar,7,"0(Sivsagar | 0, Demow | 0)",,,,"7(Sivsagar | 2, Demow | 5)",,,,07-07-2022
11,,Tamulpur,3,2(Goreswar | 2),,,,1(Goreswar | 1),,,,07-07-2022
12,,Total,246,207,,,,39,,,,07-07-2022
