,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,7,7(Sarupeta | 7),,,,0(Sarupeta | 0),,,,29-06-2022
1,,Barpeta,108,"108(Barpeta | 56, Baghbar | 20, Chenga | 32)",,,,"0(Barpeta | 0, Baghbar | 0, Chenga | 0)",,,,29-06-2022
2,,Biswanath,13,"7(Halem | 5, Gohpur | 2, Biswanath | 0)",,,,"6(Halem | 2, Gohpur | 0, Biswanath | 4)",,,,29-06-2022
3,,Cachar,332,"249(Silchar | 87, Lakhipur | 18, Sonai | 50, Katigorah | 94)",,,,"83(Silchar | 67, Lakhipur | 0, Sonai | 0, Katigorah | 16)",,,,29-06-2022
4,,Chirang,7,"7(Bijni | 5, Bengtal | 2)",,,,"0(Bijni | 0, Bengtal | 0)",,,,29-06-2022
5,,Darrang,7,"3(Mangaldoi | 2, Sipajhar | 1)",,,,"4(Mangaldoi | 0, Sipajhar | 4)",,,,29-06-2022
6,,Dhemaji,9,"1(Dhemaji | 1, Sissiborgaon | 0)",,,,"8(Dhemaji | 6, Sissiborgaon | 2)",,,,29-06-2022
7,,Dibrugarh,1,0(Moran | 0),,1(Moran | 1),,,,,,29-06-2022
8,,Dima-Hasao,26,23(Haflong | 23),,3(Haflong | 3),,,,,,29-06-2022
9,,Hailakandi,1,0(Algapur | 0),,1(Algapur | 1),,,,,,29-06-2022
10,,Hojai,11,"4(Hojai | 4, Lanka | 0)",,"7(Hojai | 5, Lanka | 2)",,,,,,29-06-2022
11,,Kamrup,30,"24(Hajo | 17, Kayan | 2, North Ghy | 5)",,"6(Hajo | 4, Kayan | 0, North Ghy | 2)",,,,,,29-06-2022
12,,Karimganj,66,"48(Nilambazar | 7, Badarpur | 16, Karimganj | 20, RK Nagar | 5)",,"18(Nilambazar | 18, Badarpur | 0, Karimganj | 0, RK Nagar | 0)",,,,,,29-06-2022
13,,Lakhimpur,25,"4(Narayanpur | 4, Subansiri | 0, North Lakhimpur | 0)",,"21(Narayanpur | 12, Subansiri | 8, North Lakhimpur | 1)",,,,,,29-06-2022
14,,Majuli,2,"0(Majuli | 0, Ujani Majuli | 0)",,"2(Majuli | 1, Ujani Majuli | 1)",,,,,,29-06-2022
15,,Morigaon,30,"1(Morigaon | 1, Mikirbheta | 0)",,"29(Morigaon | 15, Mikirbheta | 14)",,,,,,29-06-2022
16,,Nagaon,144,"65(Kampur | 17, Nagaon | 35, Raha | 13)",,"79(Kampur | 0, Nagaon | 34, Raha | 45)",,,,,,29-06-2022
17,,Nalbari,2,"2(Paschim Nalbari | 1, Barbhag | 1)",,"0(Paschim Nalbari | 0, Barbhag | 0)",,,,,,29-06-2022
18,,Sonitpur,1,1(Dhekiajuli | 1),,0(Dhekiajuli | 0),,,,,,29-06-2022
19,,Tamulpur,2,2(Goreswar | 2),,0(Goreswar | 0),,,,,,29-06-2022
20,,Tinsukia,14,"2(Doomdooma | 2, Tinsukia | 0)",,"12(Doomdooma | 5, Tinsukia | 7)",,,,,,29-06-2022
21,,Udalguri,2,2(Udalguri | 2),,0(Udalguri | 0),,,,,,29-06-2022
22,,Total,840,560,,280,,,,,,29-06-2022
