,relief camps / centres opened,District,Total,Relief Camp,,,,Relief Distribution Centres,,,,Date
0,,Bajali,7,6(Sarupeta | 6),,,,1(Sarupeta | 1),,,,01-07-2022
1,,Barpeta,43,"43(Barpeta | 35, Chenga | 8)",,,,"0(Barpeta | 0, Chenga | 0)",,,,01-07-2022
2,,Biswanath,6,1(Halem | 1),,,,5(Halem | 5),,,,01-07-2022
3,,Cachar,400,"255(Sonai | 37, Katigorah | 94, Silchar | 108, Lakhipur | 16)",,,,"145(Sonai | 0, Katigorah | 77, Silchar | 68, Lakhipur | 0)",,,,01-07-2022
4,,Chirang,4,4(Bijni | 4),,,,0(Bijni | 0),,,,01-07-2022
5,,Darrang,4,1(Sipajhar | 1),,,,3(Sipajhar | 3),,,,01-07-2022
6,,Dhemaji,32,"2(Dhemaji | 2, Gogamukh | 0, Jonai | 0, Sissiborgaon | 0)",,,,"30(Dhemaji | 2, Gogamukh | 4, Jonai | 21, Sissiborgaon | 3)",,,,01-07-2022
7,,Dibrugarh,25,"3(Dibrugarh East | 3, Chabua | 0, Tengakhat | 0, Moran | 0, Tingkhong | 0)",,,,"22(Dibrugarh East | 4, Chabua | 6, Tengakhat | 4, Moran | 7, Tingkhong | 1)",,,,01-07-2022
8,,Dima-Hasao,31,23(Haflong | 23),,,,8(Haflong | 8),,,,01-07-2022
9,,Hailakandi,6,"6(Algapur | 5, Hailakandi | 1)",,,,"0(Algapur | 0, Hailakandi | 0)",,,,01-07-2022
10,,Hojai,3,3(Hojai | 3),,,,0(Hojai | 0),,,,01-07-2022
11,,Kamrup,20,"17(Kayan | 2, Hajo | 11, North Ghy | 4)",,,,"3(Kayan | 0, Hajo | 3, North Ghy | 0)",,,,01-07-2022
12,,Karbi Anglong West,34,0(Donkamokam | 0),,,,34(Donkamokam | 34),,,,01-07-2022
13,,Karimganj,41,"38(Nilambazar | 7, Badarpur | 10, RK Nagar | 6, Karimganj | 15, Patherkandi | 0)",,,,"3(Nilambazar | 0, Badarpur | 0, RK Nagar | 0, Karimganj | 0, Patherkandi | 3)",,,,01-07-2022
14,,Lakhimpur,31,"3(Narayanpur | 2, Subansiri | 1, Dhakuakhana | 0, Bihpuria | 0, Nowboicha | 0)",,,,"28(Narayanpur | 1, Subansiri | 20, Dhakuakhana | 1, Bihpuria | 4, Nowboicha | 2)",,,,01-07-2022
15,,Majuli,12,"0(Majuli | 0, Ujani Majuli | 0)",,,,"12(Majuli | 4, Ujani Majuli | 8)",,,,01-07-2022
16,,Morigaon,98,"82(Morigaon | 68, Mikirbheta | 10, Bhuragaon | 2, Mayong | 2)",,,,"16(Morigaon | 11, Mikirbheta | 5, Bhuragaon | 0, Mayong | 0)",,,,01-07-2022
17,,Nagaon,78,"64(Kampur | 17, Raha | 13, Nagaon | 34)",,,,"14(Kampur | 0, Raha | 0, Nagaon | 14)",,,,01-07-2022
18,,Nalbari,2,"2(Paschim Nalbari | 1, Barbhag | 1)",,,,"0(Paschim Nalbari | 0, Barbhag | 0)",,,,01-07-2022
19,,Sonitpur,3,"0(Dhekiajuli | 0, Thelamara | 0, Tezpur | 0)",,,,"3(Dhekiajuli | 1, Thelamara | 1, Tezpur | 1)",,,,01-07-2022
20,,Tamulpur,2,2(Goreswar | 2),,,,0(Goreswar | 0),,,,01-07-2022
21,,Tinsukia,10,"6(Tinsukia | 3, Doomdooma | 3)",,,,"4(Tinsukia | 4, Doomdooma | 0)",,,,01-07-2022
22,,Udalguri,2,2(Udalguri | 2),,,,0(Udalguri | 0),,,,01-07-2022
23,,Total,894,,,,,,,,,01-07-2022
